,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-582980923.966554,-510615448.743795,-200898954.13811,-585634048.874428
Tax Rate For Calcs,0.218408,0.196642,0.237981,0.264578
Normalized EBITDA,32709613000.0,29484604000.0,25913433000.0,23286776000.0
Total Unusual Items,-2669233000.0,-2596681000.0,-844181000.0,-2213468000.0
Total Unusual Items Excluding Goodwill,-2669233000.0,-2596681000.0,-844181000.0,-2213468000.0
Net Income From Continuing Operation Net Minority Interest,8396167000.0,7986116000.0,7824139000.0,6504102000.0
Reconciled Depreciation,8150740000.0,6977395000.0,5774185000.0,4660343000.0
Reconciled Cost Of Revenue,382529764000.0,354726606000.0,320891131000.0,279909972000.0
EBITDA,30040380000.0,26887923000.0,25069252000.0,21073308000.0
EBIT,21889640000.0,19910528000.0,19295067000.0,16412965000.0
Net Interest Income,-5649562000.0,-5069346000.0,-5414737000.0,-3489986000.0
Interest Expense,6761837000.0,5899961000.0,5618003000.0,3362582000.0
Interest Income,1621268000.0,1309435000.0,612327000.0,336451000.0
Normalized Income,10482419076.033445,10072181551.256205,8467421045.86189,8131935951.125572
Net Income From Continuing And Discontinued Operation,8396167000.0,7986116000.0,7824139000.0,6504102000.0
Total Expenses,415390514000.0,385775149000.0,347349479000.0,303595976000.0
Rent Expense Supplemental,,424895000.0,312898000.0,269480000.0
Total Operating Income As Reported,14827633000.0,14046061000.0,13751350000.0,14575669000.0
Diluted Average Shares,44190352632.0,44367311111.0,43467438889.0,34232115789.0
Basic Average Shares,44190352632.0,44367311111.0,43467438889.0,34232115789.0
Diluted EPS,0.19,0.18,0.18,0.19
Basic EPS,0.19,0.18,0.18,0.19
Diluted NI Availto Com Stockholders,8396167000.0,7986116000.0,7824139000.0,6504102000.0
Net Income Common Stockholders,8396167000.0,7986116000.0,7824139000.0,6504102000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Preferred Stock Dividends,,,,0.0
Net Income,8396167000.0,7986116000.0,7824139000.0,6504102000.0
Minority Interests,-3427608000.0,-3269391000.0,-2598045000.0,-3093442000.0
Net Income Including Noncontrolling Interests,11823775000.0,11255507000.0,10422184000.0,9597544000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,11823775000.0,11255507000.0,10422184000.0,9597544000.0
Tax Provision,3304028000.0,2755060000.0,3254880000.0,3452839000.0
Pretax Income,15127803000.0,14010567000.0,13677064000.0,13050383000.0
Other Non Operating Income Expenses,1124735000.0,710174000.0,121521000.0,-43972000.0
Special Income Charges,-2713923000.0,-2927789000.0,-1943646000.0,-2434139000.0
Other Special Charges,-1108955000.0,-304971000.0,-578805000.0,581952000.0
Write Off,3822878000.0,3232760000.0,2522451000.0,1852187000.0
Impairment Of Capital Assets,,,,118073000.0
Net Non Operating Interest Income Expense,-5649562000.0,-5069346000.0,-5414737000.0,-3489986000.0
Total Other Finance Cost,508993000.0,478820000.0,409061000.0,463855000.0
Interest Expense Non Operating,6761837000.0,5899961000.0,5618003000.0,3362582000.0
Interest Income Non Operating,1621268000.0,1309435000.0,612327000.0,336451000.0
Operating Income,21322243000.0,20256699000.0,19046335000.0,18722589000.0
Operating Expense,32860750000.0,31048543000.0,26458348000.0,23686004000.0
Other Operating Expenses,1653724000.0,1415875000.0,1703298000.0,1436858000.0
Depreciation And Amortization In Income Statement,,1563391000.0,1545615000.0,1655701000.0
Depreciation Income Statement,,1563391000.0,1545615000.0,1655701000.0
Research And Development,13982347000.0,12980155000.0,10441637000.0,8789472000.0
Selling General And Administration,17224679000.0,16652513000.0,3766058000.0,3753367000.0
Selling And Marketing Expense,2391235000.0,1900349000.0,1031560000.0,986784000.0
General And Administrative Expense,14833444000.0,14752164000.0,2734498000.0,2766583000.0
Rent And Landing Fees,,424895000.0,312898000.0,269480000.0
Gross Profit,54182993000.0,51305242000.0,45504683000.0,42408593000.0
Cost Of Revenue,382529764000.0,354726606000.0,320891131000.0,279909972000.0
Total Revenue,436712757000.0,406031848000.0,366395814000.0,322318565000.0
Operating Revenue,436712757000.0,406031848000.0,366395814000.0,322318565000.0
