,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,210816986.0,214289075.0,213208825.0,212069009.0
Share Issued,210816986.0,214289075.0,213208825.0,212069009.0
Net Debt,79478572.51,,,
Total Debt,775552760.69,733002809.97,466419695.6,118184392.56
Tangible Book Value,2657685802.0,2885697187.33,2547318314.26,2005452720.1
Invested Capital,3391331412.44,3607984925.49,2995727746.2,2107180656.87
Working Capital,1707012473.01,1888891258.11,1388096795.1,1248189839.41
Net Tangible Assets,2657685802.0,2885697187.33,2547318314.26,2005452720.1
Capital Lease Obligations,2311289.01,12299645.75,23161410.09,5706932.74
Common Stock Equity,2687273138.24,2915395566.28,2577570027.93,2007180656.87
Total Capitalization,2749523138.24,3026145566.28,2616070027.93,2007180656.87
Total Equity Gross Minority Interest,2689788333.43,2923202814.52,2597314405.68,2007180656.87
Minority Interest,2515195.19,7807248.24,19744377.75,
Stockholders Equity,2687273138.24,2915395566.28,2577570027.93,2007180656.87
Retained Earnings,1469464671.51,1618078298.09,1313190125.5,785885206.17
Additional Paid In Capital,907659627.89,1074326190.6,1053270602.26,1048924506.26
Capital Stock,210816986.0,147785569.0,101407289.0,69677800.0
Common Stock,210816986.0,147785569.0,101407289.0,69677800.0
Total Liabilities Net Minority Interest,1925226447.17,1980825378.83,2710173058.18,1202433053.69
Total Non Current Liabilities Net Minority Interest,129500909.39,186412509.85,116139449.08,14292715.24
Other Non Current Liabilities,25728167.66,,,
Non Current Deferred Taxes Liabilities,39211452.72,63362864.1,54478038.99,8585782.5
Long Term Debt And Capital Lease Obligation,64561289.01,123049645.75,61661410.09,5706932.74
Long Term Capital Lease Obligation,2311289.01,12299645.75,23161410.09,5706932.74
Long Term Debt,62250000.0,110750000.0,38500000.0,
Current Liabilities,1795725537.78,1794412868.98,2594033609.1,1188140338.45
Other Current Liabilities,13655477.9,6646403.26,9945422.08,1780987.05
Current Debt And Capital Lease Obligation,710991471.68,609953164.22,404758285.51,112477459.82
Current Debt,641808274.2,581839359.21,379657718.27,100000000.0
Payables,1044986137.9,1144314196.38,2150239533.56,1041780566.9
Other Payable,43068745.12,52304861.04,46197472.5,29448456.01
Dividends Payable,,,,
Total Tax Payable,53303432.43,58786220.59,87373232.56,89731774.12
Accounts Payable,948613960.35,1033223114.75,2016668828.5,922600336.77
Total Assets,4615014780.6,4904028193.35,5307487463.86,3209613710.56
Total Non Current Assets,1112276769.81,1220724066.26,1325357059.66,773283532.7
Other Non Current Assets,,,169050500.0,168750500.0
Non Current Deferred Assets,3276004.53,3130224.12,2036682.46,3328826.03
Non Current Deferred Taxes Assets,22032713.97,12064359.56,8902324.53,3467025.56
Investmentin Financial Assets,853844356.53,963140887.66,1035023511.03,568074363.31
Available For Sale Securities,853844356.53,963140887.66,1035023511.03,568074363.31
Goodwill And Other Intangible Assets,29587336.24,29698378.95,30251713.67,1727936.77
Other Intangible Assets,29587336.24,29698378.95,30251713.67,1727936.77
Net PPE,194555497.89,206303864.22,52439248.44,27309910.83
Accumulated Depreciation,-10652642.53,-8634317.75,-6131703.11,-4703994.74
Gross PPE,205208140.42,214938181.97,58570951.55,32013905.57
Construction In Progress,535494.67,163254961.33,,
Other Properties,32300906.69,49744010.01,57007849.78,30450803.8
Machinery Furniture Equipment,1404498.72,1939210.63,1563101.77,1563101.77
Properties,170967240.34,,,
Current Assets,3502738010.79,3683304127.09,3982130404.2,2436330177.86
Other Current Assets,16025222.72,32103813.26,20496387.2,8176382.34
Prepaid Assets,225218531.83,239135150.28,219723296.31,116230112.49
Inventory,68847929.65,38328325.27,15391846.27,7998111.32
Other Inventories,58542215.95,31222288.27,,
Finished Goods,10305713.7,7106037.0,,
Other Receivables,215841582.4,86409218.16,84788434.59,74573325.92
Accounts Receivable,2352225042.5,2381877700.99,3082772140.33,1449512050.7
Allowance For Doubtful Accounts Receivable,-113782236.45,-66316467.65,-45909385.35,-15486535.19
Gross Accounts Receivable,2466007278.95,2448194168.64,3128681525.68,1464998585.89
Cash Cash Equivalents And Short Term Investments,624579701.69,905449919.13,558958299.5,779840195.09
Other Short Term Investments,,,,
Cash And Cash Equivalents,624579701.69,905449919.13,558958299.5,779840195.09
Cash Equivalents,56518424.95,83971016.34,90602063.22,11260930.0
Cash Financial,568061276.74,821038013.9,467686236.28,768579265.09
