,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,155924945.0,156062400.0,117046800.0,117046800.0
Share Issued,155924945.0,156062400.0,117046800.0,117046800.0
Total Debt,145401931.74,71707877.85,68128130.39,43386734.14
Tangible Book Value,1850266729.01,1916688021.93,587228949.46,0.0
Invested Capital,2082177670.84,2025528134.24,669958232.42,490918070.2
Working Capital,1194534196.29,1382586133.65,278142213.54,224977245.33
Net Tangible Assets,1850266729.01,1916688021.93,587228949.46,0.0
Capital Lease Obligations,6035871.16,572318.28,3112929.69,6248440.24
Common Stock Equity,1948537504.14,1955528134.24,620458232.42,0.0
Total Capitalization,1948537504.14,1955528134.24,627458232.42,0.0
Total Equity Gross Minority Interest,1948537504.16,1955528134.24,620458232.42,467418100.0
Minority Interest,0.02,,,
Stockholders Equity,1948537504.14,1955528134.24,620458232.42,0.0
Treasury Stock,30006024.56,,,
Retained Earnings,591574727.25,572197163.08,431555594.13,288314547.15
Additional Paid In Capital,1215760727.9,1235662993.9,76357638.29,76357638.29
Capital Stock,119942266.0,100040000.0,75030000.0,0.0
Common Stock,119942266.0,100040000.0,75030000.0,0.0
Total Liabilities Net Minority Interest,579336988.27,343322641.26,370181833.19,310569200.0
Total Non Current Liabilities Net Minority Interest,7210789.5,572318.28,10112929.69,310569200.0
Tradeand Other Payables Non Current,,,,1020463.26
Non Current Deferred Taxes Liabilities,1174918.34,,,
Long Term Debt And Capital Lease Obligation,6035871.16,572318.28,10112929.69,14748440.24
Long Term Capital Lease Obligation,6035871.16,572318.28,3112929.69,6248440.24
Long Term Debt,,,7000000.0,8500000.0
Current Liabilities,572126198.77,342750322.98,360068903.5,294800300.12
Other Current Liabilities,649308.3,223251.16,37779.63,41386.91
Current Debt And Capital Lease Obligation,139366060.58,71135559.57,58015200.7,28638293.9
Current Debt,133640166.7,70000000.0,42500000.0,15000000.0
Payables,431449915.07,269674195.63,301725310.64,265802258.46
Other Payable,31035985.23,30811438.15,26305124.82,26916655.02
Total Tax Payable,14655597.81,14992269.21,22958752.34,18046281.14
Accounts Payable,385758332.03,223870488.27,252461433.48,220839322.3
Total Assets,2527874492.43,2298850775.5,990640065.61,777987300.0
Total Non Current Assets,761214097.37,573514318.87,352428948.57,777987300.0
Other Non Current Assets,156126736.84,174221010.43,25502818.46,777987300.0
Non Current Deferred Assets,18677235.46,1795073.81,3267143.03,2693699.93
Non Current Deferred Taxes Assets,8929333.18,6696249.28,9040611.31,7718149.85
Goodwill And Other Intangible Assets,98270775.13,38840112.31,33229282.96,0.0
Other Intangible Assets,98270775.13,38840112.31,33229282.96,33326219.15
Net PPE,479210016.76,351961873.04,281389092.81,0.0
Accumulated Depreciation,-165484672.31,-132425609.93,-89998032.74,-78969211.62
Gross PPE,644694689.07,484387482.97,371387125.55,78969211.62
Construction In Progress,83199287.73,41417180.25,14737424.62,91646653.32
Other Properties,376798148.39,289959671.98,206418387.58,62090271.95
Machinery Furniture Equipment,9667323.9,6276200.19,8136303.9,8451135.53
Properties,175029929.05,146734430.55,142095009.45,8427804.14
Current Assets,1766660395.06,1725336456.63,638211117.04,519777545.45
Other Current Assets,20013658.56,1411380.72,226971.04,156005.56
Prepaid Assets,2575504.78,3505399.13,915680.03,706142.24
Inventory,380737151.76,209133996.68,231125612.54,165177121.77
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,-231125612.54,-660708487.08
Finished Goods,223023756.75,106234709.53,132245121.09,99908834.4
Work In Process,67874750.97,23409967.67,23537663.52,12249911.68
Raw Materials,89838644.04,79489319.48,75342827.93,53018375.69
Other Receivables,198955166.49,191117750.03,118051558.18,175557580.51
Accounts Receivable,381785417.35,235159076.68,197572443.51,147822680.29
Allowance For Doubtful Accounts Receivable,-32425034.34,-24886323.23,-22933749.76,-21445207.21
Gross Accounts Receivable,414210451.69,260045399.91,220506193.27,169267887.5
Cash Cash Equivalents And Short Term Investments,782593496.12,1085008853.39,90318851.74,30358015.08
Other Short Term Investments,369845413.9,90101188.7,109102.9,174960.35
Cash And Cash Equivalents,412748082.22,994907664.69,90209748.84,30183054.73
Cash Equivalents,13029.71,17599037.65,13601307.7,10171818.35
Cash Financial,412735052.51,977308627.04,76608441.14,20011236.38
