,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,15579809092.0,15579809092.0,15579809092.0,15705971092.0
Share Issued,15579809092.0,15579809092.0,15579809092.0,15705971092.0
Net Debt,4661331000.0,10663204000.0,4712782000.0,12813047000.0
Total Debt,48882305000.0,48965300000.0,41255068000.0,47474564000.0
Tangible Book Value,38218757000.0,40192324000.0,38954786000.0,41182095000.0
Invested Capital,90420260000.0,96641311000.0,85919595000.0,96306556000.0
Working Capital,13297167000.0,24219053000.0,37628190000.0,40896503000.0
Net Tangible Assets,38218757000.0,40192324000.0,38954786000.0,41182095000.0
Capital Lease Obligations,1463726000.0,1150996000.0,1077425000.0,1027996000.0
Common Stock Equity,53189916000.0,55725727000.0,54862313000.0,58134328000.0
Total Capitalization,80872033000.0,87368895000.0,77258700000.0,84470190000.0
Total Equity Gross Minority Interest,77380319000.0,79854479000.0,94194167000.0,98144353000.0
Minority Interest,24190403000.0,24128752000.0,39331854000.0,40010025000.0
Stockholders Equity,53189916000.0,55725727000.0,54862313000.0,58134328000.0
Treasury Stock,,,,382271000.0
Retained Earnings,12723500000.0,12249556000.0,11419263000.0,15218425000.0
Additional Paid In Capital,,13292566000.0,15653488000.0,15653488000.0
Capital Stock,15579809000.0,15579809000.0,15579809000.0,15705971000.0
Common Stock,15579809000.0,15579809000.0,15579809000.0,15705971000.0
Total Liabilities Net Minority Interest,225124669000.0,206310521000.0,193826685000.0,202657837000.0
Total Non Current Liabilities Net Minority Interest,34633055000.0,38615346000.0,30301242000.0,33778496000.0
Other Non Current Liabilities,2846304000.0,3123822000.0,3761188000.0,3179746000.0
Tradeand Other Payables Non Current,715892000.0,749521000.0,738709000.0,807688000.0
Non Current Deferred Revenue,1210875000.0,1333337000.0,1491212000.0,1651556000.0
Non Current Deferred Taxes Liabilities,714141000.0,614502000.0,836321000.0,775648000.0
Long Term Debt And Capital Lease Obligation,29145843000.0,32794164000.0,23473812000.0,27363858000.0
Long Term Capital Lease Obligation,1463726000.0,1150996000.0,1077425000.0,1027996000.0
Long Term Debt,27682117000.0,31643168000.0,22396387000.0,26335862000.0
Current Liabilities,190491614000.0,167695175000.0,163525443000.0,168879341000.0
Other Current Liabilities,12300543000.0,12361124000.0,12567924000.0,11312004000.0
Current Debt And Capital Lease Obligation,19736462000.0,16171136000.0,17781256000.0,20110706000.0
Current Debt,9548227000.0,9272416000.0,8660895000.0,11836366000.0
Payables,93128540000.0,87677027000.0,88314434000.0,93023747000.0
Other Payable,14746139000.0,13360688000.0,12426738000.0,12727413000.0
Dividends Payable,214680000.0,165521000.0,390765000.0,233701000.0
Total Tax Payable,2473766000.0,2466140000.0,2030487000.0,2180202000.0
Accounts Payable,75693955000.0,71684678000.0,73466444000.0,77882431000.0
Total Assets,302504988000.0,286165000000.0,288020852000.0,300802190000.0
Total Non Current Assets,98716207000.0,94250772000.0,86867219000.0,91026346000.0
Other Non Current Assets,15173456000.0,13790754000.0,13373700000.0,13361874000.0
Non Current Deferred Assets,473404000.0,504145000.0,555484000.0,608848000.0
Non Current Deferred Taxes Assets,8690212000.0,8300768000.0,7733152000.0,8078305000.0
Investmentin Financial Assets,6956178000.0,7491682000.0,7421326000.0,7048471000.0
Held To Maturity Securities,520762000.0,152570000.0,152863000.0,81874000.0
Available For Sale Securities,6435416000.0,7339112000.0,7268463000.0,6966597000.0
Long Term Equity Investment,13816638000.0,13812294000.0,11183753000.0,11401990000.0
Investment Properties,1043169000.0,608798000.0,660172000.0,822975000.0
Goodwill And Other Intangible Assets,14971159000.0,15533403000.0,15907527000.0,16952233000.0
Other Intangible Assets,12050399000.0,12288474000.0,12618804000.0,12997529000.0
Goodwill,2920760000.0,3244929000.0,3288723000.0,3954704000.0
Net PPE,26564370000.0,23771668000.0,25112428000.0,26355313000.0
Accumulated Depreciation,,-21449483000.0,-20024489000.0,-17950050000.0
Gross PPE,26564370000.0,45221151000.0,45136917000.0,44305363000.0
Construction In Progress,3777699000.0,1934072000.0,3427951000.0,5024094000.0
Other Properties,22786671000.0,3770004000.0,3705765000.0,3492012000.0
Machinery Furniture Equipment,,21304896000.0,20724652000.0,20533945000.0
Buildings And Improvements,,,,
Properties,,18212179000.0,17278549000.0,15255312000.0
Current Assets,203788781000.0,191914228000.0,201153633000.0,209775844000.0
Other Current Assets,20409256000.0,19304792000.0,25600992000.0,18951247000.0
Hedging Assets Current,520000.0,12798000.0,55890000.0,44101000.0
Assets Held For Sale Current,,,,43708000.0
Restricted Cash,,5804000.0,24317000.0,25214000.0
Prepaid Assets,11236621000.0,9511724000.0,10276967000.0,13424089000.0
Inventory,34549775000.0,32423705000.0,30871914000.0,32879469000.0
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,397953000.0,391140000.0,469549000.0,451493000.0
Finished Goods,10261637000.0,13324683000.0,11474401000.0,13637013000.0
Work In Process,18983895000.0,13216641000.0,13627422000.0,13957491000.0
Raw Materials,4906290000.0,5491241000.0,5300542000.0,4833472000.0
Other Receivables,59696599000.0,52438540000.0,62065963000.0,78041734000.0
Accounts Receivable,37547437000.0,40477926000.0,38279969000.0,33429218000.0
Allowance For Doubtful Accounts Receivable,-17649203000.0,-17949869000.0,-17195975000.0,-17560454000.0
Gross Accounts Receivable,55196640000.0,58427795000.0,55475944000.0,50989672000.0
Cash Cash Equivalents And Short Term Investments,40348573000.0,37744743000.0,34001938000.0,32962278000.0
Other Short Term Investments,7779560000.0,7492363000.0,7657438000.0,7603097000.0
Cash And Cash Equivalents,32569013000.0,30252380000.0,26344500000.0,25359181000.0
Cash Equivalents,4728331000.0,3952225000.0,3519705000.0,3843305000.0
Cash Financial,27840682000.0,26212677000.0,22824795000.0,21515876000.0
