,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,97532000000.0,88868000000.0,110820000000.0,65456000000.0
Repurchase Of Capital Stock,-661000000.0,0.0,-623000000.0,0.0
Repayment Of Debt,-31063000000.0,-17703000000.0,-12580000000.0,-13088000000.0
Issuance Of Debt,1816000000.0,170000000.0,850000000.0,8108000000.0
Issuance Of Capital Stock,,0.0,32099000000.0,0.0
Capital Expenditure,-123359000000.0,-120875000000.0,-94754000000.0,-82437000000.0
End Cash Position,81284000000.0,133439000000.0,85633000000.0,41432000000.0
Beginning Cash Position,133439000000.0,85633000000.0,41432000000.0,24019000000.0
Effect Of Exchange Rate Changes,315000000.0,386000000.0,2062000000.0,-913000000.0
Changes In Cash,-52470000000.0,47420000000.0,42139000000.0,18326000000.0
Financing Cash Flow,-97935000000.0,-84228000000.0,-64962000000.0,-33332000000.0
Cash Flow From Continuing Financing Activities,,,,-33333000000.0
Net Other Financing Charges,197000000.0,111000000.0,159000000.0,856000000.0
Interest Paid Cff,-4193000000.0,-5097000000.0,-5043000000.0,-6832000000.0
Cash Dividends Paid,-60869000000.0,-58249000000.0,-77378000000.0,-20473000000.0
Common Stock Dividend Paid,-60869000000.0,-58249000000.0,-77378000000.0,-20473000000.0
Net Common Stock Issuance,-661000000.0,0.0,31476000000.0,0.0
Common Stock Payments,-661000000.0,0.0,-623000000.0,0.0
Common Stock Issuance,,0.0,32099000000.0,0.0
Net Issuance Payments Of Debt,-29247000000.0,-17533000000.0,-11730000000.0,-4980000000.0
Net Long Term Debt Issuance,-29247000000.0,-17533000000.0,-11730000000.0,-4980000000.0
Long Term Debt Payments,-31063000000.0,-17703000000.0,-12580000000.0,-13088000000.0
Long Term Debt Issuance,1816000000.0,170000000.0,850000000.0,8108000000.0
Investing Cash Flow,-175426000000.0,-78095000000.0,-98473000000.0,-96235000000.0
Cash Flow From Continuing Investing Activities,,,,-96235000000.0
Net Other Investing Changes,1277000000.0,2780000000.0,2763000000.0,2071000000.0
Interest Received Cfi,3458000000.0,5402000000.0,2753000000.0,1041000000.0
Dividends Received Cfi,247000000.0,369000000.0,336000000.0,284000000.0
Net Investment Purchase And Sale,-56548000000.0,36171000000.0,-9202000000.0,-17198000000.0
Sale Of Investment,39556000000.0,89006000000.0,102734000000.0,86110000000.0
Purchase Of Investment,-96104000000.0,-52835000000.0,-111936000000.0,-103308000000.0
Net Business Purchase And Sale,-551000000.0,-1966000000.0,-462000000.0,-35000000.0
Sale Of Business,48000000.0,0.0,,
Purchase Of Business,-599000000.0,-1966000000.0,-462000000.0,-35000000.0
Net PPE Purchase And Sale,50000000.0,24000000.0,-13288000000.0,-9310000000.0
Sale Of PPE,50000000.0,24000000.0,93000000.0,39000000.0
Purchase Of PPE,,0.0,-13381000000.0,-9349000000.0
Capital Expenditure Reported,-123359000000.0,-120875000000.0,-81373000000.0,-73088000000.0
Operating Cash Flow,220891000000.0,209743000000.0,205574000000.0,147893000000.0
Cash Flow From Continuing Operating Activities,,,,147893000000.0
Taxes Refund Paid,-49153000000.0,-45444000000.0,-51001000000.0,-16470000000.0
Change In Working Capital,-3182000000.0,8422000000.0,-6197000000.0,-2462000000.0
Change In Payables And Accrued Expense,,,,7440000000.0
Change In Payable,-6097000000.0,8998000000.0,3134000000.0,7440000000.0
Change In Account Payable,,,,7440000000.0
Change In Inventory,533000000.0,-361000000.0,-645000000.0,-99000000.0
Change In Receivables,2382000000.0,-215000000.0,-8686000000.0,-9803000000.0
Changes In Account Receivables,,,,-9803000000.0
Other Non Cash Items,1514000000.0,549000000.0,3047000000.0,4678000000.0
Provisionand Write Offof Assets,29000000.0,74000000.0,-11000000.0,-6000000.0
Asset Impairment Charge,,,,7957000000.0
Depreciation Amortization Depletion,,,,57236000000.0
Depreciation And Amortization,75843000000.0,70324000000.0,63070000000.0,57085000000.0
Amortization Cash Flow,920000000.0,849000000.0,1311000000.0,490000000.0
Amortization Of Intangibles,,,,490000000.0
Depreciation,74923000000.0,69475000000.0,61759000000.0,56595000000.0
Operating Gains Losses,,,,1133000000.0
Earnings Losses From Equity Investments,,,,-346000000.0
Gain Loss On Investment Securities,-5259000000.0,-3080000000.0,-2058000000.0,-2850000000.0
Net Foreign Currency Exchange Gain Loss,1318000000.0,297000000.0,-18000000.0,-742000000.0
Gain Loss On Sale Of PPE,4831000000.0,5412000000.0,5424000000.0,5071000000.0
Net Income From Continuing Operations,189976000000.0,172974000000.0,194770000000.0,95821000000.0
