,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,54397013781.0,48966865954.0,48934843657.0,48934842469.0
Share Issued,54397013781.0,48966865954.0,48934843657.0,48934842469.0
Net Debt,425099000000.0,305375000000.0,265583000000.0,339732000000.0
Total Debt,1323449000000.0,1062553000000.0,1056219000000.0,1046350000000.0
Tangible Book Value,749129000000.0,675914000000.0,624983000000.0,586697000000.0
Invested Capital,2066897000000.0,1734575000000.0,1676410000000.0,1627882000000.0
Net Tangible Assets,784084000000.0,710869000000.0,659938000000.0,621652000000.0
Common Stock Equity,754309000000.0,682267000000.0,630463000000.0,591348000000.0
Preferred Stock Equity,34955000000.0,34955000000.0,34955000000.0,34955000000.0
Total Capitalization,2101852000000.0,1769530000000.0,1711365000000.0,1662837000000.0
Total Equity Gross Minority Interest,807365000000.0,734675000000.0,685830000000.0,642626000000.0
Minority Interest,18101000000.0,17453000000.0,20412000000.0,16323000000.0
Stockholders Equity,789264000000.0,717222000000.0,665418000000.0,626303000000.0
Other Equity Interest,70544000000.0,83105000000.0,83121000000.0,83121000000.0
Retained Earnings,343868000000.0,320619000000.0,285505000000.0,254005000000.0
Additional Paid In Capital,,59083000000.0,58896000000.0,58896000000.0
Capital Stock,89352000000.0,83922000000.0,83890000000.0,83890000000.0
Common Stock,54397000000.0,48967000000.0,48935000000.0,48935000000.0
Preferred Stock,34955000000.0,34955000000.0,34955000000.0,34955000000.0
Total Liabilities Net Minority Interest,8725357000000.0,8317809000000.0,7861713000000.0,7400258000000.0
Derivative Product Liabilities,81162000000.0,41850000000.0,44265000000.0,22907000000.0
Long Term Debt And Capital Lease Obligation,1323449000000.0,1062553000000.0,1056219000000.0,1046350000000.0
Payables,27963000000.0,26956000000.0,30392000000.0,30006000000.0
Other Payable,20318000000.0,22420000000.0,21905000000.0,19253000000.0
Total Tax Payable,7645000000.0,4536000000.0,8487000000.0,10753000000.0
Total Assets,9532722000000.0,9052484000000.0,8547543000000.0,8042884000000.0
Investments And Advances,2714148000000.0,2644526000000.0,2553593000000.0,2351115000000.0
Investmentin Financial Assets,2706799000000.0,2637581000000.0,2547252000000.0,2345362000000.0
Trading Securities,647398000000.0,613824000000.0,557594000000.0,495810000000.0
Long Term Equity Investment,7349000000.0,6945000000.0,6341000000.0,5753000000.0
Investment Properties,578000000.0,528000000.0,516000000.0,547000000.0
Goodwill And Other Intangible Assets,5180000000.0,6353000000.0,5480000000.0,4651000000.0
Other Intangible Assets,4221000000.0,5427000000.0,4577000000.0,3818000000.0
Goodwill,959000000.0,926000000.0,903000000.0,833000000.0
Net PPE,56749000000.0,48120000000.0,44392000000.0,43929000000.0
Accumulated Depreciation,-21526000000.0,-19379000000.0,-16951000000.0,-16118000000.0
Gross PPE,78275000000.0,67499000000.0,61343000000.0,60047000000.0
Construction In Progress,773000000.0,3147000000.0,2930000000.0,2546000000.0
Other Properties,40628000000.0,30316000000.0,24474000000.0,23862000000.0
Properties,36874000000.0,34036000000.0,33939000000.0,33639000000.0
Cash And Cash Equivalents,887489000000.0,746933000000.0,780364000000.0,696802000000.0
Cash Equivalents,13580000000.0,11674000000.0,5985000000.0,9645000000.0
Cash Financial,,4467000000.0,5532000000.0,5694000000.0
Cash Cash Equivalents And Federal Funds Sold,1023754000000.0,851706000000.0,794094000000.0,788239000000.0
