,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,6077836834.87,13750683009.61,7236185635.91,10279589800.37
Repayment Of Debt,-172213004101.55,-163174635873.27,-130945671566.95,-124884910579.69
Issuance Of Debt,167857978554.86,132102773718.82,168142179356.94,178148193888.16
Capital Expenditure,-179473755.36,-179324532.69,-186191454.49,-271627428.09
End Cash Position,132498012525.41,146615882679.48,175442246707.87,170260298950.44
Beginning Cash Position,146615882679.48,175442246707.87,170260298950.44,145290456003.69
Effect Of Exchange Rate Changes,-54679269.25,-60411263.09,137657584.34,-52571504.18
Changes In Cash,-14063190884.82,-28765952765.3,5044290173.09,25022414450.93
Financing Cash Flow,-18989638357.94,-49961681089.47,-3015407451.42,34457779943.13
Net Other Financing Charges,5241903854.32,5239059438.8,-8995599425.26,17378267141.6
Cash Dividends Paid,-19031555116.77,-20803618117.31,-25183919105.79,-28106554981.38
Net Issuance Payments Of Debt,-4355025546.69,-31071862154.45,37196507789.99,53263283308.47
Net Long Term Debt Issuance,-4355025546.69,-31071862154.45,37196507789.99,53263283308.47
Long Term Debt Payments,-172213004101.55,-163174635873.27,-130945671566.95,-124884910579.69
Long Term Debt Issuance,167857978554.86,132102773718.82,168142179356.94,178148193888.16
Investing Cash Flow,-1330863117.11,7265720781.87,637320534.11,-19986582720.66
Net Other Investing Changes,-2008911551.26,449732183.4,2250731720.01,-1394415676.93
Net Investment Purchase And Sale,425347567.89,4120728645.49,-1394995859.14,-17776496135.02
Sale Of Investment,1882932347.76,4926721004.44,4026626153.85,2129587357.25
Purchase Of Investment,-1457584779.87,-805992358.95,-5421622012.99,-19906083492.27
Net Business Purchase And Sale,424370829.87,2855806479.32,-112738021.83,-680269014.5
Sale Of Business,973775269.53,2858621673.03,1973007836.38,583436210.39
Purchase Of Business,-549404439.66,-2815193.71,-2085745858.21,-1263705224.89
Net PPE Purchase And Sale,-171669963.61,-160546526.34,-105677304.93,-135401894.21
Sale Of PPE,7803791.75,18778006.35,80514149.56,136225533.88
Purchase Of PPE,-179473755.36,-179324532.69,-186191454.49,-271627428.09
Capital Expenditure Reported,,,,
Operating Cash Flow,6257310590.23,13930007542.3,7422377090.4,10551217228.46
Change In Working Capital,-15468766869.97,-15486279588.18,-25254762080.1,-27896049820.94
Change In Other Current Assets,-1769451819.33,-2409862790.01,-3503504161.22,-1960731856.44
Change In Payable,-99837476758.71,-25734314487.77,17403490809.02,61590877139.39
Change In Inventory,69968241729.61,29998381274.74,-67738099926.73,-63712214349.39
Change In Receivables,16169919978.46,-17340483585.14,28583351198.83,-23813980754.5
Other Non Cash Items,6048095782.84,6643020264.62,6452251304.08,5681081787.43
Deferred Tax,,,,
Depreciation And Amortization,2166271296.84,2244133312.4,2130965521.94,1990465505.85
Amortization Cash Flow,48147372.92,48619715.2,50440928.38,46997541.85
Depreciation,2118123923.92,2195513597.2,2080524593.56,1943467964.0
Gain Loss On Investment Securities,-1866516622.88,-2227736395.16,-4059159509.18,-6457375405.4
Gain Loss On Sale Of PPE,-83107903.79,-229962380.35,-111809623.28,-14392696.72
Net Income From Continuing Operations,9737888127.72,17899220617.03,26987449623.07,37189475817.22
Cash Flowsfromusedin Operating Activities Direct,6257310590.23,13930007542.3,7422377090.4,10551217228.46
Taxes Refund Paid Direct,-27126182459.32,-37866918622.49,-34202750279.53,-52835949472.24
Interest Received Direct,,65620481.93,91540124.4,91028924.39
Classesof Cash Payments,-337758538248.11,-366550227789.68,-400728964460.28,-445308816355.1
Other Cash Paymentsfrom Operating Activities,-91693075918.22,-101363551833.69,-137826087057.27,-143501680332.44
Paymentson Behalfof Employees,-9304841628.01,-10020569645.95,-9770407594.71,-9344132692.31
Paymentsto Suppliersfor Goodsand Services,-236760620701.88,-255166106310.04,-253132469808.3,-292463003330.35
Classesof Cash Receiptsfrom Operating Activities,371142031297.66,418281533472.54,442262551705.81,508604954131.41
Other Cash Receiptsfrom Operating Activities,79858154517.37,79820514235.84,145091937365.21,129680444801.13
Receiptsfrom Customers,291283876780.29,338461019236.7,297170614340.6,378924509330.28
