,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,9620341455.0,9620341455.0,9620341455.0,9620341455.0
Share Issued,9620341455.0,9620341455.0,9620341455.0,9620341455.0
Total Debt,13008000000.0,13380000000.0,12717000000.0,13100000000.0
Tangible Book Value,282713000000.0,241112000000.0,188439000000.0,219860000000.0
Invested Capital,301703000000.0,259871000000.0,206476000000.0,236736000000.0
Net Tangible Assets,282713000000.0,241112000000.0,188439000000.0,219860000000.0
Capital Lease Obligations,2722000000.0,3095000000.0,2718000000.0,3105000000.0
Common Stock Equity,291417000000.0,249586000000.0,196477000000.0,226741000000.0
Total Capitalization,301703000000.0,259871000000.0,206476000000.0,236736000000.0
Total Equity Gross Minority Interest,318481000000.0,267704000000.0,201672000000.0,232405000000.0
Minority Interest,27064000000.0,18118000000.0,5195000000.0,5664000000.0
Stockholders Equity,291417000000.0,249586000000.0,196477000000.0,226741000000.0
Other Equity Interest,,,,
Retained Earnings,151890000000.0,121448000000.0,92588000000.0,93169000000.0
Additional Paid In Capital,2000000.0,79008000000.0,79008000000.0,2000000.0
Capital Stock,9620000000.0,9620000000.0,9620000000.0,9620000000.0
Common Stock,9620000000.0,9620000000.0,9620000000.0,9620000000.0
Total Liabilities Net Minority Interest,2516426000000.0,2076258000000.0,1869664000000.0,1713759000000.0
Derivative Product Liabilities,96000000.0,21000000.0,8000000.0,1000000.0
Non Current Deferred Revenue,,17026000000.0,17891000000.0,25154000000.0
Non Current Deferred Taxes Liabilities,7362000000.0,1119000000.0,568000000.0,3601000000.0
Long Term Debt And Capital Lease Obligation,13008000000.0,13380000000.0,12717000000.0,13100000000.0
Long Term Capital Lease Obligation,2722000000.0,3095000000.0,2718000000.0,3105000000.0
Long Term Debt,10286000000.0,10285000000.0,9999000000.0,9995000000.0
Payables,18591000000.0,18644000000.0,18909000000.0,69076000000.0
Other Payable,16111000000.0,15108000000.0,13743000000.0,11598000000.0
Dividends Payable,,,24858000000.0,24176000000.0
Total Tax Payable,2480000000.0,3536000000.0,5166000000.0,4138000000.0
Accounts Payable,,,30525000000.0,29164000000.0
Total Assets,2834907000000.0,2343962000000.0,2071336000000.0,1946164000000.0
Non Current Deferred Taxes Assets,3464000000.0,7076000000.0,19661000000.0,1998000000.0
Financial Assets,26000000.0,17000000.0,197000000.0,259000000.0
Investments And Advances,2504575000000.0,2032537000000.0,1281921000000.0,1081405000000.0
Investmentin Financial Assets,2482055000000.0,2009353000000.0,541007000000.0,409040000000.0
Held To Maturity Securities,,,514250000000.0,396428000000.0
Trading Securities,667199000000.0,581602000000.0,26560000000.0,12353000000.0
Long Term Equity Investment,22520000000.0,23184000000.0,25829000000.0,26984000000.0
Investment Properties,8951000000.0,10667000000.0,11202000000.0,7514000000.0
Goodwill And Other Intangible Assets,8704000000.0,8474000000.0,8038000000.0,6881000000.0
Other Intangible Assets,7347000000.0,7117000000.0,6666000000.0,5509000000.0
Goodwill,1357000000.0,1357000000.0,1372000000.0,1372000000.0
Net PPE,25665000000.0,24749000000.0,22786000000.0,22693000000.0
Accumulated Depreciation,-13794000000.0,-12356000000.0,-11389000000.0,-10453000000.0
Gross PPE,39459000000.0,37105000000.0,34175000000.0,33146000000.0
Construction In Progress,2489000000.0,2459000000.0,2291000000.0,1714000000.0
Other Properties,10465000000.0,10631000000.0,10130000000.0,10400000000.0
Properties,26505000000.0,24015000000.0,21754000000.0,21032000000.0
Other Receivables,,,19656000000.0,20427000000.0
Accounts Receivable,,,74775000000.0,67766000000.0
Cash Cash Equivalents And Short Term Investments,29357000000.0,31455000000.0,748219000000.0,677926000000.0
Other Short Term Investments,,,715085000000.0,645381000000.0
Cash And Cash Equivalents,29357000000.0,31455000000.0,33134000000.0,32545000000.0
