,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,400980000.0,400980000.0,400980000.0,400980000.0
Share Issued,400980000.0,400980000.0,400980000.0,400980000.0
Total Debt,206305633.42,240407515.18,458780651.35,111524710.8
Tangible Book Value,2490630981.67,2744836043.57,2752321328.46,3274189413.31
Invested Capital,2672378769.82,2914043715.97,3155132376.15,3458104768.81
Working Capital,1313161704.81,1428529121.53,1443320053.73,2069217634.95
Net Tangible Assets,2490630981.67,2744836043.57,2752321328.46,3274189413.31
Capital Lease Obligations,62777057.54,83139680.17,99441213.81,58368791.93
Common Stock Equity,2648781272.06,2911043715.97,2927002376.15,3458104768.81
Total Capitalization,2648781272.06,2911043715.97,2927002376.15,3458104768.81
Total Equity Gross Minority Interest,2652581081.64,2919310477.39,2936356397.45,3467074052.24
Minority Interest,3799809.58,8266761.42,9354021.3,8969283.43
Stockholders Equity,2648781272.06,2911043715.97,2927002376.15,3458104768.81
Treasury Stock,,,135117870.33,193025529.04
Retained Earnings,150981155.54,414841813.77,508120750.84,1086825879.84
Additional Paid In Capital,1867592138.77,1867592138.77,1915510779.73,1929743708.79
Capital Stock,400980000.0,400980000.0,400980000.0,400980000.0
Common Stock,400980000.0,400980000.0,400980000.0,400980000.0
Total Liabilities Net Minority Interest,883574545.34,1122408501.87,1328459745.79,900254985.17
Total Non Current Liabilities Net Minority Interest,82647679.04,98519336.53,126677525.49,70958891.19
Non Current Deferred Taxes Liabilities,19870621.5,15379656.36,27236311.68,12590099.26
Long Term Debt And Capital Lease Obligation,62777057.54,83139680.17,99441213.81,58368791.93
Long Term Capital Lease Obligation,62777057.54,83139680.17,99441213.81,58368791.93
Current Liabilities,800926866.3,1023889165.34,1201782220.3,829296093.98
Other Current Liabilities,7393121.04,8285817.07,4956433.37,3288663.33
Current Debt And Capital Lease Obligation,143528575.88,157267835.01,359339437.54,53155918.87
Current Debt,23597497.76,3000000.0,228130000.0,
Payables,600298708.13,814885242.97,802811191.98,752579102.76
Other Payable,130798107.58,193365032.45,228572879.68,232687960.7
Total Tax Payable,16314655.39,11742108.75,4323328.7,8308140.3
Accounts Payable,453185945.16,609778101.77,569914983.6,511583001.76
Total Assets,3536155626.98,4041718979.26,4264816143.24,4367329037.41
Total Non Current Assets,1422067055.87,1589300692.39,1619713869.21,1468815308.48
Non Current Deferred Assets,80895344.23,114436545.65,177864669.43,145938605.93
Non Current Deferred Taxes Assets,37552265.15,69964205.08,83540014.79,105937094.7
Investmentin Financial Assets,441337418.16,395622802.82,341164287.57,301933995.09
Available For Sale Securities,441337418.16,395622802.82,341164287.57,301933995.09
Long Term Equity Investment,86838028.52,106502639.23,112073724.74,158347582.68
Investment Properties,32596586.11,33674447.92,34737498.23,35815359.98
Goodwill And Other Intangible Assets,158150290.39,166207672.4,174681047.69,183915355.5
Other Intangible Assets,158150290.39,166207672.4,174681047.69,183915355.5
Net PPE,584697123.31,702892379.29,695652626.76,536927314.6
Accumulated Depreciation,-406429193.88,-379550005.33,-367791129.25,-334309069.22
Gross PPE,991126317.19,1082442384.62,1063443756.01,871236383.82
Construction In Progress,1941313.24,29038229.65,35447938.59,32413337.44
Other Properties,369918144.12,440654770.2,413005993.92,239187278.78
Machinery Furniture Equipment,189968617.58,184631335.17,185691581.25,183979751.48
Buildings And Improvements,,,,
Properties,429298242.25,428118049.6,429298242.25,415656016.12
Current Assets,2114088571.11,2452418286.87,2645102274.03,2898513728.93
Other Current Assets,57776703.78,58663942.77,61289070.97,71498401.13
Prepaid Assets,73701031.46,74132146.57,88440932.01,74300741.54
Inventory,673354985.25,735126520.1,786179049.65,666442908.61
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,654172372.58,716546532.92,745024141.86,636863438.86
Work In Process,12861613.56,12018968.79,23553214.72,21423797.71
Raw Materials,6320999.11,6561018.39,17601693.07,8155672.04
Other Receivables,61967403.4,77329541.16,94151879.35,43679791.54
Accounts Receivable,822345942.63,933143366.04,984902419.53,998253980.28
Allowance For Doubtful Accounts Receivable,-180908288.44,-188376245.34,-172577625.23,-132273827.32
Gross Accounts Receivable,1003254231.07,1121519611.38,1157480044.76,1130527807.6
Cash Cash Equivalents And Short Term Investments,424942504.59,574022770.23,630138922.52,1044337905.83
Other Short Term Investments,5000000.0,9428691.02,109428691.02,201000000.0
Cash And Cash Equivalents,419942504.59,564594079.21,520710231.5,843337905.83
Cash Equivalents,7702327.96,53994489.94,33440632.62,23600656.58
Cash Financial,412240176.63,510599589.27,487269598.88,819737249.25
