,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,7655955883.0,7025769025.0,6997273076.0,6986563844.0
Share Issued,7655955883.0,7025769025.0,6997273076.0,6986563844.0
Net Debt,,,3748945000.0,
Total Debt,86255072000.0,74680910000.0,67767150000.0,55775613000.0
Tangible Book Value,170160065000.0,113562852000.0,97477668000.0,79820300000.0
Invested Capital,261517138000.0,221054706000.0,201954280000.0,150162645000.0
Working Capital,37243980000.0,30075259000.0,54757530000.0,26013029000.0
Net Tangible Assets,170160065000.0,113562852000.0,97477668000.0,79820300000.0
Capital Lease Obligations,1825258000.0,2047319000.0,1507480000.0,1533552000.0
Common Stock Equity,216750057000.0,162878825000.0,142935236000.0,124868124000.0
Total Capitalization,230508589000.0,212235530000.0,196784800000.0,144602144000.0
Total Equity Gross Minority Interest,227667391000.0,174299649000.0,151923802000.0,134825076000.0
Minority Interest,10917334000.0,11420824000.0,8988566000.0,9956952000.0
Stockholders Equity,216750057000.0,162878825000.0,142935236000.0,124868124000.0
Treasury Stock,5728446000.0,12871738000.0,14933944000.0,14044550000.0
Retained Earnings,153591532000.0,136284347000.0,119679202000.0,102982763000.0
Additional Paid In Capital,46347283000.0,1840328000.0,15507577000.0,14944914000.0
Capital Stock,7655956000.0,7025769000.0,6997273000.0,6986564000.0
Common Stock,7655956000.0,7025769000.0,6997273000.0,6986564000.0
Total Liabilities Net Minority Interest,376684462000.0,311738535000.0,270631465000.0,253121028000.0
Total Non Current Liabilities Net Minority Interest,24864656000.0,60492814000.0,64289724000.0,30269552000.0
Other Non Current Liabilities,827345000.0,821704000.0,1075459000.0,998260000.0
Tradeand Other Payables Non Current,1360484000.0,1433874000.0,1488456000.0,1825016000.0
Non Current Deferred Revenue,2196222000.0,1734932000.0,1721092000.0,1228459000.0
Non Current Deferred Taxes Liabilities,4896815000.0,5098280000.0,4647673000.0,4950245000.0
Long Term Debt And Capital Lease Obligation,15583790000.0,51404024000.0,55357044000.0,21267572000.0
Long Term Capital Lease Obligation,1825258000.0,2047319000.0,1507480000.0,1533552000.0
Long Term Debt,13758532000.0,49356705000.0,53849564000.0,19734020000.0
Current Liabilities,351819806000.0,251245721000.0,206341741000.0,222851476000.0
Other Current Liabilities,90434867000.0,71297928000.0,57843528000.0,48227953000.0
Current Debt And Capital Lease Obligation,70671282000.0,23276886000.0,12410106000.0,34508041000.0
Current Debt,31008549000.0,8819176000.0,5169480000.0,5560501000.0
Payables,137815960000.0,113212130000.0,106235223000.0,115963105000.0
Other Payable,12847655000.0,13518955000.0,11474242000.0,11823272000.0
Total Tax Payable,6194057000.0,5455102000.0,4955335000.0,5404267000.0
Accounts Payable,118774248000.0,94238073000.0,89805646000.0,98735566000.0
Total Assets,604351853000.0,486038184000.0,422555267000.0,387946104000.0
Total Non Current Assets,215288067000.0,204717204000.0,161455996000.0,139081599000.0
Other Non Current Assets,99342844000.0,80603526000.0,42840079000.0,36374356000.0
