,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,133747200.0,133747200.0,133747200.0,133747200.0
Share Issued,133747200.0,133747200.0,133747200.0,133747200.0
Net Debt,44474137.59,,,
Total Debt,285422929.67,4780802.84,1775356.19,2310465.72
Tangible Book Value,377316114.91,408216151.6,392462353.12,220912702.35
Invested Capital,646665994.8,408240131.53,392500998.13,220966072.44
Working Capital,143092139.15,155626941.4,162242046.25,170780029.72
Net Tangible Assets,377316114.91,408216151.6,392462353.12,220912702.35
Capital Lease Obligations,6276128.62,3315904.62,1206765.64,1719171.62
Common Stock Equity,377792849.34,408240131.53,392500998.13,220966072.44
Total Capitalization,377792849.34,408240131.53,392500998.13,220966072.44
Total Equity Gross Minority Interest,448797389.81,408240131.53,392500998.13,220966072.44
Minority Interest,71004540.47,,,
Stockholders Equity,377792849.34,408240131.53,392500998.13,220966072.44
Retained Earnings,234967748.62,222478031.32,208177277.87,53740989.57
Additional Paid In Capital,0.0,862080.0,862080.0,0.0
Capital Stock,133747200.0,133747200.0,133747200.0,133747200.0
Common Stock,133747200.0,133747200.0,133747200.0,133747200.0
Total Liabilities Net Minority Interest,618465553.62,171145163.88,167287820.51,106233548.47
Total Non Current Liabilities Net Minority Interest,75148967.86,67755894.23,59129117.42,1890826.38
Non Current Deferred Revenue,3657069.29,,,
Non Current Deferred Taxes Liabilities,65215769.95,64439989.61,57922351.78,171654.76
Long Term Debt And Capital Lease Obligation,6276128.62,3315904.62,1206765.64,1719171.62
Long Term Capital Lease Obligation,6276128.62,3315904.62,1206765.64,1719171.62
Current Liabilities,543316585.76,103389269.65,108158703.09,104342722.09
Other Current Liabilities,25167216.82,139658.71,112232.37,119339.96
Current Debt And Capital Lease Obligation,279146801.05,1464898.22,568590.55,591294.1
Current Debt,268873145.46,,,
Payables,237494487.51,100710414.96,106614554.27,102714088.38
Other Payable,66157219.19,4108015.24,3159532.81,2223279.99
Dividends Payable,13942188.0,567468.0,567468.0,567468.0
Total Tax Payable,3443523.85,558954.04,556577.16,1541373.53
Accounts Payable,153951556.47,95475977.68,102330976.3,98381966.86
Total Assets,1067262943.43,579385295.41,559788818.64,327199620.91
Total Non Current Assets,380854218.52,320369084.36,289388069.3,52076869.1
Other Non Current Assets,113100.0,,351019.91,
Non Current Deferred Assets,14693604.38,3857361.2,1112328.97,1098734.55
Non Current Deferred Taxes Assets,2256561.13,,42623.97,1906.91
Investmentin Financial Assets,308000000.0,305000000.0,279000000.0,47310592.89
Available For Sale Securities,308000000.0,305000000.0,279000000.0,47310592.89
Goodwill And Other Intangible Assets,476734.43,23979.93,38645.01,53370.09
Other Intangible Assets,476734.43,23979.93,38645.01,53370.09
Goodwill,,,,
Net PPE,55314218.58,11487743.23,8843451.44,3612264.66
Accumulated Depreciation,,-7500838.37,-7408856.4,-8680540.93
Gross PPE,55314218.58,18988581.6,16252307.84,12292805.59
Other Properties,55314218.58,17003366.8,13380191.9,9420689.65
Machinery Furniture Equipment,,1651172.8,2399186.73,2399186.73
Buildings And Improvements,,,,
Properties,,334042.0,472929.21,472929.21
Current Assets,686408724.91,259016211.05,270400749.34,275122751.81
Other Current Assets,5009477.34,2337886.38,1886595.32,895071.42
Prepaid Assets,25232580.54,1459822.74,3020167.45,5207125.18
Inventory,154695251.57,16491847.79,11700504.09,9800519.18
Inventories Adjustments Allowances,0.0,,,
Other Inventories,,,,
Finished Goods,59641475.89,4178790.68,4984764.29,3022065.62
Raw Materials,95053775.68,12313057.11,6715739.8,6778453.56
Other Receivables,98883932.86,3739260.85,4721499.02,12609038.32
Accounts Receivable,174913879.97,34048159.39,26989261.77,18762352.13
Allowance For Doubtful Accounts Receivable,,-14799739.89,-13248232.71,-12252648.44
Gross Accounts Receivable,,48847899.28,40237494.48,31015000.57
Cash Cash Equivalents And Short Term Investments,227673602.63,200939233.9,222082721.69,227848645.58
Other Short Term Investments,3274594.76,3212116.03,77304932.72,152663660.89
Cash And Cash Equivalents,224399007.87,197727117.87,144777788.97,75184984.69
Cash Equivalents,109566650.09,45000010.0,48500010.0,47978286.9
Cash Financial,114832357.78,152727107.87,96277778.97,27206697.79
