,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,374816000000.0,380195000000.0,348892000000.0,280863000000.0
Repurchase Of Capital Stock,,,0.0,0.0
Repayment Of Debt,-35138000000.0,-577000000.0,-8275000000.0,-11000000.0
Issuance Of Debt,35065000000.0,43000000.0,688000000.0,116000000.0
Capital Expenditure,-3979000000.0,-4171000000.0,-3076000000.0,-5583000000.0
End Cash Position,85505000000.0,148061000000.0,127594000000.0,60459000000.0
Beginning Cash Position,148061000000.0,127594000000.0,60459000000.0,56704000000.0
Effect Of Exchange Rate Changes,28000000.0,64000000.0,217000000.0,-71000000.0
Changes In Cash,-62584000000.0,20403000000.0,66918000000.0,3826000000.0
Financing Cash Flow,-86759000000.0,60273000000.0,-120095000000.0,111219000000.0
Cash Flow From Continuing Financing Activities,,,-120095000000.0,111219000000.0
Net Other Financing Charges,-59771000000.0,82996000000.0,-86122000000.0,137794000000.0
Interest Paid Cff,,,-7545000000.0,-8219000000.0
Cash Dividends Paid,-26915000000.0,-22189000000.0,-26386000000.0,-26680000000.0
Common Stock Dividend Paid,,,,
Net Common Stock Issuance,,,0.0,0.0
Common Stock Payments,,,0.0,0.0
Net Issuance Payments Of Debt,-73000000.0,-534000000.0,-7587000000.0,105000000.0
Net Long Term Debt Issuance,-73000000.0,-534000000.0,-7587000000.0,105000000.0
Long Term Debt Payments,-35138000000.0,-577000000.0,-8275000000.0,-11000000.0
Long Term Debt Issuance,35065000000.0,43000000.0,688000000.0,116000000.0
Investing Cash Flow,-354620000000.0,-424236000000.0,-164955000000.0,-393839000000.0
Cash Flow From Continuing Investing Activities,,,-164955000000.0,-393839000000.0
Net Other Investing Changes,-8417000000.0,21639000000.0,-27327000000.0,-2804000000.0
Interest Received Cfi,,,153194000000.0,142311000000.0
Dividends Received Cfi,,,34330000000.0,32177000000.0
Net Investment Purchase And Sale,-337425000000.0,-408712000000.0,-86369000000.0,-314950000000.0
Sale Of Investment,2413504000000.0,1382842000000.0,1348071000000.0,868320000000.0
Purchase Of Investment,-2750929000000.0,-1791554000000.0,-1434440000000.0,-1183270000000.0
Net Business Purchase And Sale,-5060000000.0,-34043000000.0,-30348000000.0,-35364000000.0
Sale Of Business,8664000000.0,,4395000000.0,559000000.0
Purchase Of Business,-13724000000.0,-34043000000.0,-34743000000.0,-35923000000.0
Net PPE Purchase And Sale,-3718000000.0,-3120000000.0,-2713000000.0,-5242000000.0
Sale Of PPE,261000000.0,1051000000.0,363000000.0,341000000.0
Purchase Of PPE,-3979000000.0,-4171000000.0,-3076000000.0,-5583000000.0
Operating Cash Flow,378795000000.0,384366000000.0,351968000000.0,286446000000.0
Cash Flow From Continuing Operating Activities,,,351968000000.0,286446000000.0
Taxes Refund Paid,,,982000000.0,-5862000000.0
Interest Received Cfo,,,5401000000.0,3753000000.0
Dividend Received Cfo,,,699000000.0,826000000.0
Change In Working Capital,-15954000000.0,-8251000000.0,39465000000.0,-17332000000.0
Change In Other Working Capital,,,75266000000.0,47241000000.0
Change In Other Current Liabilities,,,3175000000.0,-1478000000.0
Change In Other Current Assets,,-13777000000.0,-35286000000.0,-44527000000.0
Change In Payable,-15978000000.0,13389000000.0,64285000000.0,23568000000.0
Change In Receivables,24000000.0,-7863000000.0,10466000000.0,3627000000.0
Other Non Cash Items,-116758000000.0,8190000000.0,7699000000.0,8915000000.0
Provisionand Write Offof Assets,1404000000.0,53001000000.0,21396000000.0,22809000000.0
Deferred Tax,4707000000.0,-1960000000.0,,
Depreciation And Amortization,5029000000.0,5016000000.0,4928000000.0,4939000000.0
Amortization Cash Flow,,383000000.0,360000000.0,341000000.0
Depreciation,5029000000.0,5016000000.0,4568000000.0,4598000000.0
Operating Gains Losses,,,-187595000000.0,-214647000000.0
Earnings Losses From Equity Investments,,,-484000000.0,-10328000000.0
Gain Loss On Investment Securities,-188538000000.0,-182467000000.0,-206485000000.0,-221697000000.0
Net Foreign Currency Exchange Gain Loss,25000000.0,381000000.0,69000000.0,-645000000.0
Gain Loss On Sale Of PPE,-84000000.0,-66000000.0,-124000000.0,-53000000.0
Net Income From Continuing Operations,108940000000.0,52707000000.0,33514000000.0,52257000000.0
Cash Flowsfromusedin Operating Activities Direct,378795000000.0,384366000000.0,351968000000.0,286446000000.0
Classesof Cash Payments,-446736000000.0,-405435000000.0,-334417000000.0,-357491000000.0
Other Cash Paymentsfrom Operating Activities,-94019000000.0,-92715000000.0,-105187000000.0,-120057000000.0
Paymentson Behalfof Employees,-24614000000.0,-25838000000.0,-26319000000.0,-24117000000.0
Classesof Cash Receiptsfrom Operating Activities,825531000000.0,789801000000.0,686385000000.0,643937000000.0
Other Cash Receiptsfrom Operating Activities,14528000000.0,9670000000.0,21030000000.0,14417000000.0
