,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1203593.433404,-2966946.820014,2736005.984078,1167493.355454
Tax Rate For Calcs,0.05233,0.080188,0.073946,0.089807
Total Unusual Items,-23000000.0,-37000000.0,37000000.0,13000000.0
Total Unusual Items Excluding Goodwill,-23000000.0,-37000000.0,37000000.0,13000000.0
Net Income From Continuing Operation Net Minority Interest,45257000000.0,36702000000.0,51171000000.0,53003000000.0
Reconciled Depreciation,8287000000.0,8575000000.0,7828000000.0,7261000000.0
Net Interest Income,114717000000.0,118435000000.0,133669000000.0,135958000000.0
Interest Expense,173408000000.0,179163000000.0,165851000000.0,164735000000.0
Interest Income,288125000000.0,297598000000.0,299520000000.0,300693000000.0
Normalized Income,45278796406.5666,36736033053.179985,51136736005.98408,52991167493.35545
Net Income From Continuing And Discontinued Operation,45257000000.0,36702000000.0,51171000000.0,53003000000.0
Diluted Average Shares,36205600000.0,37072727273.0,35535416667.0,35335333333.0
Basic Average Shares,33277205882.0,34300934579.0,32801923077.0,32717901235.0
Diluted EPS,1.25,0.99,1.44,1.5
Basic EPS,1.36,1.07,1.56,1.62
Net Income Common Stockholders,45257000000.0,36702000000.0,51171000000.0,53003000000.0
Net Income,45257000000.0,36702000000.0,51171000000.0,53003000000.0
Minority Interests,-578000000.0,-727000000.0,-826000000.0,-763000000.0
Net Income Including Noncontrolling Interests,45835000000.0,37429000000.0,51997000000.0,53766000000.0
Net Income Continuous Operations,45835000000.0,37429000000.0,51997000000.0,53766000000.0
Tax Provision,2531000000.0,3263000000.0,4152000000.0,5305000000.0
Pretax Income,48366000000.0,40692000000.0,56149000000.0,59071000000.0
Other Non Operating Income Expenses,923000000.0,-44000000.0,-124000000.0,-134000000.0
Special Income Charges,-23000000.0,-37000000.0,37000000.0,13000000.0
Other Special Charges,-20000000.0,-72000000.0,-84000000.0,-26000000.0
Write Off,43000000.0,109000000.0,47000000.0,13000000.0
Gain On Sale Of Security,27375000000.0,30245000000.0,15793000000.0,21578000000.0
Operating Expense,53825000000.0,55835000000.0,56350000000.0,53433000000.0
Other Operating Expenses,4030000000.0,4411000000.0,3743000000.0,3455000000.0
Depreciation And Amortization In Income Statement,6652000000.0,7075000000.0,6801000000.0,6226000000.0
Depreciation Income Statement,6652000000.0,7075000000.0,6801000000.0,6226000000.0
Selling General And Administration,14913000000.0,15842000000.0,16869000000.0,15352000000.0
General And Administrative Expense,14913000000.0,15842000000.0,16869000000.0,15352000000.0
Rent And Landing Fees,,,,
Total Revenue,170511000000.0,173139000000.0,188308000000.0,190733000000.0
Operating Revenue,170511000000.0,173139000000.0,188308000000.0,190733000000.0
