,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,100000000.0,100000000.0,100000000.0,75000000.0
Share Issued,100000000.0,100000000.0,100000000.0,75000000.0
Total Debt,27873081.43,3898635.34,36111591.78,117103215.67
Tangible Book Value,1102742125.85,1075013038.33,1001921426.07,415877340.16
Invested Capital,1134301302.65,1082257514.27,1040597581.43,536513761.75
Working Capital,1033340954.28,1005196217.49,944135585.14,335726887.46
Net Tangible Assets,1102742125.85,1075013038.33,1001921426.07,415877340.16
Capital Lease Obligations,1585929.64,2150631.55,3151902.66,1887225.23
Common Stock Equity,1110435199.21,1082257514.27,1009348273.61,423289612.23
Total Capitalization,1110435199.21,1082257514.27,1009348273.61,423289612.23
Total Equity Gross Minority Interest,1126292470.96,1089965062.66,1013392235.75,427097769.25
Minority Interest,15857271.75,7707548.39,4043962.14,3808157.02
Stockholders Equity,1110435199.21,1082257514.27,1009348273.61,423289612.23
Retained Earnings,360311280.65,332226440.31,269871786.54,185764628.31
Additional Paid In Capital,530250969.12,530250969.12,550250969.12,84903808.79
Capital Stock,100000000.0,100000000.0,80000000.0,60000000.0
Common Stock,100000000.0,100000000.0,80000000.0,60000000.0
Total Liabilities Net Minority Interest,826218412.73,814397427.78,763754058.5,732618796.88
Total Non Current Liabilities Net Minority Interest,30547122.18,28572587.07,17892931.02,16000078.03
Other Non Current Liabilities,11183840.39,11292847.91,9238016.8,9544650.73
Tradeand Other Payables Non Current,65569.85,632325.46,610379.24,612161.0
Non Current Deferred Taxes Liabilities,17711782.3,14496782.15,4892632.32,3956041.07
Long Term Debt And Capital Lease Obligation,1585929.64,2150631.55,3151902.66,1887225.23
Long Term Capital Lease Obligation,1585929.64,2150631.55,3151902.66,1887225.23
Current Liabilities,795671290.55,785824840.71,745861127.48,716618718.85
Current Debt And Capital Lease Obligation,26287151.79,1748003.79,32959689.12,115215990.44
Current Debt,23866103.44,,31249307.82,113224149.52
Payables,680782299.35,710724945.88,638317368.25,579630823.28
Other Payable,66619850.8,72886879.52,41067610.77,29756219.24
Total Tax Payable,15374255.49,7980749.03,7330079.22,14579845.55
Accounts Payable,598788193.06,629857317.33,589919678.26,535294758.49
Total Assets,1952510883.69,1904362490.44,1777146294.25,1159716566.13
Total Non Current Assets,123498638.86,113341432.24,87149581.63,107370959.82
Other Non Current Assets,23661503.85,34843950.71,17348658.87,40717384.51
Non Current Deferred Taxes Assets,12755515.14,12482616.81,14578928.51,13382191.85
Investmentin Financial Assets,12947918.04,,,
Available For Sale Securities,12947918.04,,,
Long Term Equity Investment,2342859.23,2332022.4,2314172.96,2284662.41
Investment Properties,531707.64,598758.96,713065.68,827372.4
Goodwill And Other Intangible Assets,7693073.36,7244475.94,7426847.54,7412272.07
Other Intangible Assets,7693073.36,7244475.94,7426847.54,7412272.07
Net PPE,63566061.6,55839607.42,44767908.07,42747076.58
Accumulated Depreciation,-25651491.69,-21230302.34,-17954290.34,-14935990.64
Gross PPE,89217553.29,77069909.76,62722198.41,57683067.22
Construction In Progress,2577156.79,13103863.94,,863112.49
Other Properties,11278225.92,7895343.33,7911925.85,3422162.29
Machinery Furniture Equipment,5535801.88,5194289.27,3933377.7,5646020.04
Properties,69826368.7,50876413.22,50876894.86,47751772.4
Current Assets,1829012244.83,1791021058.2,1689996712.62,1052345606.31
Other Current Assets,121512159.5,97604166.69,58265105.32,68863703.68
Prepaid Assets,110647060.26,89024613.33,50995260.16,37006005.33
Inventory,3585610.06,,66824.45,5166380.08
Other Receivables,605626131.27,485006675.54,423871062.53,430341862.23
Accounts Receivable,362233577.57,396889272.26,484443368.28,355571294.26
Allowance For Doubtful Accounts Receivable,-31458392.48,-35410034.25,-32693771.98,-26681215.65
Gross Accounts Receivable,393691970.05,432299306.51,517137140.26,382252509.91
Cash Cash Equivalents And Short Term Investments,625407706.17,722496330.38,672355091.88,155396360.73
Other Short Term Investments,50025000.0,,122119888.89,217222.27
Cash And Cash Equivalents,575382706.17,722496330.38,550235202.99,155179138.46
Cash Equivalents,486724.06,12499607.35,7895104.7,13229111.16
Cash Financial,574895982.11,709996723.03,542340098.29,141950027.3
