,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,112000000.0,112000000.0,112000000.0,84000000.0
Share Issued,112000000.0,112000000.0,112000000.0,84000000.0
Total Debt,,0.0,46670091.53,54380132.8
Tangible Book Value,1000973855.83,1025046994.35,971865578.53,321723831.51
Invested Capital,1106582228.41,1053064786.67,1045858477.13,402615199.44
Working Capital,633854818.84,717222246.22,716012828.23,66993770.09
Net Tangible Assets,1000973855.83,1025046994.35,971865578.53,321723831.51
Capital Lease Obligations,,0.0,0.0,31258.2
Common Stock Equity,1106582228.41,1053064786.67,999219643.8,348360099.44
Total Capitalization,1106582228.41,1053064786.67,999219643.8,348360099.44
Total Equity Gross Minority Interest,1106582228.41,1053064786.67,999219643.8,348360099.44
Stockholders Equity,1106582228.41,1053064786.67,999219643.8,348360099.44
Retained Earnings,322620836.3,276240779.96,229366879.6,178758692.23
Additional Paid In Capital,659855651.0,659855651.0,659855651.0,83535290.71
Capital Stock,80000000.0,80000000.0,80000000.0,60000000.0
Common Stock,80000000.0,80000000.0,80000000.0,60000000.0
Total Liabilities Net Minority Interest,145193864.64,89902436.34,133205203.97,136496684.17
Total Non Current Liabilities Net Minority Interest,28602865.63,9598852.47,5039683.82,4559094.16
Non Current Deferred Revenue,28602865.63,9598852.47,4075986.57,3563927.22
Non Current Deferred Taxes Liabilities,,,963697.25,963908.74
Long Term Debt And Capital Lease Obligation,,0.0,0.0,31258.2
Long Term Capital Lease Obligation,,0.0,0.0,31258.2
Long Term Debt,,0.0,0.0,
Current Liabilities,116590999.01,80303583.87,128165520.15,131937590.01
Other Current Liabilities,18537.34,102215.66,2495.73,169301.4
Current Debt And Capital Lease Obligation,,0.0,46670091.53,54348874.6
Current Debt,,0.0,46638833.33,54255100.0
Payables,114646830.01,79170346.94,80368874.81,74815655.43
Other Payable,14497890.8,11376922.3,23206561.66,8100468.42
Total Tax Payable,10645645.4,5886933.21,5113685.7,2375475.59
Accounts Payable,89503293.81,61906491.43,52048627.45,64339711.42
Total Assets,1251776093.05,1142967223.01,1132424847.77,484856783.61
Total Non Current Assets,501330275.2,345441392.92,288246499.39,285925423.51
Other Non Current Assets,15158550.49,13053132.2,811238.9,4997862.09
Non Current Deferred Taxes Assets,7574006.26,2356629.68,2106263.74,1651525.04
Long Term Equity Investment,,0.0,0.0,
Investment Properties,7025581.15,7625187.39,8234005.43,8838217.55
Goodwill And Other Intangible Assets,105608372.58,28017792.32,27354065.27,26636267.93
Other Intangible Assets,105608372.58,28017792.32,27354065.27,26636267.93
Net PPE,365963764.72,294388651.33,249740926.05,243801550.9
Accumulated Depreciation,-126439467.65,-101039460.61,-79229524.28,-58377006.6
Gross PPE,492403232.37,395428111.94,328970450.33,302178557.5
Construction In Progress,66599633.34,55316423.4,8422392.44,12845172.35
Other Properties,6328598.23,6178263.54,5894076.49,5495836.6
Machinery Furniture Equipment,290160534.92,214525102.8,195319615.35,163918442.79
Properties,129314465.88,119408322.2,119334366.05,119919105.76
Current Assets,750445817.85,797525830.09,844178348.38,198931360.1
Other Current Assets,1211795.86,,4391102.74,191020.82
Prepaid Assets,1329192.07,402606.71,283819.88,115246.87
Inventory,85753296.48,66351201.37,62451498.16,49933018.43
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,-99866036.86
Finished Goods,27628816.5,19708287.39,16653878.2,15602908.61
Work In Process,42758031.13,35834820.11,34361731.81,25348554.67
Raw Materials,15366448.85,10808093.87,11435888.15,8981555.15
Other Receivables,28450531.38,14457671.31,10639912.07,7900892.81
Accounts Receivable,188938332.16,164453149.36,127904953.67,66298907.38
Allowance For Doubtful Accounts Receivable,-10799454.72,-9478452.28,-7441156.3,-4138390.02
Gross Accounts Receivable,199737786.88,173931601.64,135346109.97,70437297.4
Cash Cash Equivalents And Short Term Investments,444762669.9,551861201.34,638507061.86,74492273.79
Other Short Term Investments,225450095.9,,1013659.7,6853340.0
Cash And Cash Equivalents,219312574.0,551861201.34,637493402.16,67638933.79
Cash Equivalents,5615360.0,1312120.56,638065.29,1071940.69
Cash Financial,213697214.0,550549080.78,636855336.87,66566993.1
