,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-30556013.295698,-27641017.633913,-9161708.320689,-20784155.738813
Tax Rate For Calcs,0.114442,0.122305,0.155283,0.182317
Total Unusual Items,-267000000.0,-226000000.0,-59000000.0,-114000000.0
Total Unusual Items Excluding Goodwill,-267000000.0,-226000000.0,-59000000.0,-114000000.0
Net Income From Continuing Operation Net Minority Interest,282083000000.0,269356000000.0,259232000000.0,241183000000.0
Reconciled Depreciation,23200000000.0,21875000000.0,20222000000.0,19356000000.0
Net Interest Income,580692000000.0,571750000000.0,589883000000.0,577987000000.0
Interest Expense,694988000000.0,651948000000.0,518581000000.0,430027000000.0
Interest Income,1275680000000.0,1223698000000.0,1108464000000.0,1008014000000.0
Normalized Income,282319443986.7043,269554358982.3661,259281838291.67932,241276215844.2612
Net Income From Continuing And Discontinued Operation,282083000000.0,269356000000.0,259232000000.0,241183000000.0
Diluted Average Shares,376110666667.0,374105555556.0,375698550725.0,371050769231.0
Basic Average Shares,376110666667.0,374105555556.0,375698550725.0,371050769231.0
Diluted EPS,0.75,0.72,0.69,0.65
Basic EPS,0.75,0.72,0.69,0.65
Net Income Common Stockholders,282083000000.0,269356000000.0,259232000000.0,241183000000.0
Net Income,282083000000.0,269356000000.0,259232000000.0,241183000000.0
Minority Interests,-588000000.0,-464000000.0,366000000.0,-753000000.0
Net Income Including Noncontrolling Interests,282671000000.0,269820000000.0,258866000000.0,241936000000.0
Net Income Continuous Operations,282671000000.0,269820000000.0,258866000000.0,241936000000.0
Tax Provision,36530000000.0,37599000000.0,47587000000.0,53944000000.0
Pretax Income,319201000000.0,307419000000.0,306453000000.0,295880000000.0
Other Non Operating Income Expenses,-580000000.0,-1374000000.0,-1532000000.0,68000000.0
Special Income Charges,-267000000.0,-226000000.0,-59000000.0,-114000000.0
Write Off,267000000.0,226000000.0,59000000.0,114000000.0
Gain On Sale Of Security,39059000000.0,30630000000.0,22638000000.0,22616000000.0
Operating Expense,259667000000.0,250102000000.0,241342000000.0,258103000000.0
Other Operating Expenses,15247000000.0,14806000000.0,12069000000.0,38795000000.0
Depreciation And Amortization In Income Statement,22869000000.0,21621000000.0,20865000000.0,19797000000.0
Depreciation Income Statement,22869000000.0,21621000000.0,20865000000.0,19797000000.0
Selling General And Administration,61082000000.0,62047000000.0,61861000000.0,61558000000.0
General And Administrative Expense,61082000000.0,62047000000.0,61861000000.0,61558000000.0
Total Revenue,710483000000.0,694639000000.0,694586000000.0,719506000000.0
Operating Revenue,710483000000.0,694639000000.0,694586000000.0,719506000000.0
