Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-08-14 00:00:00+08:00,,,,,0,0.2,0.0
2025-08-13 00:00:00+08:00,57.27000045776367,58.047284771293405,56.70198441304244,60.329316278076895,7794433,0.0,0.0
2025-08-12 00:00:00+08:00,57.79815673828125,59.093631904889385,57.598851989244174,57.60881931747808,6091898,0.0,0.0
2025-08-11 00:00:00+08:00,57.79815673828125,60.05029013856105,57.67857540942777,59.591891876771115,10027173,0.0,0.0
2025-08-08 00:00:00+08:00,59.38262176513672,61.23614941146336,58.82456924536922,60.329316442729784,9155020,0.0,0.0
2025-08-07 00:00:00+08:00,60.28945541381836,61.73441006418597,56.80163567913465,56.83153006040553,15181899,0.0,0.0
2025-08-06 00:00:00+08:00,57.24010467529297,59.05377068384852,54.28044300277207,58.6850593660007,14118737,0.0,0.0
2025-08-05 00:00:00+08:00,58.51565170288086,59.02387519626473,57.658643951970696,58.42596475682231,7322594,0.0,0.0
2025-08-04 00:00:00+08:00,58.22665786743164,58.774743050324176,54.21068390024512,54.45981387441643,11686842,0.0,0.0
2025-08-01 00:00:00+08:00,54.75876998901367,57.20024453656621,54.29040441336847,56.682053725546844,7569051,0.0,0.0
2025-07-31 00:00:00+08:00,56.60232925415039,56.68205267040244,55.0178624696472,56.064207598714205,7492057,0.0,0.0
2025-07-30 00:00:00+08:00,55.94462966918945,56.16386527575904,53.752285007759404,53.96155708740399,8165568,0.0,0.0
2025-07-29 00:00:00+08:00,54.00141143798828,55.58587821418863,53.4533262591035,55.14741083136514,5886665,0.0,0.0
2025-07-28 00:00:00+08:00,55.07765579223633,56.064208372734605,55.05772493789815,55.68553354457455,4951426,0.0,0.0
2025-07-25 00:00:00+08:00,55.6855354309082,56.55250671616761,54.449849030035026,54.449849030035026,8700798,0.0,0.0
2025-07-24 00:00:00+08:00,54.439884185791016,55.00790023494825,54.04127469801458,54.3103355320504,4142643,0.0,0.0
2025-07-23 00:00:00+08:00,54.569427490234375,55.187272558904695,54.26050875732091,54.80859393640058,5878469,0.0,0.0
2025-07-22 00:00:00+08:00,55.15737533569336,56.2435821864553,54.858420123857044,55.705464325718644,7158874,0.0,0.0
2025-07-21 00:00:00+08:00,55.80511474609375,56.30337469918388,53.9316562580768,54.350196595411816,10442419,0.0,0.0
2025-07-18 00:00:00+08:00,54.350196838378906,55.27696065938328,53.80211164781396,53.98148173442024,7546167,0.0,0.0
