,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,414909806.0,373409806.0,373409806.0,373409806.0
Share Issued,414909806.0,373409806.0,373409806.0,373409806.0
Total Debt,118237874.83,127069153.18,149744167.78,85222721.29
Tangible Book Value,2888075333.9,1741169526.82,0.0,1019295933.96
Invested Capital,2896944655.38,1746627527.3,1340176939.55,1022272133.11
Working Capital,2491663557.34,1678815622.53,1264337862.55,975727873.52
Net Tangible Assets,2888075333.9,1741169526.82,0.0,1019295933.96
Capital Lease Obligations,95539875.32,95181985.48,116831618.3,61687144.24
Common Stock Equity,2896944655.38,1746627527.3,0.0,1022272133.11
Total Capitalization,2896944655.38,1746627527.3,0.0,1022272133.11
Total Equity Gross Minority Interest,2924836743.22,1776315685.56,1365499500.0,1046688092.19
Minority Interest,27892087.84,29688158.26,25322531.92,24415959.08
Stockholders Equity,2896944655.38,1746627527.3,0.0,1022272133.11
Retained Earnings,1265538423.39,982727074.1,631080034.12,392644571.92
Additional Paid In Capital,920006152.35,189270082.73,189270082.73,189270082.73
Capital Stock,414909806.0,373409806.0,0.0,373409806.0
Common Stock,414909806.0,373409806.0,0.0,373409806.0
Total Liabilities Net Minority Interest,970104682.53,676843707.92,668424800.0,517987399.9
Total Non Current Liabilities Net Minority Interest,108156627.54,104562261.22,668424800.0,82249152.02
Other Non Current Liabilities,12616752.22,9380275.74,4705116.17,5753110.32
Non Current Deferred Taxes Liabilities,,,32109579.91,14808897.46
Long Term Debt And Capital Lease Obligation,95539875.32,95181985.48,116831618.3,61687144.24
Long Term Capital Lease Obligation,95539875.32,95181985.48,116831618.3,61687144.24
Current Liabilities,861948054.99,572281446.7,514778478.68,435738247.88
Other Current Liabilities,2100815.21,1784667.3,2281345.61,2687752.08
Current Debt And Capital Lease Obligation,22697999.51,31887167.7,32912549.48,23535577.05
Payables,775190325.47,504640918.09,429062746.63,367284221.76
Other Payable,156740623.96,111509309.76,86481079.43,71468059.26
Dividends Payable,,,,
Total Tax Payable,64355436.11,37338054.54,44170653.19,50602517.8
Accounts Payable,554094265.4,355793553.79,298411014.01,245213644.7
Total Assets,3894941425.75,2453159393.48,2033924300.0,1564675492.09
Total Non Current Assets,541329813.42,202062324.25,2033924300.0,153209370.69
Other Non Current Assets,334805431.26,4612756.38,2033924300.0,3014742.4
Non Current Deferred Assets,20278744.62,19220924.5,21689594.47,14709108.86
Non Current Deferred Taxes Assets,35573606.87,26254055.23,52525307.37,30694795.22
Goodwill And Other Intangible Assets,8869321.48,5458000.48,0.0,2976199.15
Other Intangible Assets,8869321.48,5458000.48,3403735.38,2976199.15
Net PPE,141198729.77,146219515.87,0.0,101322975.13
Accumulated Depreciation,,-26236264.37,-19771724.3,-13568817.41
Gross PPE,141198729.77,172455780.24,19771724.3,114891792.54
Construction In Progress,618297.65,,192660.41,407201.97
Other Properties,140580432.12,146192935.78,-1624143.28,97780010.89
Machinery Furniture Equipment,,26262844.46,21395867.58,16704579.68
Current Assets,3353611612.33,2251097069.23,1779116341.23,1411466121.4
Other Current Assets,130976790.96,73623992.78,38432139.7,34787483.81
Prepaid Assets,33341753.4,34923667.52,42059227.31,43729563.05
Inventory,1234641532.22,995849504.75,739375492.69,726159284.46
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,-0.01,
Finished Goods,978700862.89,837651390.91,625059122.41,594748742.38
Work In Process,6227293.41,5193958.0,2418764.8,3282423.16
Raw Materials,249713375.92,153004155.84,111897605.49,128128118.92
Other Receivables,22219327.83,17048979.83,20658110.28,21412142.08
Accounts Receivable,98380612.13,137337089.67,62413912.69,30739475.83
Allowance For Doubtful Accounts Receivable,,-7235364.67,-3285354.57,-1617867.17
Gross Accounts Receivable,,144572454.34,65699267.26,32357343.0
Cash Cash Equivalents And Short Term Investments,1834051595.79,992313834.68,876177458.56,554638172.17
Other Short Term Investments,691313707.33,,,6001269.87
Cash And Cash Equivalents,1142737888.46,992313834.68,876177458.56,548636902.3
Cash Equivalents,71724069.79,45104644.73,48696344.08,26222499.29
Cash Financial,1071013818.67,947209189.95,827481114.48,522414403.01
