,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,146136404.0,146400000.0,146400000.0,146400000.0
Share Issued,146136404.0,146400000.0,146400000.0,146400000.0
Total Debt,114431351.9,55109694.61,7528638.4,5590325.52
Tangible Book Value,1813962913.42,1761503908.11,1717233894.39,1674700299.37
Invested Capital,1987574484.08,1854159094.24,1769218862.53,1712037241.73
Working Capital,1656295463.52,1672789557.55,1697690897.25,1660098978.52
Net Tangible Assets,1813962913.42,1761503908.11,1717233894.39,1674700299.37
Capital Lease Obligations,2385197.39,6032971.49,3807701.32,2355627.19
Common Stock Equity,1879391800.63,1809707717.05,1769218862.53,1712037241.73
Total Capitalization,1879391800.63,1809707717.05,1769218862.53,1712037241.73
Total Equity Gross Minority Interest,1879391800.63,1809707717.05,1769218862.53,1712037241.73
Stockholders Equity,1879391800.63,1809707717.05,1769218862.53,1712037241.73
Treasury Stock,32260375.01,1589512.98,,
Retained Earnings,141070394.51,62849501.02,24958933.37,-20199194.23
Additional Paid In Capital,1569498863.71,1593635267.71,1593635267.71,1525771905.68
Capital Stock,146136404.0,122000000.0,122000000.0,122000000.0
Common Stock,146136404.0,122000000.0,122000000.0,122000000.0
Total Liabilities Net Minority Interest,282562220.41,116889429.52,81548500.01,107222512.12
Total Non Current Liabilities Net Minority Interest,16028341.24,12726539.91,8483957.9,9567343.36
Non Current Deferred Revenue,12039999.91,6693568.42,4676256.58,7211716.17
Non Current Deferred Taxes Liabilities,1603143.94,,,
Long Term Debt And Capital Lease Obligation,2385197.39,6032971.49,3807701.32,2355627.19
Long Term Capital Lease Obligation,2385197.39,6032971.49,3807701.32,2355627.19
Current Liabilities,266533879.17,104162889.61,73064542.11,97655168.76
Other Current Liabilities,412018.02,16457.75,21928.36,49621.54
Current Debt And Capital Lease Obligation,112046154.51,49076723.12,3720937.08,3234698.33
Current Debt,108182683.45,44451377.19,3720937.08,3234698.33
Payables,144413915.45,54928054.74,69321676.67,94370848.89
Other Payable,60639325.21,24953929.35,23513557.6,36049801.56
Total Tax Payable,1887114.7,2305664.87,1419344.02,986045.27
Accounts Payable,81887475.54,27668460.52,44388775.05,57335002.06
Total Assets,2161954021.04,1926597146.57,1850767362.54,1819259753.85
Total Non Current Assets,239124678.35,149644699.41,80011923.18,61505606.57
Other Non Current Assets,29107309.29,37996305.13,37711273.7,33339254.35
Non Current Deferred Assets,,,47175.25,174825.97
Investmentin Financial Assets,123766200.33,74346200.0,4100000.0,4100000.0
Available For Sale Securities,123766200.33,74346200.0,4100000.0,4100000.0
Goodwill And Other Intangible Assets,65428887.21,48203808.94,51984968.14,37336942.36
Other Intangible Assets,65428887.21,48203808.94,51984968.14,37336942.36
Net PPE,20822281.52,27094690.47,23879779.79,19893838.24
Accumulated Depreciation,,-29444888.88,-25376961.8,-21751704.11
Gross PPE,20822281.52,56539579.35,49256741.59,41645542.35
Other Properties,20822281.52,54454899.12,47392464.3,39966034.41
Machinery Furniture Equipment,,2084680.23,1864277.29,1679507.94
Current Assets,1922829342.69,1776952447.16,1770755439.36,1757754147.28
Other Current Assets,10255980.14,2902183.27,1306061.18,3829122.57
Prepaid Assets,494797.47,9957140.94,13146185.59,2432242.78
Inventory,268303702.92,198908425.23,251294305.77,120615206.73
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,113444713.79,89371185.24,94575686.75,55141057.56
Raw Materials,154858989.13,109537239.99,156718619.02,65474149.17
Other Receivables,6390391.09,3654646.49,1326069.39,801511.75
Accounts Receivable,57928366.71,66066348.29,100693435.44,61792116.85
Allowance For Doubtful Accounts Receivable,,-667336.89,-1024182.98,-624162.79
Gross Accounts Receivable,,66733685.18,101717618.42,62416279.64
Cash Cash Equivalents And Short Term Investments,1579456104.36,1495463702.94,1402989381.99,1568283946.6
Other Short Term Investments,365223603.52,249544477.02,35533055.96,411124513.05
Cash And Cash Equivalents,1214232500.84,1245919225.92,1367456326.03,1157159433.55
Cash Equivalents,29242590.33,8896314.47,3930145.51,
Cash Financial,1184989910.51,1237022911.45,1363526180.52,1157159433.55
