,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,48465539684.33,22924507788.38,-13430178859.71,2873041793.21
Repayment Of Debt,-76892427770.02,-121849612638.8,-61489309777.24,-55501204658.85
Issuance Of Debt,76497797771.89,129619936623.11,88688961171.63,61914077262.22
Capital Expenditure,-20802249876.91,-19409914746.98,-22934719144.22,-18742697360.7
End Cash Position,186586429469.13,130339037445.18,139593092488.04,126909625053.67
Beginning Cash Position,130339037445.18,139593092488.04,126909625053.67,123847282440.56
Effect Of Exchange Rate Changes,-204833519.15,703800712.01,822327486.73,-885840552.7
Changes In Cash,56452225543.1,-9957855754.87,11861139947.64,3948183165.81
Financing Cash Flow,-9312171110.35,-10058382110.52,9135383345.8,-16170026831.09
Net Other Financing Charges,4447148592.51,-3755901427.93,-365874340.38,-5375968908.63
Cash Dividends Paid,-7564526154.72,-6940431440.93,-10525997880.6,-9256284663.79
Net Issuance Payments Of Debt,-394629998.13,7770323984.31,27199651394.39,6412872603.37
Net Long Term Debt Issuance,-394629998.13,7770323984.31,27199651394.39,6412872603.37
Long Term Debt Payments,-76892427770.02,-121849612638.8,-61489309777.24,-55501204658.85
Long Term Debt Issuance,76497797771.89,129619936623.11,88688961171.63,61914077262.22
Investing Cash Flow,-3503392907.79,-42233896179.71,-6778783682.67,-1497529157.01
Net Other Investing Changes,1548147990.41,-75655758.46,450614974.58,1392629160.62
Net Investment Purchase And Sale,12931038275.92,-23246182517.67,13286597651.27,12465329817.49
Sale Of Investment,164310215999.47,201726695864.15,415871036589.76,502845651854.92
Purchase Of Investment,-151379177723.55,-224972878381.82,-402584438938.49,-490380322037.43
Net Business Purchase And Sale,1821762727.06,119329540.66,,1298023235.34
Sale Of Business,1821762727.06,119329540.66,,1298023235.34
Net PPE Purchase And Sale,-19804341901.18,-19031387444.24,-20515996308.52,-16653511370.46
Sale Of PPE,997907975.73,378527302.74,2418722835.7,2089185990.24
Purchase Of PPE,-20802249876.91,-19409914746.98,-22934719144.22,-18742697360.7
Capital Expenditure Reported,,,,
Operating Cash Flow,69267789561.24,42334422535.36,9504540284.51,21615739153.91
Change In Working Capital,37206892275.25,3037592453.44,-4904591631.83,-5849253538.39
Change In Other Current Assets,599547162.02,-2082794247.37,-1014993182.29,3037819736.14
Change In Payable,-57198776600.75,-5014904180.13,57663870851.39,-31553958757.43
Change In Inventory,20572330051.26,-12104063996.9,-36599945533.38,16305380923.53
Change In Receivables,73233791662.72,22239354877.84,-24953523767.55,6361504559.37
Other Non Cash Items,5475745565.94,3804013958.64,3526588331.78,2742376835.21
Deferred Tax,,,,
Depreciation And Amortization,20465639010.71,19321731816.48,17408786451.98,17048545091.93
Amortization Cash Flow,4205216497.64,2672281539.88,2081088946.9,2023586974.53
Depreciation,16260422513.07,16649450276.6,15327697505.08,15024958117.4
Gain Loss On Investment Securities,-9533167020.3,-15922867099.21,-14625915743.34,-28902275276.77
Gain Loss On Sale Of PPE,-344996058.95,-1268422447.78,-1905517438.7,-773728656.93
Net Income From Continuing Operations,5833321330.31,20060439042.58,22842652824.11,33941758857.55
Cash Flowsfromusedin Operating Activities Direct,69267789561.24,42334422535.36,9504540284.51,21615739153.91
Taxes Refund Paid Direct,-12316372956.47,-11656505754.88,-9223748810.03,-26398242511.22
Interest Received Direct,13614478835.12,18593279454.99,20204096110.85,20741779173.73
Interest Paid Direct,-2009960760.89,-2689301717.27,-4607414292.43,-4625093592.78
Classesof Cash Payments,-513982266139.33,-556105404955.55,-547193138162.09,-629018354132.04
Other Cash Paymentsfrom Operating Activities,-55389521571.74,-56329173890.0,-54293159497.6,-63494705480.04
Paymentson Behalfof Employees,-44011417842.28,-41823771040.84,-37016248740.78,-39027099038.75
Paymentsto Suppliersfor Goodsand Services,-414581326725.31,-457952460024.71,-455883729923.71,-526496549613.25
Classesof Cash Receiptsfrom Operating Activities,583961910582.81,594192355508.07,550324745438.21,660915650216.22
Other Cash Receiptsfrom Operating Activities,79087083385.63,48020199979.34,16692358624.93,15588400678.25
Receiptsfrom Customers,504874827197.18,546172155528.73,533632386813.28,645327249537.97
