,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,4403466458.0,4399041236.0,4396526143.0,4195532160.0
Share Issued,4403466458.0,4399041236.0,4396526143.0,4195532160.0
Total Debt,136401592000.0,125159178000.0,100497224100.0,54041024500.0
Tangible Book Value,236044378000.0,187422432000.0,155727121500.0,79505814200.0
Invested Capital,359787394000.0,315575060000.0,257173901100.0,134610459000.0
Working Capital,192970555000.0,162786933000.0,91973437700.0,28390106100.0
Net Tangible Assets,236044378000.0,187422432000.0,155727121500.0,79505814200.0
Capital Lease Obligations,662814000.0,283296000.0,572350200.0,395304000.0
Common Stock Equity,246930033000.0,197708052000.0,164481251600.0,84513271300.0
Total Capitalization,340091112000.0,300394048000.0,242758498600.0,122487402100.0
Total Equity Gross Minority Interest,273456174000.0,219883151000.0,176909162000.0,92622174500.0
Minority Interest,26526141000.0,22175098000.0,12427910400.0,8108903200.0
Stockholders Equity,246930033000.0,197708052000.0,164481251600.0,84513271300.0
Other Equity Interest,1000.0,,,
Treasury Stock,2712804000.0,1572972000.0,253991000.0,443534900.0
Retained Earnings,126601541000.0,103244626000.0,63242753100.0,34095467500.0
Additional Paid In Capital,111836493000.0,84302084300.0,86995737000.0,41333523600.0
Capital Stock,4403466000.0,4399041000.0,2442514500.0,2330851200.0
Common Stock,4403466000.0,4399041000.0,2442514500.0,2330851200.0
Total Liabilities Net Minority Interest,513201949000.0,497284890000.0,424043189900.0,215044686400.0
Total Non Current Liabilities Net Minority Interest,196030415000.0,210283821000.0,128281770600.0,65699853800.0
Other Non Current Liabilities,77327737000.0,82980380000.0,26607658700.0,13182483000.0
Tradeand Other Payables Non Current,1606480000.0,1520256000.0,1050000000.0,1010000000.0
Non Current Deferred Revenue,22041069000.0,21448987000.0,19966701700.0,12099359100.0
Non Current Deferred Taxes Liabilities,1231236000.0,1364906000.0,1807813000.0,1038576900.0
Long Term Debt And Capital Lease Obligation,93823893000.0,102969292000.0,78849597200.0,38369434800.0
Long Term Capital Lease Obligation,662814000.0,283296000.0,572350200.0,395304000.0
Long Term Debt,93161079000.0,102685996000.0,78277247000.0,37974130800.0
Current Liabilities,317171534000.0,287001069000.0,295761419300.0,149344832600.0
Other Current Liabilities,2058197000.0,2091627000.0,1622032700.0,1242490300.0
Current Debt And Capital Lease Obligation,42577699000.0,22189886000.0,21647626900.0,15671589700.0
Current Debt,19696282000.0,15181012000.0,14415402500.0,12123056900.0
Payables,242585175000.0,234795794000.0,250046974400.0,120892837300.0
Other Payable,29414841000.0,28470337000.0,24481769400.0,11292411400.0
Dividends Payable,5400161000.0,29916000.0,8319600.0,6590800.0
Total Tax Payable,9436442000.0,11741826000.0,4792441200.0,2403797500.0
Accounts Payable,198333731000.0,194553715000.0,220764444200.0,107190037600.0
Total Assets,786658123000.0,717168041000.0,600952351900.0,307666860900.0
Total Non Current Assets,276516034000.0,267380039000.0,213217494900.0,129931922200.0
Other Non Current Assets,19275482000.0,21145073000.0,25101316500.0,20575419000.0
Non Current Deferred Assets,4593980000.0,4695780000.0,2294776000.0,1264339100.0
Non Current Deferred Taxes Assets,24118834000.0,17395585000.0,9483660400.0,5542554400.0
Investmentin Financial Assets,15036559000.0,16944508000.0,23136570800.0,13021718500.0
Available For Sale Securities,15036559000.0,16944508000.0,23136570800.0,13021718500.0
Long Term Equity Investment,54791525000.0,50027694000.0,17595207400.0,10949033600.0
Goodwill And Other Intangible Assets,10885655000.0,10285620000.0,8754130100.0,5007457100.0
Other Intangible Assets,9990898000.0,9577738000.0,8050064900.0,4479606400.0
Goodwill,894757000.0,707882000.0,704065200.0,527850700.0
Net PPE,147662657000.0,146875939000.0,126807517600.0,72952118100.0
Accumulated Depreciation,-77329621000.0,-54014705500.0,-29143534400.0,-17421835200.0
Gross PPE,224992278000.0,200890644500.0,155951052000.0,90373953300.0
Construction In Progress,29754703000.0,25011907000.0,35397650600.0,30998159500.0
Other Properties,7262604000.0,4350361000.0,3190446100.0,2041172000.0
Machinery Furniture Equipment,113792249000.0,105432584800.0,80377881500.0,41593204800.0
Buildings And Improvements,,,,
Properties,74182722000.0,66095791700.0,36985073800.0,15741417000.0
Current Assets,510142089000.0,449788002000.0,387734857000.0,177734938700.0
Other Current Assets,6359438000.0,8342852000.0,12310740100.0,5493887700.0
Hedging Assets Current,,,575638000.0,243105100.0
Prepaid Assets,5969685000.0,6962873000.0,15843284400.0,6466439300.0
Inventory,59835533000.0,45433890000.0,76668898800.0,40199691900.0
Inventories Adjustments Allowances,1000.0,100.0,-100.0,0.0
Other Inventories,3684683000.0,1271306700.0,1313264200.0,1033878900.0
Finished Goods,34660987000.0,29911087500.0,55238442500.0,25313818400.0
Work In Process,8120425000.0,5579993200.0,7924638100.0,4534256500.0
Raw Materials,13369437000.0,8671502500.0,12192554100.0,9317738100.0
Other Receivables,56047677000.0,60713572000.0,31345041200.0,11142403900.0
Accounts Receivable,64135510000.0,64020533000.0,57966516900.0,23753548200.0
Allowance For Doubtful Accounts Receivable,-2640892000.0,-2044923200.0,-1830518800.0,-684135200.0
Gross Accounts Receivable,66776402000.0,66065456600.0,59797035700.0,24437683400.0
Cash Cash Equivalents And Short Term Investments,317794246000.0,264314282000.0,193024737600.0,90435862600.0
Other Short Term Investments,14282253000.0,7767000.0,1981328100.0,1363972900.0
Cash And Cash Equivalents,303511993000.0,264306515000.0,191043409500.0,89071889700.0
Cash Equivalents,28694852000.0,25846921000.0,32659762100.0,12678165700.0
Cash Financial,274817142000.0,238459593700.0,158383647400.0,76393724000.0
