,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,425457743.0,423530000.0,360000000.0,360000000.0
Share Issued,425457743.0,423530000.0,360000000.0,360000000.0
Total Debt,13620725.22,9800647.66,326652392.61,33987907.77
Tangible Book Value,3918254592.84,3691642841.28,1065330884.95,906824070.11
Invested Capital,3927859276.3,3699036849.77,1375346179.0,923815667.95
Working Capital,3414411455.0,3350943650.1,982115234.08,854604781.52
Net Tangible Assets,3918254592.84,3691642841.28,1065330884.95,906824070.11
Capital Lease Obligations,8231518.85,2591724.69,12083942.18,15300220.22
Common Stock Equity,3927859276.3,3699036849.77,1074254963.73,913804973.5
Total Capitalization,3927859276.3,3699036849.77,1074254963.73,913804973.5
Total Equity Gross Minority Interest,3927709261.13,3699036849.77,1074254963.73,913804973.5
Minority Interest,-150015.17,,,
Stockholders Equity,3927859276.3,3699036849.77,1074254963.73,913804973.5
Treasury Stock,50013489.26,,,
Retained Earnings,537519051.31,421210750.82,271962119.21,151137277.49
Additional Paid In Capital,2775703379.99,2727593031.01,400114308.46,385887065.04
Capital Stock,425457743.0,423530000.0,360000000.0,360000000.0
Common Stock,425457743.0,423530000.0,360000000.0,360000000.0
Total Liabilities Net Minority Interest,710320323.9,762823025.53,1230075014.22,146504308.56
Total Non Current Liabilities Net Minority Interest,22602705.8,8203053.73,12883797.6,15700220.22
Non Current Deferred Revenue,14222394.7,5611329.04,799855.42,400000.0
Non Current Deferred Taxes Liabilities,148792.25,,,
Long Term Debt And Capital Lease Obligation,8231518.85,2591724.69,12083942.18,15300220.22
Long Term Capital Lease Obligation,8231518.85,2591724.69,12083942.18,15300220.22
Current Liabilities,687717618.1,754619971.8,1217191216.62,130804088.34
Other Current Liabilities,141860.91,469629.03,125842.84,106714.25
Current Debt And Capital Lease Obligation,5389206.37,7208922.97,314568450.43,18687687.55
Current Debt,,7208922.97,301091215.27,10010694.45
Payables,680545249.51,743291522.16,901527757.5,111163062.5
Other Payable,164410405.31,112087145.58,76688548.51,47333094.68
Total Tax Payable,7867687.21,11894533.64,1317252.36,833326.57
Accounts Payable,508267156.99,619309842.94,823521956.63,62996641.25
Total Assets,4638029585.03,4461859875.3,2304329977.95,1060309282.06
Total Non Current Assets,535900511.93,356296253.4,105023527.25,74900412.2
Other Non Current Assets,7524229.49,947629.8,277863.75,711592.45
Non Current Deferred Assets,7543773.49,7454161.12,17642322.45,
Non Current Deferred Taxes Assets,3175949.26,11877.09,4893563.99,
Investmentin Financial Assets,105740000.0,3000000.0,3000000.0,3000000.0
Available For Sale Securities,105740000.0,3000000.0,3000000.0,3000000.0
Long Term Equity Investment,9056081.06,,,4914919.4
Goodwill And Other Intangible Assets,9604683.46,7394008.49,8924078.78,6980903.39
Other Intangible Assets,9604683.46,7394008.49,8924078.78,6980903.39
Net PPE,393255795.17,337488576.9,70285698.28,59292996.96
Accumulated Depreciation,-46762511.19,-23686661.93,-14123090.41,-6988341.59
Gross PPE,440018306.36,361175238.83,84408788.69,66281338.55
Construction In Progress,25800516.23,777862.51,3499682.44,577677.33
Other Properties,54244568.5,35226396.38,44262573.2,35287113.47
Machinery Furniture Equipment,71377902.2,49238485.91,36646533.05,30416547.75
Properties,288595319.43,275932494.03,,
Current Assets,4102129073.1,4105563621.9,2199306450.7,985408869.86
Other Current Assets,29194278.63,35777218.83,8451371.85,4441144.05
Prepaid Assets,10945521.08,25344062.74,23733308.81,89390543.18
Inventory,613564448.34,525382558.41,335584045.67,215537835.37
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,246211089.44,146222221.15,37695424.8,58547221.8
Raw Materials,367353358.9,379160337.26,297888620.87,156990613.57
Other Receivables,307352177.31,435031222.94,739387848.22,4142730.54
Accounts Receivable,199930266.48,207203739.94,101041524.76,186569572.63
Allowance For Doubtful Accounts Receivable,-2019497.67,-2092967.07,-1020621.46,-1884541.14
Gross Accounts Receivable,201949764.15,209296707.01,102062146.22,188454113.77
Cash Cash Equivalents And Short Term Investments,2941142381.26,2876824819.04,991108351.39,485327044.09
Other Short Term Investments,1053013212.33,,146755425.89,
Cash And Cash Equivalents,1888129168.93,2876824819.04,844352925.5,485327044.09
Cash Equivalents,2398.36,86874037.55,357124504.52,1000.5
Cash Financial,1888126770.57,2789950781.49,487228420.98,485326043.59
