,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-4494336000.0,-4275153000.0,-912630000.0,-1328510000.0
Repurchase Of Capital Stock,,0.0,-38314000.0,0.0
Repayment Of Debt,-1873404000.0,-2918575000.0,-1311295000.0,-1489505000.0
Issuance Of Debt,3412203000.0,4657043000.0,3763758000.0,1874283000.0
Issuance Of Capital Stock,52197000.0,56777000.0,58116000.0,5755000.0
Capital Expenditure,-7669891000.0,-7633447000.0,-6260546000.0,-4340405000.0
End Cash Position,6364189000.0,6215058000.0,6932587000.0,8581746000.0
Beginning Cash Position,6215058000.0,6932587000.0,8581746000.0,9826537000.0
Effect Of Exchange Rate Changes,-116323000.0,-334589000.0,-219860000.0,41424000.0
Changes In Cash,265454000.0,-382940000.0,-1429299000.0,-1286215000.0
Financing Cash Flow,1608336000.0,2466338000.0,3614290000.0,2357325000.0
Net Other Financing Charges,49685000.0,723074000.0,1238784000.0,2067814000.0
Net Common Stock Issuance,52197000.0,56777000.0,19802000.0,5755000.0
Common Stock Payments,,0.0,-38314000.0,0.0
Common Stock Issuance,52197000.0,56777000.0,58116000.0,5755000.0
Net Issuance Payments Of Debt,1538799000.0,1738468000.0,2452463000.0,384778000.0
Net Short Term Debt Issuance,,,-238042000.0,0.0
Short Term Debt Payments,,,-238042000.0,0.0
Short Term Debt Issuance,,,,0.0
Net Long Term Debt Issuance,1538799000.0,1738468000.0,2452463000.0,384778000.0
Long Term Debt Payments,-1873404000.0,-2918575000.0,-1311295000.0,-1489505000.0
Long Term Debt Issuance,3412203000.0,4657043000.0,3763758000.0,1874283000.0
Investing Cash Flow,-4518437000.0,-6207572000.0,-10391505000.0,-6655435000.0
Net Other Investing Changes,24136000.0,-24168000.0,33300000.0,134920000.0
Dividends Received Cfi,2985000.0,8934000.0,8243000.0,2072000.0
Net Investment Purchase And Sale,2163218000.0,1339027000.0,-4196323000.0,-2911503000.0
Sale Of Investment,3826329000.0,9163033000.0,15700158000.0,6041876000.0
Purchase Of Investment,-1663111000.0,-7824006000.0,-19896481000.0,-8953379000.0
Net Business Purchase And Sale,931910000.0,98492000.0,-47319000.0,216171000.0
Sale Of Business,1006426000.0,208544000.0,53378000.0,401468000.0
Purchase Of Business,-74516000.0,-110052000.0,-100697000.0,-185297000.0
Net Intangibles Purchase And Sale,-5676000.0,-3040000.0,-82115000.0,-208480000.0
Sale Of Intangibles,,0.0,6325000.0,11650000.0
Purchase Of Intangibles,-5676000.0,-3040000.0,-88440000.0,-220130000.0
Net PPE Purchase And Sale,-7635010000.0,-7626817000.0,-6107291000.0,-3888615000.0
Sale Of PPE,29205000.0,3590000.0,64815000.0,231660000.0
Purchase Of PPE,-7664215000.0,-7630407000.0,-6172106000.0,-4120275000.0
Operating Cash Flow,3175555000.0,3358294000.0,5347916000.0,3011895000.0
Taxes Refund Paid,-48305000.0,17179000.0,-53571000.0,-70875000.0
Interest Received Cfo,304667000.0,496399000.0,212428000.0,209848000.0
Interest Paid Cfo,-205958000.0,-210951000.0,-165205000.0,-146602000.0
Change In Working Capital,-709548000.0,-510096000.0,893576000.0,113907000.0
Change In Other Current Liabilities,75976000.0,-10217000.0,80306000.0,-15979000.0
Change In Other Current Assets,-723864000.0,78714000.0,814232000.0,667339000.0
Change In Payable,-88874000.0,465987000.0,792311000.0,79211000.0
Change In Prepaid Assets,,,,
Change In Inventory,-296590000.0,-1013972000.0,-781763000.0,-359649000.0
Change In Receivables,323804000.0,-30608000.0,-11510000.0,-257015000.0
Other Non Cash Items,-241746000.0,-526202000.0,-223618000.0,-104892000.0
Stock Based Compensation,50506000.0,86885000.0,153085000.0,78360000.0
Provisionand Write Offof Assets,,,,-997000.0
Deferred Tax,129565000.0,62514000.0,16023000.0,65166000.0
Depreciation And Amortization,3223063000.0,2667291000.0,2271361000.0,1869302000.0
Amortization Cash Flow,14266000.0,14391000.0,18967000.0,24907000.0
Depreciation,3208797000.0,2652900000.0,2252394000.0,1844395000.0
Gain Loss On Investment Securities,-2090000.0,-51265000.0,-12257000.0,-80155000.0
Net Foreign Currency Exchange Gain Loss,13930000.0,259936000.0,166935000.0,-103749000.0
Gain Loss On Sale Of PPE,-18513000.0,-858000.0,-46792000.0,-48281000.0
Gain Loss On Sale Of Business,-95668000.0,-216967000.0,-5299000.0,-231382000.0
Net Income From Continuing Operations,729993000.0,1124935000.0,2198082000.0,1775158000.0
