,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,406660000.0,406660000.0,406660000.0,362390000.0
Share Issued,406660000.0,406660000.0,406660000.0,362390000.0
Total Debt,15286507.36,18127253.91,9881838.03,130036535.44
Tangible Book Value,3398151153.53,3102567605.11,2940013925.32,1309351220.14
Invested Capital,3479657186.98,3182287615.4,3021380860.08,1503870704.6
Working Capital,2088179650.42,2086694595.4,2117703541.32,675214590.67
Net Tangible Assets,3398151153.53,3102567605.11,2940013925.32,1309351220.14
Capital Lease Obligations,9165460.01,11607111.48,3926794.65,7661766.34
Common Stock Equity,3479657186.98,3182287615.4,3021380860.08,1391743044.9
Total Capitalization,3479657186.98,3182287615.4,3021380860.08,1473837371.27
Total Equity Gross Minority Interest,3479657186.98,3182287615.4,3021380860.08,1391743044.9
Stockholders Equity,3479657186.98,3182287615.4,3021380860.08,1391743044.9
Treasury Stock,50098665.64,,,
Retained Earnings,1393026117.68,1104064586.77,948660428.72,575488536.63
Additional Paid In Capital,1588335558.6,1588335558.6,1588335558.6,407816502.43
Capital Stock,406660000.0,406660000.0,406660000.0,362390000.0
Common Stock,406660000.0,406660000.0,406660000.0,362390000.0
Total Liabilities Net Minority Interest,441955306.48,340982554.64,367065772.78,509437209.2
Total Non Current Liabilities Net Minority Interest,69595921.4,68668258.14,59793573.18,134248865.76
Non Current Deferred Revenue,26421817.67,29872792.05,29203193.91,28738875.6
Non Current Deferred Taxes Liabilities,34008643.72,27188354.61,26663584.62,15753897.45
Long Term Debt And Capital Lease Obligation,9165460.01,11607111.48,3926794.65,89756092.71
Long Term Capital Lease Obligation,9165460.01,11607111.48,3926794.65,7661766.34
Long Term Debt,,,,82094326.37
Current Liabilities,372359385.08,272314296.5,307272199.6,375188343.44
Other Current Liabilities,1651486.96,1974045.24,1376060.1,682628.89
Current Debt And Capital Lease Obligation,6121047.35,6520142.43,5955043.38,40280442.73
Current Debt,,,,30033333.33
Payables,285843757.45,196300408.81,237554956.94,279153435.98
Other Payable,58783440.48,53857803.59,49738986.11,32632210.57
Total Tax Payable,10984505.79,4755527.18,5139985.12,14484260.39
Accounts Payable,216075811.18,137687078.04,182675985.71,232036965.02
Total Assets,3921612493.46,3523270170.04,3388446632.86,1901180254.1
Total Non Current Assets,1461073457.96,1164261278.14,963470891.94,850777319.99
Other Non Current Assets,17287370.1,30895094.47,3456081.12,14073875.47
Non Current Deferred Assets,903798.03,3864848.98,5432246.58,143383.59
Non Current Deferred Taxes Assets,12759048.23,4380258.34,6906001.47,9626882.6
Goodwill And Other Intangible Assets,81506033.45,79720010.29,81366934.76,82391824.76
Other Intangible Assets,81506033.45,79720010.29,81366934.76,82391824.76
Net PPE,1348617208.15,1045401066.06,866309628.01,744541353.57
Accumulated Depreciation,-342547893.55,-258316448.53,-184767024.9,-130283781.29
Gross PPE,1691165101.7,1303717514.59,1051076652.91,874825134.86
Construction In Progress,463309542.57,161663043.12,39618116.15,456664412.99
Other Properties,564667061.18,502290244.8,436599794.54,299258347.15
Machinery Furniture Equipment,47525515.48,38501750.47,30810097.86,22383664.65
Properties,615662982.47,601262476.2,544048644.36,96518710.07
Current Assets,2460539035.5,2359008891.9,2424975740.92,1050402934.11
Other Current Assets,17026854.1,9350753.92,9192172.73,51590527.9
Prepaid Assets,12667577.34,19659200.52,19832240.49,28122886.16
Inventory,329504341.7,374743251.45,433460412.55,314319404.66
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,-628638809.32
Finished Goods,81619046.89,81336281.42,116697017.77,65094554.41
Work In Process,127014779.67,119695166.38,132812700.8,111933386.09
Raw Materials,120870515.14,173711803.65,183950693.98,137291464.16
Other Receivables,12707350.64,17761099.83,3878984.91,6021354.86
Accounts Receivable,344626321.14,213425277.0,202564144.57,216576871.08
Allowance For Doubtful Accounts Receivable,,-18093307.95,-11219001.72,-11499389.04
Gross Accounts Receivable,,231518584.95,213783146.29,228076260.12
Cash Cash Equivalents And Short Term Investments,1744006590.58,1724069309.18,1756047785.67,433771889.45
Other Short Term Investments,491733204.65,15828070.08,525637733.47,13899220.01
Cash And Cash Equivalents,1252273385.93,1708241239.1,1230410052.2,419872669.44
Cash Equivalents,221512564.16,3902255.65,4274520.89,7426849.49
Cash Financial,1030760821.77,1704338983.45,1226135531.31,412445819.95
