,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,60000000.0,60000000.0,60000000.0,60000000.0
Share Issued,60000000.0,60000000.0,60000000.0,60000000.0
Net Debt,,273666225.34,65018752.97,
Total Debt,833848411.31,649506309.12,230454037.88,84954876.29
Tangible Book Value,913197976.41,710169889.58,446031218.77,167600954.61
Invested Capital,1531571339.94,1427453008.19,682233144.61,256278841.54
Working Capital,602163801.09,515158906.23,202120454.66,112781321.68
Net Tangible Assets,913197976.41,710169889.58,446031218.77,167600954.61
Capital Lease Obligations,312551.83,5285963.53,7157458.39,9847568.63
Common Stock Equity,1018189028.83,810042382.81,494409299.05,196388613.76
Total Capitalization,1241554228.83,1027145120.36,529221609.88,218430276.26
Total Equity Gross Minority Interest,1018189028.83,810042382.81,494409299.05,196388613.76
Stockholders Equity,1018189028.83,810042382.81,494409299.05,196388613.76
Retained Earnings,909189361.82,701415718.79,397136133.95,111468175.11
Additional Paid In Capital,9824802.7,9824802.7,9824802.7,9824802.7
Capital Stock,60000000.0,60000000.0,60000000.0,60000000.0
Common Stock,60000000.0,60000000.0,60000000.0,60000000.0
Total Liabilities Net Minority Interest,3006351724.96,3479427601.69,2807464414.08,1020042143.67
Total Non Current Liabilities Net Minority Interest,255872894.61,274537144.83,74299541.14,39086368.73
Other Non Current Liabilities,32195142.78,52148443.75,32329771.92,7197137.6
Long Term Debt And Capital Lease Obligation,223677751.83,222388701.08,41969769.22,31889231.13
Long Term Capital Lease Obligation,312551.83,5285963.53,7157458.39,9847568.63
Long Term Debt,223365200.0,217102737.55,34812310.83,22041662.5
Current Liabilities,2750478830.35,3204890456.86,2733164872.94,980955774.94
Other Current Liabilities,161203635.27,163545693.2,176676693.6,91398840.32
Current Debt And Capital Lease Obligation,610170659.48,427117608.04,188484268.66,53065645.16
Current Debt,290017111.11,400307887.83,153011534.73,37848565.28
Payables,1181503999.92,1525438872.84,1173426447.8,280726544.19
Other Payable,26558379.63,99739345.95,68207378.61,29906695.91
Total Tax Payable,28118950.0,43095766.29,36765550.42,22295476.8
Accounts Payable,1126826670.29,1382603760.6,1068453518.77,228524371.48
Total Assets,4024540753.79,4289469984.5,3301873713.13,1216430757.43
Total Non Current Assets,671898122.35,569420621.41,366588385.53,122693660.81
Other Non Current Assets,65151611.02,7165697.37,4144867.27,8176535.14
Non Current Deferred Assets,9497923.77,11794390.22,7228756.16,3055409.77
Non Current Deferred Taxes Assets,57182196.05,54555584.44,23137247.94,7311720.38
Goodwill And Other Intangible Assets,104991052.42,99872493.23,48378080.28,28787659.15
Other Intangible Assets,104991052.42,99872493.23,48378080.28,28787659.15
Net PPE,435075339.09,396032456.15,283699433.88,75362336.37
Accumulated Depreciation,-69572143.0,-39753898.37,-18413072.39,-9168465.29
Gross PPE,504647482.09,435786354.52,302112506.27,84530801.66
Construction In Progress,,,22168022.59,5513716.86
Other Properties,35545417.88,43035252.81,47474217.03,29461767.19
Machinery Furniture Equipment,44242092.75,44144795.38,43775465.96,18704866.24
Properties,424859971.46,348606306.33,188694800.69,30850451.37
Current Assets,3352642631.44,3720049363.09,2935285327.6,1093737096.62
Other Current Assets,9261547.79,2336296.75,3125945.14,16675455.06
Prepaid Assets,21422798.91,24095497.05,59826535.82,76238440.6
Inventory,990668761.57,1317558673.4,1466756304.4,402785195.98
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,868357683.53,1172683939.31,1235124235.35,230430526.61
Work In Process,44465060.52,49269302.05,95722536.71,91531047.64
Raw Materials,77846017.52,95605432.04,135909532.34,80823621.73
Other Receivables,394841811.65,661625998.17,589134475.12,266774879.53
Accounts Receivable,1386767376.17,1370688497.68,693636974.53,205004846.72
Allowance For Doubtful Accounts Receivable,-180375207.43,-123803827.56,-62812731.44,-29003415.45
Gross Accounts Receivable,1575541781.14,1494492325.24,756449705.97,234008262.17
Cash Cash Equivalents And Short Term Investments,549680335.35,343744400.04,122805092.59,126258278.73
Cash And Cash Equivalents,549680335.35,343744400.04,122805092.59,126258278.73
Cash Equivalents,35747823.28,117317243.95,48284322.62,20833643.03
Cash Financial,513932512.07,226427156.09,74520769.97,105424635.7
