,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,100000000.0,100000000.0,100000000.0,100000000.0
Share Issued,100000000.0,100000000.0,100000000.0,100000000.0
Net Debt,204070325.55,,,
Total Debt,230185472.22,,,
Tangible Book Value,768686257.26,725371851.76,683982988.53,687717547.45
Invested Capital,1110529009.27,840454880.42,799990940.11,718420981.46
Working Capital,76398513.09,233481339.65,390138540.53,539695110.45
Net Tangible Assets,768686257.26,725371851.76,683982988.53,687717547.45
Common Stock Equity,881390287.05,840454880.42,799990940.11,718420981.46
Total Capitalization,940390287.05,840454880.42,799990940.11,718420981.46
Total Equity Gross Minority Interest,881390287.05,840454880.42,799990940.11,718420981.46
Stockholders Equity,881390287.05,840454880.42,799990940.11,718420981.46
Retained Earnings,343427606.17,307575947.96,272119219.16,199714427.58
Additional Paid In Capital,394961250.79,394961250.79,394961250.79,394961250.79
Capital Stock,100000000.0,100000000.0,100000000.0,100000000.0
Common Stock,100000000.0,100000000.0,100000000.0,100000000.0
Total Liabilities Net Minority Interest,385265592.48,111585694.99,46813925.53,58370079.99
Total Non Current Liabilities Net Minority Interest,95255829.41,37684530.87,10900033.56,600000.0
Non Current Deferred Revenue,36255829.41,37684530.87,10900033.56,600000.0
Long Term Debt And Capital Lease Obligation,59000000.0,,,
Long Term Debt,59000000.0,,,
Current Liabilities,290009763.07,73901164.12,35913891.97,57770079.99
Other Current Liabilities,89030.39,209826.86,1171789.78,541636.8
Current Debt And Capital Lease Obligation,171185472.22,,,
Current Debt,170138722.22,,,
Payables,118022534.78,72077284.13,33927703.95,53062006.3
Other Payable,7020883.78,6260725.04,4513669.8,4017284.01
Total Tax Payable,5462091.35,7687789.68,2759300.79,10587909.85
Accounts Payable,105539559.65,58128769.41,26654733.36,38456812.44
Total Assets,1266655879.53,952040575.41,846804865.64,776791061.45
Total Non Current Assets,900247603.37,644658071.64,420752433.14,179325871.01
Other Non Current Assets,17255822.99,,4431369.32,
Non Current Deferred Assets,634477.16,,,
Non Current Deferred Taxes Assets,6051290.17,5449646.95,1196224.9,199330.02
Investmentin Financial Assets,25526100.0,25526100.0,25526100.0,25526100.0
Available For Sale Securities,25526100.0,25526100.0,25526100.0,25526100.0
Long Term Equity Investment,9837714.87,9881160.78,,
Investment Properties,,1397041.89,1468364.13,
Goodwill And Other Intangible Assets,112704029.79,115083028.66,116007951.58,30703434.01
Other Intangible Assets,112704029.79,115083028.66,116007951.58,30703434.01
Net PPE,728238168.39,487321093.36,272122423.21,122897006.98
Accumulated Depreciation,,-62895389.26,-65185644.08,-60347335.6
Gross PPE,728238168.39,550216482.62,337308067.29,183244342.58
Construction In Progress,256441148.61,250806725.04,196165080.43,71113240.17
Other Properties,471797019.78,169230684.13,67132360.55,66356875.83
Machinery Furniture Equipment,,3129415.24,4274594.09,4274594.09
Buildings And Improvements,,,,
Properties,,127049658.21,69736032.22,41499632.49
Current Assets,366408276.16,307382503.77,426052432.5,597465190.44
Other Current Assets,41818439.9,25233328.71,8574971.41,30230686.73
Prepaid Assets,782117.74,891343.55,1660967.04,366624.81
Inventory,106472789.88,65509014.04,23946131.74,30901709.59
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,944479.98,769217.23,,
Finished Goods,29549654.73,17742305.97,10892472.12,20836141.46
Work In Process,14821639.37,5808344.1,3049692.12,1639664.62
Raw Materials,61157015.8,41189146.74,10003967.5,8425903.51
Other Receivables,118976746.06,90311835.12,78030352.74,200019813.17
Accounts Receivable,73289785.91,42590655.16,33649350.2,33030388.44
Allowance For Doubtful Accounts Receivable,,-2729582.46,-2272093.36,-2220455.12
Gross Accounts Receivable,,45320237.62,35921443.56,35250843.56
Cash Cash Equivalents And Short Term Investments,25068396.67,82846327.19,280190659.37,302915967.7
Other Short Term Investments,,,,264000000.0
Cash And Cash Equivalents,25068396.67,82846327.19,280190659.37,38915967.7
Cash Equivalents,1693020.0,,0.0,149650.0
Cash Financial,23375376.67,82846327.19,280190659.37,38766317.7
