,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-263375319.761944,21761602.410337,-942997126.392211,-548819240.289948
Tax Rate For Calcs,0.233018,0.266304,0.259279,0.227694
Normalized EBITDA,47386024000.0,56237031000.0,86032925000.0,42442629000.0
Total Unusual Items,-1130277000.0,81717000.0,-3637004000.0,-2410334000.0
Total Unusual Items Excluding Goodwill,-1130277000.0,81717000.0,-3637004000.0,-2410334000.0
Net Income From Continuing Operation Net Minority Interest,15056916000.0,20588690000.0,33818864000.0,16437572000.0
Reconciled Depreciation,14826645000.0,14812466000.0,14270683000.0,10672255000.0
Reconciled Cost Of Revenue,89311820000.0,89078619000.0,129486648000.0,107335955000.0
EBITDA,46255747000.0,56318748000.0,82395921000.0,40032295000.0
EBIT,31429102000.0,41506282000.0,68125238000.0,29360040000.0
Net Interest Income,-3529551000.0,-4058012000.0,-5700761000.0,-5356298000.0
Interest Expense,4137324000.0,4493197000.0,5983260000.0,5319334000.0
Interest Income,943811000.0,871599000.0,683653000.0,471456000.0
Normalized Income,15923817680.238056,20528734602.410336,36512870873.60779,18299086759.710052
Net Income From Continuing And Discontinued Operation,15056916000.0,20588690000.0,33818864000.0,16437572000.0
Total Expenses,110962645000.0,111656667000.0,155771950000.0,122416875000.0
Rent Expense Supplemental,415973000.0,259500000.0,222910000.0,219616000.0
Total Operating Income As Reported,26857138000.0,36967621000.0,62488729000.0,24264592000.0
Diluted Average Shares,9967558734.0,9600127246.0,9590833813.0,9503288352.0
Basic Average Shares,9897798134.0,9547799317.0,9523432161.0,9493044673.0
Diluted EPS,1.4472,2.0983,3.478,1.710872
Basic EPS,1.4574,2.1098,3.502615,1.712718
Net Income Common Stockholders,14425051000.0,20143947000.0,33356920000.0,16258908000.0
Otherunder Preferred Stock Dividend,631865000.0,444743000.0,461944000.0,178664000.0
Net Income,15056916000.0,20588690000.0,33818864000.0,16437572000.0
Minority Interests,-5875376000.0,-6567645000.0,-12211032000.0,-2129203000.0
Net Income Including Noncontrolling Interests,20932292000.0,27156335000.0,46029896000.0,18566775000.0
Net Income Extraordinary,,,,
Net Income Continuous Operations,20932292000.0,27156335000.0,46029896000.0,18566775000.0
Tax Provision,6359486000.0,9856750000.0,16112082000.0,5473931000.0
Pretax Income,27291778000.0,37013085000.0,62141978000.0,24040706000.0
Other Non Operating Income Expenses,434640000.0,146771000.0,-1687150000.0,-383266000.0
Special Income Charges,-494148000.0,82336000.0,-2644495000.0,-1596715000.0
Other Special Charges,-106409000.0,-1154000.0,-47852000.0,-72547000.0
Write Off,589849000.0,-121163000.0,201301000.0,563148000.0
Impairment Of Capital Assets,10708000.0,39981000.0,2491046000.0,1106114000.0
Net Non Operating Interest Income Expense,-3529551000.0,-4058012000.0,-5700761000.0,-5356298000.0
Total Other Finance Cost,336038000.0,436414000.0,401154000.0,508420000.0
Interest Expense Non Operating,4137324000.0,4493197000.0,5983260000.0,5319334000.0
Interest Income Non Operating,943811000.0,871599000.0,683653000.0,471456000.0
Operating Income,28161789000.0,38411270000.0,69201153000.0,29573922000.0
Operating Expense,21650825000.0,22578048000.0,26285302000.0,15080920000.0
Other Operating Expenses,6097291000.0,6660769000.0,10824370000.0,4346804000.0
Depreciation And Amortization In Income Statement,676604000.0,678930000.0,618704000.0,660193000.0
Depreciation Income Statement,676604000.0,678930000.0,618704000.0,660193000.0
Research And Development,2734537000.0,2912240000.0,2926256000.0,1139629000.0
Selling General And Administration,6235441000.0,6798008000.0,7622551000.0,5089110000.0
Selling And Marketing Expense,4405601000.0,4722486000.0,6158022000.0,2836827000.0
General And Administrative Expense,1829840000.0,2075522000.0,1464529000.0,2252283000.0
Rent And Landing Fees,415973000.0,259500000.0,222910000.0,219616000.0
Gross Profit,49812614000.0,60989318000.0,95486455000.0,44654842000.0
Cost Of Revenue,89311820000.0,89078619000.0,129486648000.0,107335955000.0
Total Revenue,139124434000.0,150067937000.0,224973103000.0,151990797000.0
Operating Revenue,139124434000.0,150067937000.0,224973103000.0,151990797000.0
