,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,10039860402.0,9671181936.0,9649972098.0,9504658917.0
Share Issued,10039860402.0,9671181936.0,9649972098.0,9504658917.0
Net Debt,41021494000.0,39921082000.0,3514477000.0,35192598000.0
Total Debt,111505445000.0,98745109000.0,87411850000.0,98417009000.0
Tangible Book Value,73901512000.0,64270107000.0,84995447000.0,61668631000.0
Invested Capital,161960815000.0,150440342000.0,169958388000.0,148951254000.0
Working Capital,-19847782000.0,-26837712000.0,-5022910000.0,-6193529000.0
Net Tangible Assets,73901512000.0,64270107000.0,84995447000.0,61668631000.0
Capital Lease Obligations,301244000.0,327018000.0,435586000.0,915911000.0
Common Stock Equity,82594456000.0,72827965000.0,99850638000.0,68186190000.0
Total Capitalization,154267723000.0,146356043000.0,163472139000.0,143235222000.0
Total Equity Gross Minority Interest,133010259000.0,118482610000.0,143910753000.0,96487092000.0
Minority Interest,50415803000.0,45654645000.0,44060115000.0,28300902000.0
Stockholders Equity,82594456000.0,72827965000.0,99850638000.0,68186190000.0
Other Equity Interest,23267221000.0,16541777000.0,13248614000.0,8118100000.0
Treasury Stock,112417000.0,324980000.0,723593000.0,
Retained Earnings,47254751000.0,50289076000.0,77237849000.0,56366083000.0
Additional Paid In Capital,4930740000.0,912720000.0,1521539000.0,765517000.0
Capital Stock,10039860000.0,7439371000.0,4948704000.0,4874184000.0
Common Stock,10039860000.0,7439371000.0,4948704000.0,4874184000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,225544212000.0,235981726000.0,233564674000.0,192208450000.0
Total Non Current Liabilities Net Minority Interest,108341900000.0,112839836000.0,102231893000.0,96486007000.0
Other Non Current Liabilities,12841222000.0,13692679000.0,13420201000.0,5027232000.0
Tradeand Other Payables Non Current,13691986000.0,15176552000.0,14365028000.0,6561455000.0
Non Current Deferred Revenue,354412000.0,329318000.0,325556000.0,214096000.0
Non Current Deferred Taxes Liabilities,9479769000.0,9786191000.0,10064021000.0,8718281000.0
Long Term Debt And Capital Lease Obligation,71974511000.0,73855096000.0,64057087000.0,75964943000.0
Long Term Capital Lease Obligation,301244000.0,327018000.0,435586000.0,915911000.0
Long Term Debt,71673267000.0,73528078000.0,63621501000.0,75049032000.0
