,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,129930.320271,22973689.870242,1104588.607595,-654243.09122
Tax Rate For Calcs,0.12993,0.082049,0.084968,0.04089
Total Unusual Items,1000000.0,280000000.0,13000000.0,-16000000.0
Total Unusual Items Excluding Goodwill,1000000.0,280000000.0,13000000.0,-16000000.0
Net Income From Continuing Operation Net Minority Interest,27127000000.0,25535000000.0,23075000000.0,19546000000.0
Reconciled Depreciation,2461000000.0,2106000000.0,1816000000.0,1655000000.0
Net Interest Income,47993000000.0,40907000000.0,37521000000.0,32697000000.0
Interest Expense,54592000000.0,49859000000.0,41210000000.0,35065000000.0
Interest Income,102585000000.0,90766000000.0,78731000000.0,67762000000.0
Normalized Income,27126129930.32027,25277973689.870243,23063104588.607594,19561345756.90878
Net Income From Continuing And Discontinued Operation,27127000000.0,25535000000.0,23075000000.0,19546000000.0
Diluted Average Shares,6867594937.0,6809333333.0,6826923077.0,6244728435.0
Basic Average Shares,6867594937.0,6809333333.0,6826923077.0,6244728435.0
Diluted EPS,3.95,3.75,3.38,3.13
Basic EPS,3.95,3.75,3.38,3.13
Net Income Common Stockholders,27127000000.0,25535000000.0,23075000000.0,19546000000.0
Net Income,27127000000.0,25535000000.0,23075000000.0,19546000000.0
Minority Interests,-94000000.0,-74000000.0,-57000000.0,-63000000.0
Net Income Including Noncontrolling Interests,27221000000.0,25609000000.0,23132000000.0,19609000000.0
Net Income Continuous Operations,27221000000.0,25609000000.0,23132000000.0,19609000000.0
Tax Provision,4065000000.0,2289000000.0,2148000000.0,836000000.0
Pretax Income,31286000000.0,27898000000.0,25280000000.0,20445000000.0
Other Non Operating Income Expenses,-262000000.0,-130000000.0,-112000000.0,-33000000.0
Special Income Charges,1000000.0,280000000.0,13000000.0,-16000000.0
Other Special Charges,-1000000.0,-280000000.0,-13000000.0,-7000000.0
Write Off,,,,23000000.0
Gain On Sale Of Security,13724000000.0,14248000000.0,12843000000.0,12426000000.0
Operating Expense,24404000000.0,24617000000.0,22056000000.0,19919000000.0
Other Operating Expenses,734000000.0,605000000.0,474000000.0,419000000.0
Depreciation And Amortization In Income Statement,1442000000.0,1292000000.0,1046000000.0,964000000.0
Amortization,658000000.0,359000000.0,249000000.0,246000000.0
Depreciation Income Statement,784000000.0,933000000.0,797000000.0,718000000.0
Selling General And Administration,7280000000.0,7978000000.0,6794000000.0,5792000000.0
General And Administrative Expense,7280000000.0,7978000000.0,6794000000.0,5792000000.0
Rent And Landing Fees,123000000.0,104000000.0,94000000.0,142000000.0
Total Revenue,66630000000.0,61305000000.0,57866000000.0,52767000000.0
Operating Revenue,66630000000.0,61305000000.0,57866000000.0,52767000000.0
