,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,520520000.0,520520000.0,520520000.0,520520000.0
Share Issued,520520000.0,520520000.0,520520000.0,520520000.0
Total Debt,443950.61,,49285653.3,952300.4
Tangible Book Value,1284470123.28,1243552086.54,1456495622.07,1607067419.2
Invested Capital,1305783778.06,1265660203.74,1522594479.3,1625685570.78
Working Capital,980586633.37,991903071.53,1272037764.33,1479482395.25
Net Tangible Assets,1284470123.28,1243552086.54,1456495622.07,1607067419.2
Capital Lease Obligations,232274.48,,,324912.83
Common Stock Equity,1305783778.06,1265660203.74,1473633738.83,1625685570.78
Total Capitalization,1305783778.06,1265660203.74,1473633738.83,1625685570.78
Total Equity Gross Minority Interest,1305783778.06,1265660203.74,1473633738.83,1625685570.78
Stockholders Equity,1305783778.06,1265660203.74,1473633738.83,1625685570.78
Retained Earnings,-19191876.93,-57039956.64,150933578.45,302985410.4
Additional Paid In Capital,755885846.82,755885846.82,755885846.82,755885846.82
Capital Stock,520520000.0,520520000.0,520520000.0,520520000.0
Common Stock,520520000.0,520520000.0,520520000.0,520520000.0
Total Liabilities Net Minority Interest,437007516.43,556860143.9,743054238.28,822835320.92
Total Non Current Liabilities Net Minority Interest,193120126.47,261461094.85,302779128.48,332690584.34
Other Non Current Liabilities,178848034.45,241210828.13,284200210.84,314628602.95
Non Current Deferred Revenue,14039817.54,20250266.72,18578917.64,17737068.56
Long Term Debt And Capital Lease Obligation,232274.48,,,324912.83
Long Term Capital Lease Obligation,232274.48,,,324912.83
Current Liabilities,243887389.96,295399049.05,440275109.8,490144736.58
Current Debt And Capital Lease Obligation,211676.13,,49285653.3,627387.57
Current Debt,,,48960740.47,
Payables,158171787.43,176900082.78,254883112.38,336787104.74
Other Payable,22695867.17,27636625.03,28919735.53,32593811.69
Total Tax Payable,5955354.44,13364112.42,6810789.55,9553908.12
Accounts Payable,129520565.82,135899345.33,219152587.3,294639384.93
Total Assets,1742791294.49,1822520347.64,2216687977.11,2448520891.7
Total Non Current Assets,518317271.16,535218227.06,504375102.98,478893759.87
Other Non Current Assets,3979257.62,12159606.37,14747223.62,
Non Current Deferred Assets,,4278447.24,3164606.59,4429406.31
Non Current Deferred Taxes Assets,154959076.42,156922513.45,112272563.16,74835947.39
Long Term Equity Investment,2476549.09,2842104.63,3250220.1,11812586.96
Investment Properties,42914041.97,33668053.16,34307314.48,34077388.31
Goodwill And Other Intangible Assets,21313654.78,22108117.2,17138116.76,18618151.58
Other Intangible Assets,21313654.78,22108117.2,17138116.76,18618151.58
Net PPE,292674691.28,303239385.01,319495058.27,335120279.32
Accumulated Depreciation,,-134673900.17,-118588756.83,-103088536.13
Gross PPE,292674691.28,437913285.18,438083815.1,438208815.45
Construction In Progress,10831970.83,1167345.1,1817787.59,2031907.12
Other Properties,281842720.45,24532063.33,24953412.07,26562106.02
Machinery Furniture Equipment,,34160792.99,32674958.64,29480162.4
Buildings And Improvements,,,,
Properties,,378053083.76,378637656.8,380134639.91
Current Assets,1224474023.33,1287302120.58,1712312874.13,1969627131.83
Other Current Assets,2597589.52,2839822.73,2396595.21,2373889.71
Prepaid Assets,6329634.59,4030601.63,3065690.79,5244215.35
Inventory,132644098.83,185989969.31,376497353.38,490657301.94
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,70919969.11,103964306.92,178954418.21,257299585.75
Work In Process,15024621.95,15282230.97,23705012.97,18440578.76
Raw Materials,46699507.77,66743431.42,173837922.2,214917137.43
Other Receivables,5795639.67,7164929.9,11243765.03,11065243.86
Accounts Receivable,169118662.97,234326859.48,366200522.35,461734450.51
Allowance For Doubtful Accounts Receivable,,-29055177.59,-30009561.96,-23316424.91
Gross Accounts Receivable,,263382037.07,396210084.31,485050875.42
Cash Cash Equivalents And Short Term Investments,907988397.75,852949937.53,952908947.37,998552030.46
Other Short Term Investments,91944020.0,115029359.78,271616825.4,270000000.0
Cash And Cash Equivalents,816044377.75,737920577.75,681292121.97,728552030.46
Cash Equivalents,17231769.79,24045654.07,21988527.25,35062200.24
Cash Financial,798812607.96,713874923.68,659303594.72,693489830.22
