,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1329025062.0,1329025062.0,1329025062.0,1329025062.0
Share Issued,1329025062.0,1329025062.0,1329025062.0,1329025062.0
Net Debt,65087660.88,113099751.7,214509409.45,282082918.12
Total Debt,1527381256.68,1635656456.61,2052056554.81,2156948379.74
Tangible Book Value,5050651776.23,4673859266.54,4464872825.7,4561560427.06
Invested Capital,6443252442.9,6200115099.87,6407285325.7,6608690288.19
Working Capital,1364300399.5,1343801588.53,1313166069.72,1396913673.18
Net Tangible Assets,5050651776.23,4673859266.54,4464872825.7,4561560427.06
Common Stock Equity,5050651776.23,4673859266.54,4464872825.7,4561560427.06
Total Capitalization,5942651776.23,5699409266.54,5598422825.7,5803110427.06
Total Equity Gross Minority Interest,5050651776.23,4673859266.54,4464872825.7,4561560427.06
Stockholders Equity,5050651776.23,4673859266.54,4464872825.7,4561560427.06
Retained Earnings,2123103523.91,2045200736.23,1916018833.02,1810498388.32
Additional Paid In Capital,20026913.36,20026913.36,20026913.36,20026913.36
Capital Stock,1329025062.0,1329025062.0,1329025062.0,1329025062.0
Common Stock,1329025062.0,1329025062.0,1329025062.0,1329025062.0
Total Liabilities Net Minority Interest,2010269989.87,2031167742.99,2438431995.53,2613274875.24
Total Non Current Liabilities Net Minority Interest,1348405015.23,1388944561.51,1479754227.39,1670743711.52
Tradeand Other Payables Non Current,5715543.04,5970989.08,6334978.05,6688799.48
Non Current Deferred Taxes Liabilities,450689472.19,357423572.43,339869249.34,422504912.04
Long Term Debt And Capital Lease Obligation,892000000.0,1025550000.0,1133550000.0,1241550000.0
Long Term Debt,892000000.0,1025550000.0,1133550000.0,1241550000.0
Current Liabilities,661864974.64,642223181.48,958677768.14,942531163.72
Other Current Liabilities,,257807.63,831895.22,1390625.35
Current Debt And Capital Lease Obligation,635381256.68,610106456.61,918506554.81,915398379.74
Current Debt,500600666.67,500705833.33,808862500.0,805579861.13
Payables,26483717.96,31858917.24,39339318.11,25742158.63
Other Payable,14045089.76,14813484.88,13128609.31,14945017.23
Total Tax Payable,10187578.86,13672951.17,24433932.44,8510907.84
Accounts Payable,2251049.34,3372481.19,1776776.36,2286233.56
Total Assets,7060921766.1,6705027009.53,6903304821.23,7174835302.3
Total Non Current Assets,5034756391.96,4719002239.52,4631460983.37,4835390465.4
Other Non Current Assets,137203803.45,137203803.45,137203803.45,137203874.7
Non Current Deferred Taxes Assets,,,,
Investmentin Financial Assets,1738589466.95,1358887348.36,1256136800.48,1461512192.15
Available For Sale Securities,1738589466.95,1358887348.36,1256136800.48,1461512192.15
Long Term Equity Investment,1936373493.96,1922499150.66,1835832225.91,1762983726.42
Investment Properties,487899.84,513402.48,538905.12,564407.76
Net PPE,74915091.87,78668901.99,109470081.62,114466319.51
Accumulated Depreciation,-68182651.94,-248734946.23,-33690162.44,-29539528.55
Gross PPE,143097743.81,327403848.22,143160244.06,144005848.06
Other Properties,74915091.87,78668901.99,109470081.62,
Machinery Furniture Equipment,5377235.05,5401030.05,5439735.3,6285339.3
Buildings And Improvements,,,,
Properties,137720508.76,322002818.17,137720508.76,137720508.76
Current Assets,2026165374.14,1986024770.01,2271843837.86,2339444836.9
Other Current Assets,85911.0,,,601662.52
Prepaid Assets,,,,342282.5
Inventory,359067583.29,356493862.59,355311094.01,354181698.21
Other Inventories,358873756.05,356273393.93,355025099.32,353875183.34
Raw Materials,193827.24,220468.66,285994.69,306514.87
Other Receivables,46736895.34,14215563.51,9788579.16,57300.52
Accounts Receivable,,,,18440574.08
Allowance For Doubtful Accounts Receivable,,,,-1177057.92
Gross Accounts Receivable,,,0.0,19617632.0
Cash Cash Equivalents And Short Term Investments,1620274984.51,1615315343.91,1906744164.69,1965821319.07
Other Short Term Investments,292761978.72,202159262.28,178841074.14,200774376.06
Cash And Cash Equivalents,1327513005.79,1413156081.63,1727903090.55,1765046943.01
Cash Equivalents,48795.18,47873.93,315047869.96,315772938.69
Cash Financial,1327464210.61,1413108207.7,1412855220.59,1449274004.32
