,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,6049255401.0,5930284756.0,5930278337.0,5930255051.0
Share Issued,6049255401.0,5930284756.0,5930278337.0,5930255051.0
Net Debt,205889136000.0,154200617000.0,155323406000.0,162273136000.0
Total Debt,357326769000.0,309168450000.0,299766027000.0,289881827000.0
Tangible Book Value,124525582000.0,99841337000.0,87434268000.0,78929242000.0
Invested Capital,483395559000.0,410482451000.0,388360043000.0,369973204000.0
Net Tangible Assets,134504791000.0,109820546000.0,97413477000.0,88908451000.0
Common Stock Equity,126068790000.0,101314001000.0,88594016000.0,80091377000.0
Preferred Stock Equity,9979209000.0,9979209000.0,9979209000.0,9979209000.0
Total Capitalization,493374768000.0,420461660000.0,398339252000.0,379952413000.0
Total Equity Gross Minority Interest,136047999000.0,111293210000.0,98573225000.0,90070586000.0
Stockholders Equity,136047999000.0,111293210000.0,98573225000.0,90070586000.0
Other Equity Interest,18311020000.0,8443911000.0,8443919000.0,8443948000.0
Retained Earnings,44270562000.0,38294594000.0,30197697000.0,25186548000.0
Additional Paid In Capital,,15198411000.0,15198331000.0,15198041000.0
Capital Stock,16028464000.0,15909494000.0,15909487000.0,15909464000.0
Common Stock,6049255000.0,5930285000.0,5930278000.0,5930255000.0
Preferred Stock,9979209000.0,9979209000.0,9979209000.0,9979209000.0
Total Liabilities Net Minority Interest,1976307861000.0,1730037592000.0,1517964826000.0,1300493944000.0
Derivative Product Liabilities,6509019000.0,3597339000.0,5465916000.0,2865619000.0
Long Term Debt And Capital Lease Obligation,357326769000.0,309168450000.0,299766027000.0,289881827000.0
Payables,8178215000.0,7911638000.0,8201959000.0,7565774000.0
Other Payable,6440094000.0,5878697000.0,5304659000.0,3785007000.0
Total Tax Payable,1738121000.0,2032941000.0,2897300000.0,3780767000.0
Total Assets,2112355860000.0,1841330802000.0,1616538051000.0,1390564530000.0
Investments And Advances,982079449000.0,878764721000.0,753979099000.0,660012951000.0
Investmentin Financial Assets,978216319000.0,875305796000.0,750852795000.0,657162481000.0
Trading Securities,211285659000.0,196210170000.0,155255539000.0,152316737000.0
Long Term Equity Investment,3863130000.0,3458925000.0,3126304000.0,2850470000.0
Goodwill And Other Intangible Assets,1543208000.0,1472664000.0,1159748000.0,1162135000.0
Other Intangible Assets,1543208000.0,1472664000.0,1159748000.0,1162135000.0
Net PPE,3513986000.0,3364435000.0,3210158000.0,2483059000.0
Accumulated Depreciation,-2711093000.0,-2402110000.0,-2211959000.0,-2035094000.0
Gross PPE,6225079000.0,5766545000.0,5422117000.0,4518153000.0
Construction In Progress,356894000.0,1069082000.0,1177276000.0,935559000.0
Other Properties,2058509000.0,1865797000.0,1525482000.0,1392861000.0
Properties,3809676000.0,2831666000.0,2719359000.0,2189733000.0
Cash And Cash Equivalents,151437633000.0,154967833000.0,144442621000.0,127608691000.0
Cash Equivalents,74956000.0,71794285000.0,27331148000.0,14928607000.0
Cash Financial,,673679000.0,600516000.0,538078000.0
Cash Cash Equivalents And Federal Funds Sold,201841505000.0,161022004000.0,168433547000.0,150589107000.0
