,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-4008122134.87,6908285348.1,2302653429.4,169034869.49
Repayment Of Debt,-18302879076.16,-21599230966.58,-14447963268.68,-15344669403.34
Issuance Of Debt,24341219386.29,30226909333.53,15722259864.85,15244590063.99
Capital Expenditure,-16957377752.13,-18903790907.41,-19497072476.4,-11189225205.69
End Cash Position,21510851829.45,21322108890.88,12180541555.78,17292441966.04
Beginning Cash Position,21322108890.88,12180541555.78,17356880833.33,18223973343.85
Effect Of Exchange Rate Changes,-49477394.37,647276.07,93555088.98,-29649756.28
Changes In Cash,238220332.94,9140920059.03,-5269894366.53,-901881621.53
Financing Cash Flow,2691725184.28,1049102125.24,-4255977663.67,-1064274200.55
Net Other Financing Charges,-330525722.74,-975184343.35,-670316172.35,1933147415.76
Cash Dividends Paid,-2407957415.27,-5879843729.7,-3942649981.73,-2591540158.4
Net Issuance Payments Of Debt,6038340310.13,8627678366.95,1274296596.17,-100079339.35
Net Long Term Debt Issuance,6038340310.13,8627678366.95,1274296596.17,-100079339.35
Long Term Debt Payments,-18302879076.16,-21599230966.58,-14447963268.68,-15344669403.34
Long Term Debt Issuance,24341219386.29,30226909333.53,15722259864.85,15244590063.99
Investing Cash Flow,-15402760468.6,-17720258321.72,-22813642608.66,-11195867496.16
Net Other Investing Changes,264874005.44,70559045.17,162139210.5,447958779.65
Net Investment Purchase And Sale,-326496509.72,1170635786.24,-3694244702.71,-1271801206.56
Sale Of Investment,5273841013.18,2844763378.24,7496520388.81,3409013367.6
Purchase Of Investment,-5600337522.9,-1674127592.0,-11190765091.52,-4680814574.16
Net Business Purchase And Sale,1389673958.05,-68348934.71,198563908.68,743657417.59
Sale Of Business,1554973874.19,314986065.29,198563908.68,743657417.59
Purchase Of Business,-165299916.14,-383335000.0,,
Net PPE Purchase And Sale,-16730811922.37,-18893104218.42,-19480101025.13,-11115682486.84
Sale Of PPE,226565829.76,10686688.99,16971451.27,73542718.85
Purchase Of PPE,-16957377752.13,-18903790907.41,-19497072476.4,-11189225205.69
Capital Expenditure Reported,,,,
Operating Cash Flow,12949255617.26,25812076255.51,21799725905.8,11358260075.18
Change In Working Capital,-1170994616.79,4104893886.72,-9567042409.4,-4748822492.74
Change In Other Current Assets,-601060421.41,-219966200.3,62916835.3,-367093096.65
Change In Payable,4197215327.57,1663532287.55,467186377.62,3835497492.02
Change In Inventory,-2196757380.61,-683384259.05,-4242284322.89,-2556994406.8
Change In Receivables,-2570392142.34,3344712058.52,-5854861299.43,-5660232481.31
Other Non Cash Items,1448889865.29,1388893430.38,1366800544.46,1532649523.14
Deferred Tax,,,,
Depreciation And Amortization,5822818050.73,4901139837.44,4300386927.61,3659817426.91
Amortization Cash Flow,738907071.47,701191471.19,699717196.89,624470527.85
Depreciation,5083910979.26,4199948366.25,3600669730.72,3035346899.06
Gain Loss On Investment Securities,-560125898.4,-139086960.36,284208547.92,-1408134022.14
Gain Loss On Sale Of PPE,-121505898.53,88399304.07,128319379.29,29479655.65
Net Income From Continuing Operations,3597920283.7,14093036586.59,22884915745.06,10097582322.47
Cash Flowsfromusedin Operating Activities Direct,12949255617.26,25812076255.51,21799725905.8,11358260075.18
Taxes Refund Paid Direct,-4600745439.67,-7756201644.45,-10359575849.41,-3581326089.04
Interest Received Direct,81040031.05,81327520.22,117768161.47,79150652.15
Interest Paid Direct,-570479.49,-348331.33,-422327.24,-1519491.64
Classesof Cash Payments,-92384637158.52,-79206935883.98,-72522304236.47,-57815333912.51
Other Cash Paymentsfrom Operating Activities,-6063695184.73,-4775598619.73,-4665335815.2,-3313463295.6
Paymentson Behalfof Employees,-7595928425.59,-6488572186.66,-5475842031.27,-4583049440.41
Paymentsto Suppliersfor Goodsand Services,-78725013548.2,-67942765077.59,-62381126390.0,-49918821176.5
Classesof Cash Receiptsfrom Operating Activities,109854168663.89,112694234595.05,104564260157.45,72677288916.22
Other Cash Receiptsfrom Operating Activities,3329556521.7,3523432701.72,1966459517.14,2333241134.48
Receiptsfrom Customers,106524612142.19,109170801893.33,102597800640.31,70344047781.74
