,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,122531446.0,122624988.0,122624987.0,91968740.0
Share Issued,122531446.0,122624988.0,122624987.0,91968740.0
Total Debt,19167585.56,33328668.07,3966204.43,3942481.57
Tangible Book Value,2895281665.14,2860515870.53,2832149709.18,565106689.81
Invested Capital,2904504002.02,2892162730.04,2834490561.42,565793694.48
Working Capital,2618408221.5,2622231707.13,2762931964.71,554033262.35
Net Tangible Assets,2895281665.14,2860515870.53,2832149709.18,565106689.81
Capital Lease Obligations,7865107.32,1025379.27,1931987.43,2693520.46
Common Stock Equity,2899743730.12,2862140980.04,2834490561.42,565793694.48
Total Capitalization,2899743730.12,2862140980.04,2834490561.42,565793694.48
Total Equity Gross Minority Interest,2899743730.12,2862140980.04,2834490561.42,565793694.48
Stockholders Equity,2899743730.12,2862140980.04,2834490561.42,565793694.48
Treasury Stock,26018132.75,12930588.12,,
Retained Earnings,437001552.89,417595948.95,390493785.56,145858807.09
Additional Paid In Capital,2287702891.89,2315910172.63,2342863435.38,353150937.28
Capital Stock,122531446.0,94326914.0,67376367.0,50532275.0
Common Stock,122531446.0,94326914.0,67376367.0,50532275.0
Total Liabilities Net Minority Interest,200139616.66,149622553.4,91935792.94,62779115.53
Total Non Current Liabilities Net Minority Interest,17121260.67,9152906.31,12519890.08,3192110.23
Non Current Deferred Revenue,7845897.88,7843536.65,10234950.81,498589.77
Non Current Deferred Taxes Liabilities,1410255.47,283990.39,352951.84,
Long Term Debt And Capital Lease Obligation,7865107.32,1025379.27,1931987.43,2693520.46
Long Term Capital Lease Obligation,7865107.32,1025379.27,1931987.43,2693520.46
Current Liabilities,183018355.99,140469647.09,79415902.86,59587005.3
Other Current Liabilities,4409152.25,3297797.46,10555571.19,1667098.22
Current Debt And Capital Lease Obligation,11302478.24,32303288.8,2034217.0,1248961.11
Current Debt,4760271.9,30021750.0,2034217.0,1248961.11
Payables,164286131.09,103500474.07,66107396.54,53015233.01
Other Payable,13037199.72,11174972.45,12621161.57,5492775.07
Total Tax Payable,254448.89,170180.21,18299665.76,4466181.34
Accounts Payable,150994482.48,92155321.41,35186569.21,43056276.6
Total Assets,3099883346.78,3011763533.44,2926426354.36,628572810.01
Total Non Current Assets,298456769.29,249062179.22,84078486.79,14952542.36
Other Non Current Assets,1491155.38,75486192.35,21264608.9,88695.75
Non Current Deferred Assets,15225645.82,1555034.92,1899076.91,2111558.66
Non Current Deferred Taxes Assets,9179533.33,4004270.57,3628347.12,1093595.46
Investmentin Financial Assets,15000000.0,15000000.0,,
Available For Sale Securities,15000000.0,15000000.0,,
Long Term Equity Investment,155292109.13,128738159.58,40342921.9,
Goodwill And Other Intangible Assets,4462064.98,1625109.51,2340852.24,687004.67
Other Intangible Assets,4462064.98,1625109.51,2340852.24,687004.67
Net PPE,97806260.65,22653412.29,14602679.72,10971687.82
Accumulated Depreciation,-17531889.61,-9959983.86,-5652056.75,-3534616.66
Gross PPE,115338150.26,32613396.15,20254736.47,14506304.48
Construction In Progress,18914633.63,,,
Other Properties,93305458.64,29696164.71,17340505.03,12729775.69
Machinery Furniture Equipment,3118057.99,2917231.44,2914231.44,1776528.79
Current Assets,2801426577.49,2762701354.22,2842347867.57,613620267.65
Other Current Assets,3522833.84,21876794.97,3.49,4825181.43
Prepaid Assets,9598549.71,9690433.3,11866135.04,27215679.41
Inventory,360602241.41,340350476.11,175041780.15,99615443.66
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,120011442.68,80762849.25,39867234.3,28606612.59
Raw Materials,240590798.73,259587626.86,135174545.85,71008831.07
Other Receivables,120570319.62,24619022.33,30177080.0,5671614.96
Accounts Receivable,162944347.08,115494105.61,181064234.82,103697058.2
Allowance For Doubtful Accounts Receivable,-8576018.27,-6078637.14,-9529696.57,-5457739.9
Gross Accounts Receivable,171520365.35,121572742.75,190593931.39,109154798.1
Cash Cash Equivalents And Short Term Investments,2144188285.83,2250670521.9,2444198634.07,372595289.99
Other Short Term Investments,60003090.12,,140089178.09,
Cash And Cash Equivalents,2084185195.71,2250670521.9,2304109455.98,372595289.99
Cash Equivalents,588387015.31,91105219.62,,
Cash Financial,1495798180.4,2159565302.28,2304109455.98,372595289.99
