,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,538050.791739,2644869.908823,-1771062.134088,-2482655.101416
Tax Rate For Calcs,0.159281,0.133344,0.1299,0.131462
Total Unusual Items,3378000.0,19835000.0,-13634000.0,-18885000.0
Total Unusual Items Excluding Goodwill,3378000.0,19835000.0,-13634000.0,-18885000.0
Net Income From Continuing Operation Net Minority Interest,3813258000.0,3281502000.0,2743731000.0,2188079000.0
Reconciled Depreciation,354551000.0,317326000.0,290204000.0,239035000.0
Net Interest Income,9142322000.0,8501339000.0,7611468000.0,6691365000.0
Interest Expense,7152139000.0,6568037000.0,5621255000.0,4793253000.0
Interest Income,16294461000.0,15069376000.0,13232723000.0,11484618000.0
Normalized Income,3810418050.791739,3264311869.908823,2755593937.865912,2204481344.898584
Net Income From Continuing And Discontinued Operation,3813258000.0,3281502000.0,2743731000.0,2188079000.0
Diluted Average Shares,3702192233.0,3687080899.0,3210749043.0,
Basic Average Shares,3026395238.0,3010552294.0,3018104100.0,3008608625.0
Diluted EPS,1.03,0.89,0.854545,0.727273
Basic EPS,1.26,1.09,0.909091,0.727273
Net Income Common Stockholders,3813258000.0,3281502000.0,2743731000.0,2188079000.0
Net Income,3813258000.0,3281502000.0,2743731000.0,2188079000.0
Minority Interests,-260159000.0,-225730000.0,-183157000.0,-153131000.0
Net Income Including Noncontrolling Interests,4073417000.0,3507232000.0,2926888000.0,2341210000.0
Net Income Continuous Operations,4073417000.0,3507232000.0,2926888000.0,2341210000.0
Tax Provision,771741000.0,539622000.0,436966000.0,354365000.0
Pretax Income,4845158000.0,4046854000.0,3363854000.0,2695575000.0
Other Non Operating Income Expenses,-23866000.0,-6030000.0,248000.0,-9124000.0
Special Income Charges,3378000.0,19835000.0,-13634000.0,-18885000.0
Other Special Charges,-14643000.0,-20723000.0,-13010000.0,-8268000.0
Write Off,11265000.0,888000.0,26644000.0,27153000.0
Gain On Sale Of Security,1554665000.0,1197159000.0,756539000.0,573359000.0
Operating Expense,4059638000.0,3692213000.0,3445259000.0,3212807000.0
Other Operating Expenses,103933000.0,57421000.0,60426000.0,48182000.0
Depreciation And Amortization In Income Statement,243876000.0,209974000.0,188547000.0,153086000.0
Amortization,54720000.0,55069000.0,43867000.0,24159000.0
Depreciation Income Statement,189156000.0,154905000.0,144680000.0,128927000.0
Selling General And Administration,1175823000.0,1136761000.0,1129504000.0,1005312000.0
General And Administrative Expense,1175823000.0,1136761000.0,1129504000.0,1005312000.0
Total Revenue,10802504000.0,9757562000.0,8709108000.0,7568505000.0
Operating Revenue,10802504000.0,9757562000.0,8709108000.0,7568505000.0
