,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,250061583.0,250482183.0,200000000.0,200000000.0
Share Issued,250061583.0,250482183.0,200000000.0,200000000.0
Net Debt,555701683.55,392240737.06,229271736.86,
Total Debt,764873725.72,641341354.63,370372416.65,200233750.01
Tangible Book Value,2169345790.55,1970678775.67,1803240239.13,1572614041.34
Invested Capital,3176260317.56,2792211110.8,2359045933.29,1959697913.17
Working Capital,-15226972.8,-52190385.5,99241825.29,119849861.1
Net Tangible Assets,2169345790.55,1970678775.67,1803240239.13,1572614041.34
Capital Lease Obligations,11769112.76,22222614.24,,
Common Stock Equity,2436112475.97,2185379360.82,1988673516.64,1759464163.16
Total Capitalization,2445712475.97,2211629360.82,1988673516.64,1759464163.16
Total Equity Gross Minority Interest,2436112475.97,2185379360.82,1988673516.64,1759464163.16
Stockholders Equity,2436112475.97,2185379360.82,1988673516.64,1759464163.16
Treasury Stock,30002400.0,48825839.43,,
Retained Earnings,1105612183.57,886170608.94,633910329.55,424200976.07
Additional Paid In Capital,1059380136.47,1063393143.57,1111245418.54,1111245418.54
Capital Stock,250061583.0,250482183.0,200000000.0,200000000.0
Common Stock,250061583.0,250482183.0,200000000.0,200000000.0
Total Liabilities Net Minority Interest,2416954958.43,2390967091.56,1552727710.71,1351449392.32
Total Non Current Liabilities Net Minority Interest,100662706.49,131031594.54,85609749.64,83424329.14
Non Current Deferred Revenue,79293593.73,82558980.3,85609749.64,83424329.14
Long Term Debt And Capital Lease Obligation,21369112.76,48472614.24,,
Long Term Capital Lease Obligation,11769112.76,22222614.24,,
Long Term Debt,9600000.0,26250000.0,,
Current Liabilities,2316292251.94,2259935497.02,1467117961.07,1268025063.18
Other Current Liabilities,48287.38,106981.49,17925.03,130126.51
Current Debt And Capital Lease Obligation,743504612.96,592868740.39,370372416.65,200233750.01
Current Debt,730547841.59,580581749.98,370372416.65,200233750.01
Payables,1571871201.55,1642524351.83,1091580046.96,1066660213.48
Other Payable,73043655.56,79681782.42,33824818.47,30990984.71
Total Tax Payable,61558082.29,54350817.99,42459118.18,22047188.45
Accounts Payable,1437269463.7,1508491751.42,1015296110.31,1013622040.32
Total Assets,4853067434.4,4576346452.38,3541401227.35,3110913555.48
Total Non Current Assets,2552002155.26,2368601340.86,1975041440.99,1723038631.2
Other Non Current Assets,23313781.65,6422425.1,15164668.59,17668449.3
Non Current Deferred Assets,91471996.25,83053344.12,104278874.55,103349729.18
Non Current Deferred Taxes Assets,38626169.85,59361434.0,45744509.34,29045390.84
Goodwill And Other Intangible Assets,266766685.42,214700585.15,185433277.51,186850121.82
Other Intangible Assets,266766685.42,214700585.15,185433277.51,186850121.82
Net PPE,2131823522.09,2005063552.49,1624420111.0,1386124940.06
Accumulated Depreciation,,-797013101.64,-592562366.78,-465350004.04
Gross PPE,2131823522.09,2802076654.13,2216982477.78,1851474944.1
Construction In Progress,205310670.88,384740808.49,122265353.53,200378173.08
Other Properties,1926512851.21,61012044.82,81292260.06,19657760.34
Machinery Furniture Equipment,,1385399032.73,1082033790.79,912083482.99
Buildings And Improvements,,,,
Properties,,970924768.09,931391073.4,719355527.69
Current Assets,2301065279.14,2207745111.52,1566359786.36,1387874924.28
Other Current Assets,20321040.52,10772372.82,16824289.7,32930700.84
Prepaid Assets,56493388.47,66879914.39,54726809.87,38251685.85
Inventory,291336819.5,326451498.86,305404886.79,296124458.14
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,5409163.06,
Finished Goods,68575954.82,84885893.87,78428036.78,66504779.68
Work In Process,64342968.22,81313479.96,67677019.6,54373455.93
Raw Materials,158417896.46,160252125.03,153890667.35,175246222.53
Other Receivables,263225361.52,82209187.73,76039333.81,55395336.15
Accounts Receivable,1485242511.09,1506841124.8,972263786.4,748074508.54
Allowance For Doubtful Accounts Receivable,,-82860985.75,-53560304.45,-42418651.03
Gross Accounts Receivable,,1589702110.55,1009138254.85,790493159.57
Cash Cash Equivalents And Short Term Investments,184446158.04,214591012.92,141100679.79,217098234.76
Cash And Cash Equivalents,184446158.04,214591012.92,141100679.79,217098234.76
Cash Equivalents,27956500.01,9805213.86,6001000.0,6000000.0
Cash Financial,156489658.03,204785799.06,44294411.01,211098234.76
