,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,294717182.0,294717182.0,294717182.0,221037804.0
Share Issued,294717182.0,294717182.0,294717182.0,221037804.0
Total Debt,237077074.19,100117553.66,195411095.81,432936769.57
Tangible Book Value,8718428599.34,8463986077.72,8418514711.85,3273667860.0
Invested Capital,9036823971.7,8618237620.8,8667197848.48,3756839786.94
Working Capital,5414840561.92,5282288236.46,6567236601.92,2079201615.77
Net Tangible Assets,8718428599.34,8463986077.72,8418514711.85,3273667860.0
Capital Lease Obligations,,550000.0,,400000.0
Common Stock Equity,8800146897.51,8519120067.14,8472186752.67,3324975454.86
Total Capitalization,8800146897.51,8519120067.14,8472186752.67,3382925454.86
Total Equity Gross Minority Interest,8800146897.51,8519120067.14,8472186752.67,3324975454.86
Stockholders Equity,8800146897.51,8519120067.14,8472186752.67,3324975454.86
Treasury Stock,117810542.29,125974444.38,,
Retained Earnings,2299424782.5,2075177490.69,2026454306.54,2271005719.63
Additional Paid In Capital,5904367455.52,5967237785.42,6035249442.42,963713567.54
Capital Stock,294717182.0,294717182.0,226705525.0,94460614.0
Common Stock,294717182.0,294717182.0,226705525.0,94460614.0
Total Liabilities Net Minority Interest,1905063981.52,1311980926.26,1017778425.68,1220129574.17
Total Non Current Liabilities Net Minority Interest,298942591.08,205680893.73,252575311.61,281026113.46
Other Non Current Liabilities,39830200.0,39830200.0,39830200.0,39830200.0
Non Current Deferred Revenue,84051376.98,71295728.6,66194234.4,72618975.36
Non Current Deferred Taxes Liabilities,175061014.1,94004965.13,146550877.21,110226938.1
Long Term Debt And Capital Lease Obligation,,550000.0,,58350000.0
Long Term Capital Lease Obligation,,550000.0,,400000.0
Long Term Debt,,,,57950000.0
Current Liabilities,1606121390.44,1106300032.53,765203114.07,939103460.71
Other Current Liabilities,409247.43,3341305.59,2704337.53,
Current Debt And Capital Lease Obligation,237077074.19,99567553.66,195411095.81,374586769.57
Current Debt,236677074.19,99117553.66,195011095.81,373914332.08
Payables,1365231993.49,976025130.12,489699505.5,550825954.09
Other Payable,194394252.35,81257079.41,41674448.39,105866951.19
Total Tax Payable,87360196.99,104631864.16,52209189.08,136172735.79
Accounts Payable,1083477544.15,790136186.55,395815868.03,308786267.11
Total Assets,10705210879.03,9831100993.4,9489965178.35,4545105029.03
Total Non Current Assets,3684248926.67,3442512724.41,2157525462.36,1526799952.55
Other Non Current Assets,63007096.02,30407983.75,60280671.51,66393721.74
Non Current Deferred Assets,,,,
Non Current Deferred Taxes Assets,88034270.13,57537346.58,85515396.72,59715882.78
Goodwill And Other Intangible Assets,81718298.17,55133989.42,53672040.82,51307594.86
Other Intangible Assets,81718298.17,55133989.42,53672040.82,51307594.86
Net PPE,3451489262.35,3299433404.66,1958057353.31,1349382753.17
Accumulated Depreciation,,-482671733.51,-302120155.07,-185513388.96
Gross PPE,3451489262.35,3782105138.17,2260177508.38,1534896142.13
Construction In Progress,356879240.56,1089299833.22,499076576.62,353030247.22
Other Properties,3094610021.79,1150000.0,550000.0,1150000.0
Machinery Furniture Equipment,,1882084753.59,1330337969.28,775061953.31
Buildings And Improvements,,,,405653941.6
Properties,,809570551.36,430212962.48,405653941.6
Current Assets,7020961952.36,6388588268.99,7332439715.99,3018305076.48
Other Current Assets,211362876.19,129815043.3,51246736.69,13062939.69
Hedging Assets Current,4452640.0,,,
Prepaid Assets,113890126.82,68115391.23,58902799.86,69228805.12
Inventory,2641131458.74,1968046797.3,2375376160.82,1561837992.82
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,705129.1
Finished Goods,322372878.53,146627681.16,168448971.94,117488356.22
Work In Process,585947257.11,612852499.7,496543492.17,344696321.41
Raw Materials,1732811323.1,1208566616.44,1710383696.71,1098948186.09
Other Receivables,326600895.02,198244436.86,242805800.27,557878331.67
Accounts Receivable,349187932.07,264299406.3,133100270.45,279143648.66
Allowance For Doubtful Accounts Receivable,,-14028488.17,-7103389.46,-14691770.96
Gross Accounts Receivable,,278327894.47,140203659.91,293835419.62
Cash Cash Equivalents And Short Term Investments,3374336023.52,3760067194.0,4471007947.9,537153358.52
Cash And Cash Equivalents,3374336023.52,3760067194.0,4471007947.9,537153358.52
Cash Equivalents,17749373.08,18293972.07,7954418.03,42786461.67
Cash Financial,3356586650.44,3741773221.93,4463053529.87,494366896.85
