,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,94311768.0,94311768.0,70721768.0,70721768.0
Share Issued,94311768.0,94311768.0,70721768.0,70721768.0
Total Debt,23929222.15,31110297.86,107324622.02,110591476.02
Tangible Book Value,3096536274.38,2982931061.74,650929566.01,507221114.89
Invested Capital,3168953733.38,3057345868.34,780198071.84,582380465.06
Working Capital,2617687301.7,2734207362.18,574089046.81,482608242.07
Net Tangible Assets,3096536274.38,2982931061.74,650929566.01,507221114.89
Capital Lease Obligations,12977425.11,19544058.86,23606222.38,12503644.17
Common Stock Equity,3168953733.38,3057345868.34,722198071.84,510380465.06
Total Capitalization,3168953733.38,3057345868.34,780198071.84,582380465.06
Total Equity Gross Minority Interest,3168953733.38,3057345868.34,734335324.35,515321551.96
Minority Interest,,,12137252.51,4941086.9
Stockholders Equity,3168953733.38,3057345868.34,722198071.84,510380465.06
Retained Earnings,683391340.0,582865783.57,379864730.05,172799018.63
Additional Paid In Capital,2358194852.38,2358194852.38,263015484.05,262524418.98
Capital Stock,94311768.0,94311768.0,70721768.0,70721768.0
Common Stock,94311768.0,94311768.0,70721768.0,70721768.0
Total Liabilities Net Minority Interest,788688838.15,894123622.81,1099201771.29,915226932.04
Total Non Current Liabilities Net Minority Interest,24386058.95,32007600.17,97370710.28,97851302.4
Other Non Current Liabilities,8626748.33,8340079.76,9611950.31,5166044.62
Non Current Deferred Revenue,2781885.51,4123461.55,6152537.59,8181613.61
Long Term Debt And Capital Lease Obligation,12977425.11,19544058.86,81606222.38,84503644.17
Long Term Capital Lease Obligation,12977425.11,19544058.86,23606222.38,12503644.17
Long Term Debt,,,58000000.0,72000000.0
Current Liabilities,764302779.2,862116022.64,1001831061.01,817375629.64
Other Current Liabilities,17234971.14,8508753.36,7095824.95,11978988.77
Current Debt And Capital Lease Obligation,10951797.04,11566239.0,25718399.64,26087831.85
Payables,730432485.7,838070101.19,961131843.18,769018452.62
Other Payable,45044652.75,39380847.73,48242391.37,37865608.16
Total Tax Payable,8760281.61,12354700.79,11257048.58,10381568.83
Accounts Payable,676627551.34,786334552.67,901632403.23,720771275.63
Total Assets,3957642571.53,3951469491.15,1833537095.64,1430548484.0
Total Non Current Assets,575652490.63,355146106.33,257616987.82,130564612.29
Other Non Current Assets,5662210.26,2435622.78,3654308.3,2816980.0
Non Current Deferred Assets,3634039.82,9408106.27,13940475.4,8962108.72
Non Current Deferred Taxes Assets,26435647.61,27393834.23,29369752.74,23832135.16
Goodwill And Other Intangible Assets,72417459.0,74414806.6,71268505.83,3159350.17
Other Intangible Assets,72417459.0,74414806.6,71268505.83,3159350.17
Net PPE,467503133.94,241493736.45,139383945.55,91794038.24
Accumulated Depreciation,,-96913373.25,-80456366.0,-66088623.88
Gross PPE,467503133.94,338407109.7,219840311.55,157882662.12
Construction In Progress,359580341.25,126230990.48,16886632.61,2733250.28
Other Properties,107922792.69,40035411.41,42291464.62,31921499.47
Machinery Furniture Equipment,,172140707.81,160662214.32,123227912.37
Current Assets,3381990080.9,3596323384.82,1575920107.82,1299983871.71
Other Current Assets,52109381.78,39799180.46,21738058.41,4289618.71
Prepaid Assets,1825821.25,4594296.55,6012294.47,5716470.46
Inventory,342493812.92,349045926.68,390235240.51,324504254.18
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,-390235240.51,-973512762.54
Finished Goods,207686825.29,150632409.22,153992716.72,135907014.48
Work In Process,8500792.57,11640429.52,13307360.98,9871647.18
Raw Materials,126306195.06,186773087.94,222935162.81,178725592.52
Other Receivables,290653824.09,320452003.72,247729257.88,268906916.58
Accounts Receivable,415750034.73,405191984.28,409590272.98,290208018.95
Allowance For Doubtful Accounts Receivable,,-20003113.9,-19646479.03,-17092312.26
Gross Accounts Receivable,,425195098.18,429236752.01,307300331.21
Cash Cash Equivalents And Short Term Investments,2279157206.13,2477239993.13,500614983.57,406358592.83
Other Short Term Investments,,,,
Cash And Cash Equivalents,2279157206.13,2477239993.13,500614983.57,406358592.83
Cash Equivalents,28590457.85,41407694.92,48569589.57,52465022.03
Cash Financial,2250566748.28,2435832298.21,450560342.16,353673461.75
