,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,18779080767.0,18779080767.0,18779080767.0,15433706663.0
Share Issued,18779080767.0,18779080767.0,18779080767.0,15433706663.0
Net Debt,109090187000.0,114320378000.0,106225102000.0,79730160000.0
Total Debt,174657229000.0,166613596000.0,157022307000.0,125232689000.0
Tangible Book Value,22058993000.0,21444087000.0,21553530000.0,17391138000.0
Invested Capital,185265569000.0,189166515000.0,192282123000.0,154164897000.0
Working Capital,-15682890000.0,3073150000.0,7952326000.0,6404353000.0
Net Tangible Assets,22058993000.0,21444087000.0,21553530000.0,17391138000.0
Capital Lease Obligations,6334786000.0,5737288000.0,4461383000.0,1102072000.0
Common Stock Equity,53167609000.0,52921866000.0,50678520000.0,43041045000.0
Total Capitalization,176471360000.0,179697923000.0,181288536000.0,143386408000.0
Total Equity Gross Minority Interest,132703744000.0,145265973000.0,132138753000.0,119661855000.0
Minority Interest,79536135000.0,92344107000.0,81460233000.0,76620810000.0
Stockholders Equity,53167609000.0,52921866000.0,50678520000.0,43041045000.0
Other Equity Interest,,,,200334000.0
Treasury Stock,919322000.0,1094943000.0,1314581000.0,1885557000.0
Retained Earnings,21504719000.0,21537188000.0,19486730000.0,22465150000.0
Additional Paid In Capital,,10489271000.0,12437990000.0,6068268000.0
Capital Stock,18779081000.0,18779081000.0,17071892000.0,14030642000.0
Common Stock,18779081000.0,18779081000.0,17071892000.0,14030642000.0
Total Liabilities Net Minority Interest,245548172000.0,237593113000.0,227857479000.0,189087840000.0
Total Non Current Liabilities Net Minority Interest,134491839000.0,138367964000.0,140316795000.0,108308901000.0
Other Non Current Liabilities,276726000.0,117395000.0,97522000.0,671344000.0
Tradeand Other Payables Non Current,2017236000.0,2769089000.0,1360301000.0,1341275000.0
Non Current Deferred Revenue,1014891000.0,1540648000.0,2468145000.0,2361205000.0
Non Current Deferred Taxes Liabilities,1544449000.0,1427487000.0,1319428000.0,3158986000.0
Long Term Debt And Capital Lease Obligation,129638537000.0,132513345000.0,135071399000.0,101447435000.0
Long Term Capital Lease Obligation,6334786000.0,5737288000.0,4461383000.0,1102072000.0
Long Term Debt,123303751000.0,126776057000.0,130610016000.0,100345363000.0
Current Liabilities,111056333000.0,99225149000.0,87540684000.0,80778939000.0
Other Current Liabilities,1487604000.0,1563923000.0,1187250000.0,1275681000.0
Current Debt And Capital Lease Obligation,45018692000.0,34100251000.0,21950908000.0,23785254000.0
Current Debt,8794209000.0,9468592000.0,10993587000.0,10778489000.0
Payables,61921861000.0,61080536000.0,60530448000.0,51510826000.0
Other Payable,24260306000.0,25205899000.0,26527275000.0,22664214000.0
Dividends Payable,,54251000.0,40010000.0,34607000.0
Total Tax Payable,1206098000.0,861342000.0,1215591000.0,1238849000.0
Accounts Payable,36455457000.0,35013295000.0,32747572000.0,27573156000.0
Total Assets,378251916000.0,382859086000.0,359996232000.0,308749695000.0
Total Non Current Assets,282878473000.0,280560787000.0,264503222000.0,221566403000.0
Other Non Current Assets,17917341000.0,13081184000.0,6293943000.0,7449009000.0
Non Current Deferred Assets,2163457000.0,3402689000.0,2744208000.0,2640530000.0
Non Current Deferred Taxes Assets,2486427000.0,2246222000.0,1753887000.0,2150423000.0
Investmentin Financial Assets,2760323000.0,3480563000.0,4110526000.0,3631357000.0
Held To Maturity Securities,147272000.0,122349000.0,741703000.0,
Available For Sale Securities,2613051000.0,3358214000.0,3368823000.0,3631357000.0
Long Term Equity Investment,24595634000.0,25431271000.0,29256216000.0,25640578000.0
Investment Properties,612734000.0,911679000.0,946449000.0,761902000.0
Goodwill And Other Intangible Assets,31108616000.0,31477779000.0,29124990000.0,25649907000.0
Other Intangible Assets,19948911000.0,20961037000.0,19963138000.0,16491066000.0
Goodwill,11159705000.0,10516742000.0,9161852000.0,9158841000.0
Net PPE,200790200000.0,199809119000.0,189641630000.0,152991579000.0
Accumulated Depreciation,,-112679637000.0,-92644565000.0,-76251541000.0
Gross PPE,200790200000.0,312488756000.0,282286195000.0,229243120000.0
Construction In Progress,23580503000.0,17000052000.0,52053834000.0,36965885000.0
Other Properties,177209697000.0,12016791000.0,10236013000.0,10970214000.0
Machinery Furniture Equipment,,228517267000.0,175016742000.0,144497534000.0
Buildings And Improvements,,,,
Properties,,54954646000.0,44979606000.0,36809487000.0
Current Assets,95373443000.0,102298299000.0,95493010000.0,87183292000.0
Other Current Assets,7565915000.0,5867229000.0,5438936000.0,5802960000.0
Hedging Assets Current,172489000.0,108008000.0,361034000.0,70929000.0
Assets Held For Sale Current,,162416000.0,,
Prepaid Assets,2090492000.0,2946288000.0,3593857000.0,2306325000.0
Inventory,17594133000.0,18481755000.0,18001122000.0,14083357000.0
Inventories Adjustments Allowances,,0.0,0.0,0.0
Other Inventories,,412583000.0,,
Finished Goods,,9104233000.0,9806847000.0,7717812000.0
Work In Process,,2997633000.0,3252501000.0,2383682000.0
Raw Materials,,6379889000.0,4941774000.0,3981863000.0
Other Receivables,6139517000.0,7620564000.0,5964392000.0,7685991000.0
Accounts Receivable,22242153000.0,22003651000.0,14051661000.0,18238782000.0
Allowance For Doubtful Accounts Receivable,,-359224000.0,-454070000.0,-418962000.0
Gross Accounts Receivable,,22362875000.0,14505731000.0,18657744000.0
Cash Cash Equivalents And Short Term Investments,39568744000.0,45108388000.0,48082008000.0,38994948000.0
Other Short Term Investments,16560971000.0,23184117000.0,12703507000.0,7601256000.0
Cash And Cash Equivalents,23007773000.0,21924271000.0,35378501000.0,31393692000.0
Cash Equivalents,,1719347000.0,1835379000.0,64825000.0
Cash Financial,,397774000.0,381617000.0,481951000.0
