,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,356406257089.0,356406257089.0,356406257089.0,356406257089.0
Share Issued,356406257089.0,356406257089.0,356406257089.0,356406257089.0
Total Debt,2599150000000.0,1898250000000.0,1428764000000.0,1280715000000.0
Tangible Book Value,3835227000000.0,3622273000000.0,3361495000000.0,3123141000000.0
Invested Capital,6434377000000.0,5520523000000.0,4790259000000.0,4403856000000.0
Net Tangible Assets,3969841000000.0,3756887000000.0,3496109000000.0,3257755000000.0
Common Stock Equity,3835227000000.0,3622273000000.0,3361495000000.0,3123141000000.0
Preferred Stock Equity,134614000000.0,134614000000.0,134614000000.0,134614000000.0
Total Capitalization,6568991000000.0,5655137000000.0,4924873000000.0,4538470000000.0
Total Equity Gross Minority Interest,3987266000000.0,3776588000000.0,3515419000000.0,3275258000000.0
Minority Interest,17425000000.0,19701000000.0,19310000000.0,17503000000.0
Stockholders Equity,3969841000000.0,3756887000000.0,3496109000000.0,3257755000000.0
Other Equity Interest,189730000000.0,219717000000.0,219717000000.0,219717000000.0
Retained Earnings,2014086000000.0,1912067000000.0,1771747000000.0,1620642000000.0
Additional Paid In Capital,,148425000000.0,148425000000.0,148425000000.0
Capital Stock,491021000000.0,491021000000.0,491021000000.0,491021000000.0
Common Stock,356407000000.0,356407000000.0,356407000000.0,356407000000.0
Preferred Stock,134614000000.0,134614000000.0,134614000000.0,134614000000.0
Total Liabilities Net Minority Interest,44834480000000.0,40920491000000.0,36094727000000.0,31896125000000.0
Derivative Product Liabilities,197795000000.0,76251000000.0,96350000000.0,71337000000.0
Long Term Debt And Capital Lease Obligation,2599150000000.0,1898250000000.0,1428764000000.0,1280715000000.0
Payables,100407000000.0,131361000000.0,151487000000.0,149980000000.0
Other Payable,52553000000.0,52098000000.0,49413000000.0,41083000000.0
Total Tax Payable,47854000000.0,79263000000.0,102074000000.0,108897000000.0
Total Assets,48821746000000.0,44697079000000.0,39610146000000.0,35171383000000.0
Investments And Advances,14449294000000.0,11989785000000.0,10686697000000.0,9395682000000.0
Investmentin Financial Assets,14375937000000.0,11925007000000.0,10620907000000.0,9333900000000.0
Available For Sale Securities,3291152000000.0,2230862000000.0,2223096000000.0,1803604000000.0
Trading Securities,1010439000000.0,811957000000.0,747474000000.0,623223000000.0
Long Term Equity Investment,73357000000.0,64778000000.0,65790000000.0,61782000000.0
Net PPE,300511000000.0,297018000000.0,291911000000.0,288199000000.0
Accumulated Depreciation,,-210402000000.0,-198700000000.0,-179509000000.0
Gross PPE,300511000000.0,507420000000.0,490611000000.0,467708000000.0
Construction In Progress,21117000000.0,24186000000.0,17072000000.0,18182000000.0
Other Properties,279394000000.0,203773000000.0,198453000000.0,180945000000.0
Machinery Furniture Equipment,,83758000000.0,83383000000.0,81632000000.0
Properties,,195703000000.0,191703000000.0,186949000000.0
Cash And Cash Equivalents,4751029000000.0,5298435000000.0,4744282000000.0,4191550000000.0
Cash Equivalents,208242000000.0,139425000000.0,123858000000.0,265962000000.0
Cash Financial,,66699000000.0,66340000000.0,62872000000.0
Cash Cash Equivalents And Federal Funds Sold,5961246000000.0,6522692000000.0,5608404000000.0,4855046000000.0
