,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,619374213.0,617788602.0,617200603.0,617200604.0
Share Issued,619374213.0,617788602.0,617200603.0,617200604.0
Total Debt,19945946.03,28543397.67,38536726.25,50723313.23
Tangible Book Value,2474911647.0,2206336819.38,2222642357.23,1970102660.65
Invested Capital,2808260514.28,2546110980.81,2223270300.79,1970767997.79
Working Capital,2360247863.51,2116330994.56,2136410311.28,1877753754.04
Net Tangible Assets,2474911647.0,2206336819.38,2222642357.23,1970102660.65
Capital Lease Obligations,4163632.27,13712006.73,24580020.6,34801669.82
Common Stock Equity,2808260514.28,2546110980.81,2223270300.79,1970767997.79
Total Capitalization,2808260514.28,2546110980.81,2223270300.79,1970767997.79
Total Equity Gross Minority Interest,2808260514.28,2546110980.81,2223270300.79,1973144911.58
Minority Interest,,,,2376913.79
Stockholders Equity,2808260514.28,2546110980.81,2223270300.79,1970767997.79
Treasury Stock,4334760.0,4800600.0,,
Retained Earnings,1385160345.2,1180033901.14,897364124.79,674207075.69
Additional Paid In Capital,618937121.19,773526891.92,895105597.92,985076530.92
Capital Stock,619374213.0,441277573.0,314898267.0,224927334.0
Common Stock,619374213.0,441277573.0,314898267.0,224927334.0
Total Liabilities Net Minority Interest,571388017.98,526764409.93,483728926.41,445109487.55
Total Non Current Liabilities Net Minority Interest,8754231.31,19981737.99,32766549.33,37812509.69
Non Current Deferred Taxes Liabilities,4590599.04,6269731.26,8186528.73,3010839.87
Long Term Debt And Capital Lease Obligation,4163632.27,13712006.73,24580020.6,34801669.82
Long Term Capital Lease Obligation,4163632.27,13712006.73,24580020.6,34801669.82
Current Liabilities,562633786.67,506782671.94,450962377.08,407296977.86
Other Current Liabilities,1753072.49,998821.25,980612.71,2031651.89
Current Debt And Capital Lease Obligation,15782313.76,14831390.94,13956705.65,15921643.41
Payables,515880525.67,474305438.95,419681513.51,355494067.73
Other Payable,375023609.14,353242687.57,303349255.2,259866055.82
Total Tax Payable,139289307.3,118802035.8,113474175.93,92794698.5
Accounts Payable,1567609.23,2260715.58,2858082.38,2833313.41
Total Assets,3379648532.26,3072875390.74,2706999227.2,2418254399.13
Total Non Current Assets,456766882.08,449761724.24,119626538.84,133203667.23
Non Current Deferred Assets,4311485.27,5515778.4,7057263.24,9205703.5
Non Current Deferred Taxes Assets,24403816.26,21695022.57,18147225.77,9839283.01
Goodwill And Other Intangible Assets,333348867.28,339774161.43,627943.56,665337.14
Other Intangible Assets,333348867.28,339774161.43,627943.56,665337.14
Net PPE,94702713.27,82776761.84,93794106.27,113493343.58
Accumulated Depreciation,-116653377.65,-110975029.89,-103845842.52,-94522103.16
Gross PPE,211356090.92,193751791.73,197639948.79,208015446.74
Construction In Progress,29334383.6,3805068.92,104785.37,
Other Properties,136896085.7,133303569.14,140892009.75,151248105.1
Machinery Furniture Equipment,8059634.5,8141050.43,8141050.43,8265238.4
Buildings And Improvements,,,,
Properties,37065987.12,48502103.24,48502103.24,48502103.24
Current Assets,2922881650.18,2623113666.5,2587372688.36,2285050731.9
Other Current Assets,7819518.57,5411414.97,5079524.33,4283306.46
Prepaid Assets,4411132.15,1604856.51,2990253.66,2125421.86
Inventory,35217216.73,21021483.83,18807594.78,23302537.99
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,35217216.73,21021483.83,18807594.78,23302537.99
Other Receivables,858501343.64,727947971.93,552928486.55,340741921.59
Accounts Receivable,874306170.09,892199140.45,777186923.04,772554314.8
Allowance For Doubtful Accounts Receivable,-82851975.22,-63480565.19,-41410177.11,-42171328.28
Gross Accounts Receivable,957158145.31,955679705.64,818597100.15,814725643.08
Cash Cash Equivalents And Short Term Investments,1142626269.0,974928798.81,1230379906.0,1142043229.2
Other Short Term Investments,154008736.11,165114138.02,577135068.5,280838263.11
Cash And Cash Equivalents,988617532.89,809814660.79,653244837.5,861204966.09
Cash Equivalents,16865949.3,83597813.78,388697392.91,41650123.59
Cash Financial,971751583.59,726216847.01,264547444.59,819554842.5
