,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,326341682.0,326341682.0,326341682.0,326100000.0
Share Issued,326341682.0,326341682.0,326341682.0,326100000.0
Total Debt,129907481.63,111606585.35,197458314.75,84102697.42
Tangible Book Value,692247098.89,728779775.93,707399069.54,710571134.49
Invested Capital,758749289.64,810888594.01,834987013.52,716815958.96
Working Capital,526448221.9,640672095.5,595665573.48,599367039.78
Net Tangible Assets,692247098.89,728779775.93,707399069.54,710571134.49
Capital Lease Obligations,43469492.05,20542026.14,38036838.72,47452237.06
Common Stock Equity,704405948.23,742538840.05,716319254.68,716815958.96
Total Capitalization,704405948.23,742538840.05,716319254.68,716815958.96
Total Equity Gross Minority Interest,704405948.23,742538840.05,716319254.68,716815958.96
Stockholders Equity,704405948.23,742538840.05,716319254.68,716815958.96
Treasury Stock,15012126.15,,,
Retained Earnings,178299541.92,208165216.41,189835414.21,202852384.11
Additional Paid In Capital,151653749.69,151653749.69,151653749.69,
Capital Stock,326341682.0,326341682.0,326341682.0,217400000.0
Common Stock,326341682.0,326341682.0,326341682.0,217400000.0
Total Liabilities Net Minority Interest,273477722.28,226943615.41,322763880.66,260243064.53
Total Non Current Liabilities Net Minority Interest,52476963.28,26980939.81,45296325.11,53822239.79
Other Non Current Liabilities,9007471.23,6438913.67,7259486.39,6370002.73
Non Current Deferred Revenue,,,,
Long Term Debt And Capital Lease Obligation,43469492.05,20542026.14,38036838.72,47452237.06
Long Term Capital Lease Obligation,43469492.05,20542026.14,38036838.72,47452237.06
Current Liabilities,221000759.0,199962675.6,277467555.55,206420824.74
Other Current Liabilities,1437451.91,862356.25,1817393.69,1964350.34
Current Debt And Capital Lease Obligation,86437989.58,91064559.21,159421476.03,36650460.36
Current Debt,54343341.41,68349753.96,118667758.84,
Payables,112547075.01,95211895.09,101157429.58,150916789.83
Other Payable,37761525.88,33828295.52,31027321.66,32875333.28
Total Tax Payable,3956157.71,4957413.98,8106474.43,7484091.92
Accounts Payable,70829391.42,56426185.59,62023633.49,110557364.63
Total Assets,977883670.51,969482455.46,1039083135.34,977059023.49
Total Non Current Assets,230434689.61,128847684.36,165950006.31,171271158.97
Other Non Current Assets,75815796.07,3914693.51,143496.04,
Non Current Deferred Assets,5854465.41,4435512.71,7553828.06,13247087.71
Non Current Deferred Taxes Assets,7442382.85,9699261.08,10961556.86,5436985.78
Investmentin Financial Assets,190000.0,,,
Available For Sale Securities,190000.0,,,
Goodwill And Other Intangible Assets,12158849.34,13759064.12,8920185.14,6244824.47
Other Intangible Assets,12158849.34,13759064.12,8920185.14,6244824.47
Net PPE,128973195.94,97039152.94,138370940.21,146342261.01
Accumulated Depreciation,-109514936.3,-105780884.83,-101044929.65,-90234419.33
Gross PPE,238488132.24,202820037.77,239415869.86,236576680.34
Construction In Progress,2199967.74,5399854.5,10333244.26,13802594.76
Other Properties,167301202.22,128657469.27,156723866.42,153129327.97
Machinery Furniture Equipment,68986962.28,68762714.0,72358759.18,69644757.61
Current Assets,747448980.9,840634771.1,873133129.03,805787864.52
Other Current Assets,3427858.14,2588874.8,21367199.4,33178182.01
Prepaid Assets,15270918.54,9458175.51,12730210.47,16105668.8
Inventory,112184778.8,106896391.91,130142729.56,219823588.97
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,7804556.29
Finished Goods,80881869.04,77132590.49,94271300.62,162087036.02
Work In Process,10220063.23,9726998.04,10389509.98,17145907.16
Raw Materials,21082846.53,20036803.38,25481918.96,32786089.5
Other Receivables,14143295.37,19279818.56,20634643.21,13803262.98
Accounts Receivable,49638313.59,23116355.95,38968765.55,50255129.73
Allowance For Doubtful Accounts Receivable,-1034486.53,-470849.98,-794484.9,-1104845.65
Gross Accounts Receivable,50672800.12,23587205.93,39763250.45,51359975.38
Cash Cash Equivalents And Short Term Investments,552783816.46,679295154.37,649289580.84,472622032.03
Other Short Term Investments,194902702.33,343157492.21,80898975.36,29113842.47
Cash And Cash Equivalents,357881114.13,336137662.16,568390605.48,443508189.56
Cash Equivalents,67965067.51,96931175.6,131006190.05,25075692.67
Cash Financial,289916046.62,239206486.56,437384415.43,418432496.89
