,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-669768000.0,-1753714000.0,-1965718000.0,-1613574000.0
Repayment Of Debt,-732247000.0,-323266000.0,-417081000.0,-321754000.0
Issuance Of Debt,877323000.0,684032000.0,351146000.0,423287000.0
Issuance Of Capital Stock,,0.0,0.0,3442616000.0
Capital Expenditure,-529137000.0,-596261000.0,-469099000.0,-314851000.0
Interest Paid Supplemental Data,51175000.0,19753000.0,25169000.0,29967000.0
Income Tax Paid Supplemental Data,69430000.0,56003000.0,29500000.0,15695000.0
End Cash Position,2638747000.0,3185984000.0,3875037000.0,4382887000.0
Beginning Cash Position,3185984000.0,3875037000.0,4382887000.0,1390005000.0
Effect Of Exchange Rate Changes,-51705000.0,-8082000.0,-69383000.0,14035000.0
Changes In Cash,-495532000.0,-680971000.0,-438467000.0,2978847000.0
Financing Cash Flow,193449000.0,416478000.0,-18971000.0,3636911000.0
Cash Flow From Continuing Financing Activities,193449000.0,416478000.0,-18971000.0,3636911000.0
Net Other Financing Charges,3000000.0,,,
Proceeds From Stock Option Exercised,45373000.0,55712000.0,46964000.0,92762000.0
Net Common Stock Issuance,,0.0,0.0,3442616000.0
Common Stock Issuance,,0.0,0.0,3442616000.0
Net Issuance Payments Of Debt,145076000.0,360766000.0,-65935000.0,101533000.0
Net Short Term Debt Issuance,164054000.0,351954000.0,-103307000.0,84695000.0
Short Term Debt Payments,-704216000.0,-309576000.0,-417081000.0,-321754000.0
Short Term Debt Issuance,868270000.0,661530000.0,313774000.0,406449000.0
Net Long Term Debt Issuance,-18978000.0,8812000.0,37372000.0,16838000.0
Long Term Debt Payments,-28031000.0,-13690000.0,0.0,0.0
Long Term Debt Issuance,9053000.0,22502000.0,37372000.0,16838000.0
Investing Cash Flow,-548350000.0,60004000.0,1077123000.0,640659000.0
Cash Flow From Continuing Investing Activities,-548350000.0,60004000.0,1077123000.0,640659000.0
Net Other Investing Changes,-2862000.0,-2075000.0,-1485000.0,
Net Investment Purchase And Sale,-16351000.0,658340000.0,1547707000.0,955510000.0
Sale Of Investment,2655000.0,673240000.0,1563618000.0,3146891000.0
Purchase Of Investment,-19006000.0,-14900000.0,-15911000.0,-2191381000.0
Net Intangibles Purchase And Sale,-36474000.0,-34365000.0,-143665000.0,-51909000.0
Purchase Of Intangibles,-36474000.0,-34365000.0,-143665000.0,-51909000.0
Net PPE Purchase And Sale,-492663000.0,-561896000.0,-325434000.0,-262942000.0
Purchase Of PPE,-492663000.0,-561896000.0,-325434000.0,-262942000.0
Operating Cash Flow,-140631000.0,-1157453000.0,-1496619000.0,-1298723000.0
Cash Flow From Continuing Operating Activities,-140631000.0,-1157453000.0,-1496619000.0,-1298723000.0
Change In Working Capital,-157167000.0,-370539000.0,132391000.0,-118345000.0
Change In Other Working Capital,633000.0,-255587000.0,-151816000.0,407703000.0
Change In Other Current Liabilities,-14838000.0,587000.0,-1209000.0,-2620000.0
Change In Other Current Assets,45126000.0,12120000.0,-3282000.0,-107128000.0
Change In Payables And Accrued Expense,232851000.0,201595000.0,41275000.0,160052000.0
Change In Accrued Expense,111354000.0,180111000.0,45627000.0,140044000.0
Change In Payable,121497000.0,21484000.0,-4352000.0,20008000.0
Change In Account Payable,121497000.0,21484000.0,-4352000.0,20008000.0
Change In Tax Payable,,,,
Change In Income Tax Payable,,,,
Change In Prepaid Assets,,,,
Change In Inventory,-91496000.0,-140948000.0,-56689000.0,-153333000.0
Change In Receivables,-329443000.0,-188306000.0,304112000.0,-423019000.0
Changes In Account Receivables,-329443000.0,-188306000.0,304112000.0,-423019000.0
Other Non Cash Items,-2063000.0,-377409000.0,-18690000.0,-5476000.0
Stock Based Compensation,441618000.0,367618000.0,303162000.0,240712000.0
Unrealized Gain Loss On Investment Securities,24022000.0,16221000.0,21996000.0,-7632000.0
Deferred Tax,25983000.0,689000.0,2059000.0,3377000.0
Deferred Income Tax,25983000.0,689000.0,2059000.0,3377000.0
Depreciation Amortization Depletion,171762000.0,87675000.0,66278000.0,46457000.0
Depreciation And Amortization,171762000.0,87675000.0,66278000.0,46457000.0
Amortization Cash Flow,4824000.0,7239000.0,3976000.0,1715000.0
Amortization Of Intangibles,4824000.0,7239000.0,3976000.0,1715000.0
Depreciation,166938000.0,80436000.0,62302000.0,44742000.0
Operating Gains Losses,,,21996000.0,-7632000.0
Earnings Losses From Equity Investments,,,21996000.0,-7632000.0
Gain Loss On Sale Of Business,,,,
Net Income From Continuing Operations,-644786000.0,-881708000.0,-2003815000.0,-1457816000.0
