,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,31800581312.0,31803992312.0,31804436237.0,30991393212.0
Share Issued,31800581312.0,31803992312.0,31804436237.0,30991393212.0
Total Debt,41208278704.0,46426631834.0,51622196157.0,28196651906.0
Tangible Book Value,131099426681.0,124896447842.0,121770410870.0,119973055021.0
Invested Capital,167684980370.0,162054282595.0,156700138286.0,151437389686.0
Working Capital,-107172151981.0,-102257183991.0,-101715085806.0,-108885976783.0
Net Tangible Assets,131099426681.0,124896447842.0,121770410870.0,119973055021.0
Capital Lease Obligations,24222205800.0,30616939319.0,36429267992.0,10415025610.0
Common Stock Equity,164846809431.0,159240538414.0,154370434728.0,149217148845.0
Total Capitalization,166974331787.0,161373657151.0,156198032777.0,151052125089.0
Total Equity Gross Minority Interest,368788311256.0,357935072660.0,347274473340.0,336210351900.0
Minority Interest,203941501825.0,198694534246.0,192904038612.0,186993203055.0
Stockholders Equity,164846809431.0,159240538414.0,154370434728.0,149217148845.0
Treasury Stock,3495448465.0,4283838481.0,4297801978.0,3082525543.0
Retained Earnings,53169886212.0,49298617542.0,45378842042.0,41645083677.0
Additional Paid In Capital,7913551905.0,7913551905.0,7913551905.0,7913551905.0
Capital Stock,31800581312.0,31803992312.0,31804436237.0,30991393212.0
Common Stock,31800581312.0,31803992312.0,31804436237.0,30991393212.0
Total Liabilities Net Minority Interest,304048390353.0,304909723903.0,297412554267.0,257074127954.0
Total Non Current Liabilities Net Minority Interest,38068712739.0,44624124951.0,49428566347.0,21936290970.0
Other Non Current Liabilities,972371138.0,822485509.0,1106789349.0,990229456.0
Tradeand Other Payables Non Current,138197004.0,117216284.0,112088126.0,108245866.0
Non Current Deferred Revenue,8228701358.0,9212387577.0,7832391336.0,6951018493.0
Non Current Deferred Taxes Liabilities,2379715083.0,1721977525.0,2120431495.0,1636795301.0
Long Term Debt And Capital Lease Obligation,26349728156.0,32750058056.0,38256866041.0,12250001854.0
Long Term Capital Lease Obligation,24222205800.0,30616939319.0,36429267992.0,10415025610.0
Long Term Debt,2127522356.0,2133118737.0,1827598049.0,1834976244.0
Current Liabilities,265979677614.0,260285598952.0,247983987920.0,235137836984.0
Other Current Liabilities,2548445788.0,2671050823.0,7729606605.0,10706026514.0
Current Debt And Capital Lease Obligation,14858550548.0,13676573778.0,13365330116.0,15946650052.0
Current Debt,710648583.0,680625444.0,502105509.0,385264597.0
Payables,201807885876.0,197725800562.0,182157613502.0,162769530002.0
Other Payable,23568193287.0,26553780259.0,30590864973.0,31565149886.0
Dividends Payable,2596402.0,6191922.0,2266014.0,2266014.0
Total Tax Payable,2715978411.0,3552236058.0,2224430940.0,1438429020.0
Accounts Payable,175521117776.0,167613592323.0,149340051575.0,129763685082.0
Total Assets,672836701609.0,662844796563.0,644687027607.0,593284479854.0
Total Non Current Assets,514029175976.0,504816381602.0,498418125493.0,467032619653.0
Other Non Current Assets,9829482448.0,9593537313.0,6768888869.0,4895942172.0
Non Current Deferred Assets,2850831492.0,2933946156.0,3275688395.0,3049943053.0
Non Current Deferred Taxes Assets,1255594872.0,816684514.0,469033316.0,271324700.0
Investmentin Financial Assets,20294193499.0,5649716919.0,4109180743.0,3714855806.0
Held To Maturity Securities,16934407440.0,2449612382.0,1131533243.0,906275865.0
Available For Sale Securities,3359786059.0,3200104537.0,2977647500.0,2808579941.0
Long Term Equity Investment,56510393137.0,54427794083.0,51051273214.0,48416397472.0
Goodwill And Other Intangible Assets,33747382750.0,34344090572.0,32600023858.0,29244093824.0
Other Intangible Assets,33747382750.0,34344090572.0,32600023858.0,29244093824.0
Net PPE,388651848048.0,396199038964.0,399528854804.0,376039257043.0
Accumulated Depreciation,-682552655647.0,-642643317835.0,-628080564625.0,-622835814671.0
Gross PPE,1071204503695.0,1038842356799.0,1027609419429.0,998875071714.0
Construction In Progress,36217097086.0,47154566466.0,45714846612.0,41191613356.0
Other Properties,948289735995.0,910234993323.0,902140740766.0,879033960119.0
Buildings And Improvements,,,,78649498239.0
Properties,86697670614.0,81452797010.0,79753832051.0,78649498239.0
Current Assets,158807525633.0,158028414961.0,146268902114.0,126251860201.0
Other Current Assets,29041231377.0,43544193476.0,31114808179.0,43752447563.0
Prepaid Assets,6462704081.0,5867137047.0,7841841080.0,7510160500.0
Inventory,2462505124.0,2216859105.0,1882083166.0,1846262040.0
Inventories Adjustments Allowances,-444105015.0,-381190119.0,-391476727.0,-332105961.0
Other Inventories,2906610139.0,2598049224.0,2273559893.0,2178368001.0
Raw Materials,,,,
Other Receivables,6000210679.0,4993511365.0,4469078213.0,4231107881.0
Accounts Receivable,57601781500.0,39983364547.0,27970682465.0,19351822927.0
Allowance For Doubtful Accounts Receivable,-24096064431.0,-18702214975.0,-14476183490.0,-10222044902.0
Gross Accounts Receivable,81697845931.0,58685579522.0,42446865955.0,29573867829.0
Cash Cash Equivalents And Short Term Investments,57239092872.0,61423349421.0,72990409011.0,49560059290.0
Other Short Term Investments,2526309200.0,2607590993.0,2954864656.0,3286826770.0
Cash And Cash Equivalents,54712783672.0,58815758428.0,70035544355.0,46273232520.0
Cash Equivalents,176816287.0,169166140.0,182574618.0,144635243.0
Cash Financial,3961491356.0,8102476126.0,9920961930.0,7403639349.0
